Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C3H5-A_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_IC4H10_PFRC2 (),Mole_fraction_IC4H9_PFRC2 (),Mole_fraction_TC4H9_PFRC2 (),Mole_fraction_IC4H8_PFRC2 (),Mole_fraction_IC4H7_PFRC2 (),Mole_fraction_C4H8-1_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_LC5H8_PFRC2 (),Mole_fraction_NC7H14_PFRC2 (),Mole_fraction_IC8H16_PFRC2 (),Mole_fraction_DIMEPTD_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_NC10H20_PFRC2 (),Mole_fraction_IC12H26_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,1124.326,0.2353964,-2.060716E13,1704.477,0.0,1704.477,1.0,0.9441287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01981253,0.0,0.008057096,0.01056668,0.01743503,9.321098,6.66435E-5,529787.1,529787.1
4.80087E-8,4.270144E-11,6.283185,3.141593,6.283185,1124.249,0.2353964,-2.2876E13,1704.272,2.471617E8,1704.272,0.9999989,0.9440804,1.733614E-6,3.30824E-11,1.470292E-6,1.084399E-12,5.071664E-8,1.21099E-13,4.857786E-13,8.141406E-7,1.321442E-6,3.460573E-13,3.645348E-10,2.282246E-10,2.165404E-6,4.211872E-5,3.830565E-6,6.657147E-6,5.451442E-8,3.917485E-9,2.421233E-16,3.946354E-12,2.615614E-19,6.354312E-23,1.772068E-12,2.071519E-8,0.01980752,5.893664E-11,0.008056681,0.0105635,0.01739978,9.320621,6.664806E-5,529760.0,529760.0
3.549073E-7,3.157418E-10,6.283185,3.141593,6.283185,1123.763,0.2353964,-2.641526E13,1702.738,2.468918E8,1702.738,0.9999989,0.9436386,4.50788E-5,8.393479E-9,4.450616E-5,3.386075E-10,1.909775E-6,1.000778E-11,1.499579E-10,2.248677E-5,9.671725E-6,2.261828E-11,2.465465E-8,1.656559E-8,7.322521E-5,3.089572E-4,1.021178E-4,4.876273E-5,1.992278E-6,2.104326E-7,4.75416E-14,8.886734E-10,8.164313E-16,1.169625E-19,2.419678E-9,7.264316E-7,0.01982322,1.326494E-8,0.008052881,0.01054183,0.0171761,9.316259,6.667687E-5,529512.1,529512.1
1.118604E-6,9.956869E-10,6.283185,3.141593,6.283185,1122.594,0.2353964,-2.541453E13,1698.83,2.462039E8,1698.83,0.999999,0.9424543,1.74922E-4,1.331112E-7,1.994061E-4,6.480642E-9,1.003052E-5,1.966315E-10,2.976757E-9,9.481211E-5,2.97329E-5,2.459517E-10,2.642729E-7,1.959098E-7,3.94453E-4,8.217923E-4,4.143316E-4,1.502336E-4,9.857692E-6,1.989021E-6,1.238198E-12,1.236733E-8,1.621166E-13,5.946857E-18,6.596331E-8,3.485808E-6,0.0198916,1.848142E-7,0.008042627,0.01048817,0.01664846,9.30456,6.674633E-5,528847.1,528847.1
3.539084E-6,3.15513E-9,6.283185,3.141593,6.283185,1119.269,0.2353964,-2.119315E13,1687.785,2.4426E8,1687.785,0.9999992,0.9391153,5.463477E-4,1.579506E-6,6.958497E-4,8.901489E-8,4.035969E-5,5.299085E-9,4.692451E-8,3.52367E-4,8.754365E-5,2.682281E-9,2.514802E-6,2.086087E-6,0.001494237,0.001920414,0.001301236,4.444454E-4,3.407279E-5,1.649306E-5,2.958054E-11,1.324898E-7,2.280608E-11,2.639773E-16,9.171058E-7,1.231863E-5,0.02004866,1.980359E-6,0.00801302,0.01033255,0.01522276,9.27152,6.694456E-5,526969.2,526969.2
1.564438E-5,1.402917E-8,6.283185,3.141593,6.283185,1108.368,0.2353964,-1.161318E13,1650.936,2.377742E8,1650.936,1.0,0.9277635,0.00182066,3.076255E-5,0.003111997,2.364979E-6,2.393721E-4,3.283283E-7,1.49456E-6,0.002066894,2.964346E-4,1.015063E-7,3.488603E-5,3.154899E-5,0.004252365,0.004610783,0.004209964,0.001528526,1.253537E-4,1.559502E-4,1.418078E-9,2.163729E-6,5.910386E-9,3.994965E-14,1.553261E-5,5.401225E-5,0.02016292,3.174375E-5,0.007900346,0.009739878,0.01103742,9.158284,6.760299E-5,520533.2,520533.2
3.433442E-5,3.096762E-8,6.283185,3.141593,6.283185,1099.4,0.2353964,-6.87978E12,1618.055,2.319871E8,1618.055,1.000001,0.9170187,0.00286522,1.416225E-4,0.006708038,1.594617E-5,6.25902E-4,2.514693E-6,8.552328E-6,0.005152525,4.896684E-4,9.425605E-7,1.157041E-4,1.073555E-4,0.005079205,0.005550722,0.006824985,0.002598376,2.244623E-4,3.751179E-4,1.560414E-8,8.279885E-6,7.647028E-8,8.231416E-13,5.593083E-5,1.173197E-4,0.01969329,1.155304E-4,0.007766838,0.009074097,0.008079325,9.0491,6.815445E-5,514327.4,514327.4
6.709069E-5,6.088127E-8,6.283185,3.141593,6.283185,1091.73,0.2353964,-3.735299E12,1584.86,2.261445E8,1584.86,1.000001,0.9051617,0.003473291,4.966577E-4,0.01197119,9.002134E-5,0.001374858,1.3263E-5,3.295165E-5,0.01003188,6.616069E-4,5.664899E-6,2.773681E-4,2.539215E-4,0.004379055,0.004935926,0.009618173,0.003781873,3.573425E-4,6.757488E-4,1.379359E-7,2.339496E-5,5.152156E-7,1.420073E-11,1.420975E-4,2.215319E-4,0.01861906,2.953849E-4,0.007580082,0.008190298,0.00570575,8.925719,6.863327E-5,507314.8,507314.8
1.371164E-4,1.252074E-7,6.283185,3.141593,6.283185,1087.007,0.2353964,-1.368439E12,1552.174,2.203914E8,1552.174,1.000002,0.8913864,0.003064256,0.00166313,0.01839609,5.12952E-4,0.002888617,6.223237E-5,1.071706E-4,0.01683505,7.676692E-4,2.740897E-5,5.851428E-4,4.724737E-4,0.002490567,0.00293006,0.01283049,0.005265958,5.931742E-4,0.001103927,1.097441E-6,5.994352E-5,2.649559E-6,2.427871E-10,3.057925E-4,3.869834E-4,0.01666184,6.289673E-4,0.007315734,0.006905029,0.003606026,8.779615,6.89315E-5,499010.6,499010.6
2.239483E-4,2.050758E-7,6.283185,3.141593,6.283185,1087.945,0.2353964,-4.7412E11,1537.493,2.178075E8,1537.493,1.000002,0.8826931,0.002307505,0.003355664,0.02080162,0.001367612,0.004402561,1.396228E-4,1.970076E-4,0.02116393,7.742112E-4,6.303938E-5,8.830604E-4,5.895637E-4,0.001325958,0.001602107,0.01484074,0.006401965,8.522223E-4,0.001441576,3.583994E-6,1.003902E-4,6.244858E-6,1.189881E-9,4.450468E-4,5.065286E-4,0.0149127,8.961877E-4,0.00713589,0.005909452,0.002426817,8.689074,6.887204E-5,493864.5,493864.5
