Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_H_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C3H5-A_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_IC4H10_PFRC2 (),Mass_fraction_IC4H9_PFRC2 (),Mass_fraction_TC4H9_PFRC2 (),Mass_fraction_IC4H8_PFRC2 (),Mass_fraction_IC4H7_PFRC2 (),Mass_fraction_C4H8-1_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_C10H8_PFRC2 (),Mass_fraction_LC5H8_PFRC2 (),Mass_fraction_NC7H14_PFRC2 (),Mass_fraction_IC8H16_PFRC2 (),Mass_fraction_DIMEPTD_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_NC10H20_PFRC2 (),Mass_fraction_IC12H26_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,1124.326,0.2353964,-2.060716E13,1704.477,0.0,1704.477,1.0,0.2041934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2385231,0.0,0.07964678,0.1590154,0.3186213,9.321098,6.66435E-5,529787.1,529787.1
4.80087E-8,4.270144E-11,6.283185,3.141593,6.283185,1124.249,0.2353964,-2.2876E13,1704.272,2.471617E8,1704.272,0.9999989,0.2041934,1.874801E-7,5.694277E-11,2.371723E-6,3.498481E-12,1.526523E-7,3.383041E-13,2.298289E-12,3.675728E-6,5.823213E-6,1.487551E-12,1.566978E-9,1.423231E-9,1.326949E-5,2.581015E-4,2.305927E-5,3.935482E-5,3.281664E-7,2.27352E-8,1.352799E-15,3.30738E-11,1.855042E-18,8.738318E-22,1.295111E-11,2.182276E-7,0.238475,6.081305E-10,0.07964674,0.1589756,0.3179934,9.320621,6.664806E-5,529760.0,529760.0
3.549073E-7,3.157418E-10,6.283185,3.141593,6.283185,1123.763,0.2353964,-2.641526E13,1702.738,2.468918E8,1702.738,0.9999989,0.2041934,4.877287E-6,1.445396E-8,7.182633E-5,1.092925E-9,5.750931E-6,2.797099E-11,7.098046E-10,1.015721E-4,4.264047E-5,9.727173E-11,1.060293E-7,1.03353E-7,4.489307E-4,0.001894161,6.150172E-4,2.884039E-4,1.199875E-5,1.221822E-6,2.657503E-13,7.451325E-9,5.792993E-15,1.609197E-18,1.769243E-8,7.656297E-6,0.2387757,1.369368E-7,0.07964645,0.1587238,0.3140525,9.316259,6.667687E-5,529512.1,529512.1
1.118604E-6,9.956869E-10,6.283185,3.141593,6.283185,1122.594,0.2353964,-2.541453E13,1698.83,2.462039E8,1698.83,0.999999,0.2041936,1.894943E-5,2.295119E-7,3.222165E-4,2.094389E-8,3.024301E-5,5.502613E-10,1.410778E-8,4.28802E-4,1.312505E-4,1.059065E-9,1.137956E-6,1.223822E-6,0.002421362,0.005044597,0.002498503,8.896638E-4,5.944386E-5,1.156325E-5,6.930044E-12,1.038276E-7,1.151746E-12,8.192112E-17,4.829233E-7,3.678521E-5,0.2399007,1.910275E-6,0.07964506,0.1581144,0.3047878,9.30456,6.674633E-5,528847.1,528847.1
3.539084E-6,3.15513E-9,6.283185,3.141593,6.283185,1119.269,0.2353964,-2.119315E13,1687.785,2.4426E8,1687.785,0.9999992,0.2041952,5.939717E-5,2.733108E-6,0.001128417,2.887001E-7,1.221221E-4,1.488201E-8,2.231824E-7,0.001599312,3.878227E-4,1.159103E-8,1.08673E-5,1.307794E-5,0.009205107,0.01183053,0.007874675,0.002641327,2.061979E-4,9.622473E-5,1.661486E-10,1.116258E-6,1.626015E-10,3.649387E-15,6.738139E-6,1.304599E-4,0.2426565,2.054231E-5,0.07963464,0.1563234,0.2796801,9.27152,6.694456E-5,526969.2,526969.2
1.564438E-5,1.402917E-8,6.283185,3.141593,6.283185,1108.368,0.2353964,-1.161318E13,1650.936,2.377742E8,1650.936,1.0,0.2042212,2.003836E-4,5.388831E-5,0.005108933,7.765122E-6,7.332583E-4,9.334818E-7,7.196318E-6,0.009497141,0.001329457,4.44066E-7,1.526182E-4,2.0023E-4,0.0265202,0.02875549,0.0257924,0.009196303,7.679812E-4,9.211028E-4,8.063576E-9,1.845532E-5,4.266057E-8,5.591175E-13,1.155319E-4,5.790869E-4,0.2470568,3.333499E-4,0.07948565,0.1491788,0.2052923,9.158284,6.760299E-5,520533.2,520533.2
3.433442E-5,3.096762E-8,6.283185,3.141593,6.283185,1099.4,0.2353964,-6.87978E12,1618.055,2.319871E8,1618.055,1.000001,0.2042916,3.191539E-4,2.510807E-4,0.01114539,5.298904E-5,0.001940432,7.235879E-6,4.167639E-5,0.02396093,0.002222575,4.173233E-6,5.122856E-4,6.895673E-4,0.03205905,0.03503518,0.04231788,0.01582163,0.001391764,0.002242326,8.979994E-8,7.147462E-5,5.586145E-7,1.165932E-11,4.210342E-4,0.001273008,0.244214,0.001227855,0.07908527,0.1406584,0.1520859,9.0491,6.815445E-5,514327.4,514327.4
6.709069E-5,6.088127E-8,6.283185,3.141593,6.283185,1091.73,0.2353964,-3.735299E12,1584.86,2.261445E8,1584.86,1.000001,0.2044375,3.922342E-4,8.926894E-4,0.02016504,3.032756E-4,0.004321279,3.869103E-5,1.627965E-4,0.04729641,0.003044503,2.542832E-5,0.001245036,0.001653537,0.02802189,0.03158535,0.06046122,0.02334632,0.002246307,0.004095232,8.047771E-7,2.047444E-4,3.815669E-6,2.039256E-10,0.001084463,0.002437017,0.2340842,0.003182742,0.07825056,0.1287135,0.1088902,8.925719,6.863327E-5,507314.8,507314.8
1.371164E-4,1.252074E-7,6.283185,3.141593,6.283185,1087.007,0.2353964,-1.368439E12,1552.174,2.203914E8,1552.174,1.000002,0.2046766,3.518011E-4,0.003039046,0.03150325,0.001756857,0.00923022,1.845663E-4,5.38284E-4,0.08069152,0.003591354,1.250795E-4,0.00267027,0.003127951,0.01620254,0.01906169,0.08199651,0.03304887,0.00379083,0.006801444,6.509496E-6,5.333345E-4,1.994909E-5,3.544495E-9,0.002372591,0.004327953,0.2129635,0.006889836,0.07677843,0.1103209,0.06996368,8.779615,6.89315E-5,499010.6,499010.6
2.239483E-4,2.050758E-7,6.283185,3.141593,6.283185,1087.945,0.2353964,-4.7412E11,1537.493,2.178075E8,1537.493,1.000002,0.2047924,2.676805E-4,0.006195713,0.03599389,0.00473287,0.01421443,4.184026E-4,9.998174E-4,0.1024971,0.003659701,2.906746E-4,0.004071793,0.003943801,0.008715989,0.01053121,0.09583181,0.04059705,0.005503095,0.008974296,2.148005E-5,9.025073E-4,4.750879E-5,1.755231E-8,0.003489022,0.005723953,0.1925929,0.009919317,0.07567133,0.09539844,0.04757543,8.689074,6.887204E-5,493864.5,493864.5
