Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_IC4H10_PFRC2 (),Mole_fraction_IC4H9_PFRC2 (),Mole_fraction_TC4H9_PFRC2 (),Mole_fraction_IC4H8_PFRC2 (),Mole_fraction_IC4H7_PFRC2 (),Mole_fraction_C4H8-1_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_NC5H10_PFRC2 (),Mole_fraction_LC5H8_PFRC2 (),Mole_fraction_NC7H14_PFRC2 (),Mole_fraction_IC8H18_PFRC2 (),Mole_fraction_IC8H16_PFRC2 (),Mole_fraction_DIMEPTD_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_NC10H20_PFRC2 (),Mole_fraction_IC12H26_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,941.7303,0.2328964,-3.83534E11,1429.217,0.0,1429.217,1.0,0.9451568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01925134,0.0,0.0,0.007938697,0.01045262,0.01720051,9.232148,7.872023E-5,520513.9,520513.9
5.533545E-7,5.875989E-10,6.283185,3.141593,6.283185,941.7112,0.2328964,-4.451093E11,1429.17,1.987419E8,1429.17,0.9999986,0.9451459,3.90193E-7,9.554275E-11,6.573044E-7,3.520011E-12,2.658969E-8,4.137129E-14,2.389578E-11,3.191584E-7,1.054416E-13,2.346093E-12,3.625104E-10,2.711185E-6,8.376717E-6,1.40599E-6,2.192502E-11,2.817792E-8,5.931804E-10,4.005889E-18,1.121116E-11,1.75838E-19,1.832003E-8,8.58091E-12,7.958002E-9,0.01924844,7.342042E-7,2.901979E-15,0.007938605,0.0104519,0.01719461,9.232041,7.872182E-5,520507.9,520507.9
3.875295E-6,4.115391E-9,6.283185,3.141593,6.283185,941.5856,0.2328964,-4.945003E11,1428.842,1.986842E8,1428.842,0.9999986,0.9450553,6.355739E-6,1.665894E-8,1.41267E-5,7.4773E-10,6.993545E-7,3.645694E-12,1.398395E-9,6.3498E-6,5.313942E-12,1.186584E-10,2.10462E-8,2.604317E-5,5.960318E-5,2.498071E-5,2.925896E-9,6.594385E-7,3.371506E-8,6.207367E-16,1.544529E-9,1.093967E-15,4.157389E-7,5.365175E-9,1.788552E-7,0.01923058,1.137453E-5,6.698779E-12,0.007937832,0.01044726,0.01715888,9.231156,7.873232E-5,520458.0,520458.0
2.19389E-5,2.330668E-8,6.283185,3.141593,6.283185,940.8934,0.2328964,-5.233028E11,1426.955,1.98352E8,1426.955,0.9999986,0.9445037,4.701551E-5,9.543617E-7,1.359139E-4,4.712729E-8,8.132695E-6,4.700987E-10,5.492936E-8,7.992727E-5,1.789733E-10,4.772131E-9,7.219999E-7,1.657061E-4,2.74579E-4,1.754247E-4,1.168992E-7,4.990762E-6,1.238106E-6,1.577357E-13,6.855696E-8,3.140208E-12,3.107191E-6,3.767081E-7,1.631053E-6,0.0191333,7.15198E-5,1.924599E-9,0.007932817,0.01042005,0.01696726,9.225742,7.879025E-5,520152.7,520152.7
1.343347E-4,1.430249E-7,6.283185,3.141593,6.283185,936.9227,0.2328964,-5.195382E11,1414.559,1.961703E8,1414.559,0.9999989,0.9403839,3.449416E-4,6.946472E-5,0.001633027,6.494082E-6,1.462411E-4,1.305741E-7,3.83908E-6,0.00140438,1.200638E-8,4.551256E-7,2.230174E-5,5.231536E-4,7.96964E-4,0.001228181,5.244507E-6,4.056569E-5,4.336982E-5,5.045193E-10,3.251294E-6,7.512071E-9,2.529444E-5,1.923385E-5,2.83864E-5,0.01854244,4.265981E-4,5.490747E-7,0.007881752,0.01017799,0.01588311,9.184358,7.912416E-5,517819.5,517819.5
4.389501E-4,4.69345E-7,6.283185,3.141593,6.283185,931.1951,0.2328964,-2.684431E11,1390.18,1.918794E8,1390.18,0.9999993,0.9304582,6.065622E-4,8.693542E-4,0.005162342,2.218064E-4,9.408871E-4,4.954364E-6,5.956314E-5,0.005689155,4.982413E-7,8.419427E-6,1.308676E-4,4.261387E-4,6.765514E-4,0.0038142,6.247553E-5,2.058694E-4,2.886166E-4,8.988417E-8,2.580647E-5,4.610641E-7,1.11388E-4,1.460136E-4,1.787789E-4,0.01718557,0.001216646,1.188468E-5,0.007701921,0.009258034,0.01370788,9.081583,7.961083E-5,512025.0,512025.0
7.791652E-4,8.35012E-7,6.283185,3.141593,6.283185,930.129,0.2328964,-1.321113E11,1376.869,1.895365E8,1376.869,0.9999994,0.9229679,5.638783E-4,0.002258658,0.006372763,8.102074E-4,0.00192421,1.86111E-5,1.557255E-4,0.009056588,2.37184E-6,2.49591E-5,2.34491E-4,3.065269E-4,5.018472E-4,0.005875686,1.680691E-4,4.282368E-4,5.5721E-4,6.29886E-7,5.339651E-5,1.907343E-6,2.009622E-4,2.839854E-4,3.337236E-4,0.01606314,0.001813139,3.562612E-5,0.007550763,0.008349693,0.0120767,9.004935,7.970209E-5,507703.5,507703.5
0.001879084,2.01557E-6,6.283185,3.141593,6.283185,933.5991,0.2328964,-4.558277E10,1360.237,1.866093E8,1360.237,0.9999992,0.9084686,3.816068E-4,0.006535793,0.005591229,0.002854913,0.004470396,7.294459E-5,4.036911E-4,0.01542261,1.449774E-5,8.852386E-5,4.23134E-4,1.758613E-4,3.009113E-4,0.009887804,5.427569E-4,9.604896E-4,0.001128727,5.789676E-6,1.229091E-4,9.160277E-6,3.813314E-4,5.582508E-4,6.181087E-4,0.01370795,0.002791662,1.218558E-4,0.007280553,0.006478772,0.008953362,8.863099,7.940584E-5,499706.7,499706.7
0.002369475,2.5404E-6,6.283185,3.141593,6.283185,935.1173,0.2328964,-3.708742E10,1356.039,1.858704E8,1356.039,0.999999,0.9040457,3.289935E-4,0.008076853,0.005065506,0.003532662,0.005359414,9.613277E-5,4.805372E-4,0.01727074,2.113131E-5,1.162477E-4,4.719786E-4,1.490673E-4,2.581729E-4,0.01104981,6.923402E-4,0.001119915,0.001294965,9.006429E-6,1.464447E-4,1.25608E-5,4.29045E-4,6.305624E-4,6.856633E-4,0.01297319,0.00301106,1.556343E-4,0.007206145,0.005943898,0.008054197,8.821401,7.927692E-5,497356.0,497356.0
0.002416784,2.590988E-6,6.283185,3.141593,6.283185,935.2501,0.2328964,-3.646956E10,1355.675,1.858063E8,1355.675,0.999999,0.9036584,3.246346E-4,0.008215163,0.005018812,0.003591084,0.00543928,9.830964E-5,4.871693E-4,0.01742998,2.178561E-5,1.188663E-4,4.760459E-4,1.468999E-4,2.546892E-4,0.01114957,7.06014E-4,0.001133655,0.001309204,9.328282E-6,1.485411E-4,1.288307E-5,4.329945E-4,6.365595E-4,6.910698E-4,0.0129088,0.003028283,1.58696E-4,0.007199772,0.005898334,0.007977133,8.817781,7.926567E-5,497152.0,497152.1
