Time_Soln#1 (sec),Volume_Soln#1 (cm3),Volumetric_heat_production_rate_Soln#1 (erg/cm3-sec),Surface_temperature_Soln#1 (K),Temperature_Soln#1 (K),Mass_Soln#1 (g),Pressure_Soln#1 (atm),Mole_fraction_H2_Soln#1 (),Mole_fraction_CH4_Soln#1 (),Mole_fraction_C2H6_Soln#1 (),Mole_fraction_C2H4_Soln#1 (),Mole_fraction_C2H2_Soln#1 (),Mole_fraction_C4H6_Soln#1 (),Mole_fraction_C6H6_Soln#1 (),Mole_fraction_C7H8_Soln#1 (),Mole_fraction_C7H7_Soln#1 (),Mole_fraction_STILB_Soln#1 (),Mole_fraction_C6H5C2H_Soln#1 (),Mole_fraction_C6H5C2H3_Soln#1 (),Mole_fraction_C6H5C2H5_Soln#1 (),Mole_fraction_C6H5CHCH3_Soln#1 (),Mole_fraction_FLUORENE_Soln#1 (),Mole_fraction_C14H10_Soln#1 (),Mole_fraction_C16H10_Soln#1 (),Mole_fraction_C6H5C2H4C6H5_Soln#1 (),Mole_fraction_BIN1A_Soln#1 (),Mole_fraction_NPBENZ_Soln#1 (),Molecular_weight_Soln#1 (g/mole),Mass_density_Soln#1 (g/cm3),Unburned_hydrocarbons_Soln#1 (ppm),Volatile_organic_compounds_Soln#1 (ppm)
0.0,15.7,-156924.0,1000.0,1000.0,0.002029562,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.292714E-4,668660.8,668660.8
1.904483E-5,15.69999,-87790.89,999.9997,999.9997,0.002029562,1.0,0.9128526,4.627274E-8,3.721153E-10,1.045256E-8,4.549243E-10,6.744569E-15,1.560894E-8,0.02851744,8.559533E-8,3.658983E-10,7.299871E-10,0.04210624,0.01652346,3.284082E-8,1.54588E-11,6.275079E-11,3.517125E-11,7.403794E-12,1.493468E-11,4.519969E-14,10.60769,1.292715E-4,668660.8,668660.8
1.138606E-4,15.69997,-66008.33,999.9986,999.9986,0.002029562,1.0,0.912852,4.740128E-7,8.683171E-9,1.47865E-7,5.733359E-9,1.369862E-13,2.000544E-7,0.02851736,5.225759E-7,5.28168E-9,1.246713E-8,0.0421057,0.01652309,3.756825E-7,2.116053E-10,1.139996E-9,5.977423E-10,3.179639E-10,2.537928E-10,5.500053E-12,10.60769,1.292716E-4,668660.8,668660.8
9.582204E-4,15.69987,-32136.93,999.9924,999.9924,0.002029562,1.0,0.9128448,4.828114E-6,1.712103E-7,2.988202E-6,9.983993E-8,1.857585E-11,3.967163E-6,0.02851716,3.340308E-6,1.09041E-7,2.377295E-7,0.04209821,0.01651941,4.490381E-6,4.323778E-9,3.958635E-8,1.140414E-8,4.947461E-8,4.837683E-9,7.554953E-10,10.60769,1.292725E-4,668660.9,668660.9
0.001,15.69987,-31071.03,999.9922,999.9922,0.002029562,1.0,0.9128443,5.065621E-6,1.831978E-7,3.202527E-6,1.066609E-7,2.120544E-11,4.251271E-6,0.02851716,3.444216E-6,1.168772E-7,2.544087E-7,0.04209774,0.01651921,4.721901E-6,4.635217E-9,4.262514E-8,1.220487E-8,5.472492E-8,5.177128E-9,8.377199E-10,10.60769,1.292725E-4,668661.0,668661.0
0.002,15.69981,-13904.07,999.9888,999.9888,0.002029562,1.0,0.9128308,1.136091E-5,5.80744E-7,1.039943E-5,3.305831E-7,2.118524E-10,1.378978E-5,0.02851683,5.428478E-6,3.801726E-7,8.086486E-7,0.04208406,0.0165141,1.050501E-5,1.514535E-8,1.408158E-7,3.884093E-8,2.677793E-7,1.645965E-8,4.525688E-9,10.60769,1.29273E-4,668661.3,668661.3
0.003,15.69979,-4168.027,999.9874,999.9874,0.002029562,1.0,0.9128124,1.878399E-5,1.184388E-6,2.143642E-5,6.672188E-7,8.940407E-10,2.841816E-5,0.02851551,6.895649E-6,7.844197E-7,1.650866E-6,0.0420664,0.01650827,1.626227E-5,3.139991E-8,2.808944E-7,7.938926E-8,6.473189E-7,3.361471E-8,1.212058E-8,10.60769,1.292731E-4,668661.1,668661.1
0.004,15.69981,3497.328,999.9874,999.9874,0.002029562,1.0,0.9127896,2.725391E-5,1.981439E-6,3.60505E-5,1.108882E-6,2.528676E-9,4.7793E-5,0.02851302,8.120477E-6,1.320531E-6,2.761381E-6,0.04204532,0.01650179,2.167552E-5,5.310338E-8,4.566302E-7,1.329463E-7,1.190097E-6,5.625254E-8,2.425919E-8,10.60768,1.29273E-4,668660.2,668660.2
0.005,15.69986,10450.24,999.9885,999.9885,0.002029562,1.0,0.9127627,3.667979E-5,2.957263E-6,5.393307E-5,1.646552E-6,5.667134E-9,7.151141E-5,0.02850937,9.181725E-6,1.977953E-6,4.11716E-6,0.04202124,0.01649473,2.664129E-5,7.988075E-8,6.638258E-7,1.984374E-7,1.890971E-6,8.39166E-8,4.132727E-8,10.60766,1.292725E-4,668658.8,668658.8
0.006,15.69994,16944.86,999.9907,999.9907,0.002029562,1.0,0.9127321,4.696778E-5,4.096763E-6,7.476107E-5,2.27078E-6,1.090532E-8,9.915175E-5,0.02850464,1.010761E-5,2.745751E-6,5.69412E-6,0.04199452,0.01648715,3.112809E-5,1.113207E-7,8.989031E-7,2.747281E-7,2.740548E-6,1.161296E-7,6.349374E-8,10.60762,1.292719E-4,668656.8,668656.8
