Time_Soln#7 (sec),Volume_Soln#7 (cm3),Volumetric_heat_production_rate_Soln#7 (erg/cm3-sec),Surface_temperature_Soln#7 (K),Temperature_Soln#7 (K),Mass_Soln#7 (g),Pressure_Soln#7 (atm),Mole_fraction_H2_Soln#7 (),Mole_fraction_CH4_Soln#7 (),Mole_fraction_C2H6_Soln#7 (),Mole_fraction_C2H4_Soln#7 (),Mole_fraction_C2H2_Soln#7 (),Mole_fraction_C4H6_Soln#7 (),Mole_fraction_C4H4_Soln#7 (),Mole_fraction_C6H6_Soln#7 (),Mole_fraction_C10H8_Soln#7 (),Mole_fraction_C7H8_Soln#7 (),Mole_fraction_C7H7_Soln#7 (),Mole_fraction_STILB_Soln#7 (),Mole_fraction_C6H5C2H_Soln#7 (),Mole_fraction_C6H5C2H3_Soln#7 (),Mole_fraction_C6H5C2H5_Soln#7 (),Mole_fraction_INDENE_Soln#7 (),Mole_fraction_BIPHENYL_Soln#7 (),Mole_fraction_C14H10_Soln#7 (),Mole_fraction_BIN1B_Soln#7 (),Mole_fraction_BIN1A_Soln#7 (),Molecular_weight_Soln#7 (g/mole),Mass_density_Soln#7 (g/cm3),Unburned_hydrocarbons_Soln#7 (ppm),Volatile_organic_compounds_Soln#7 (ppm)
0.0,15.7,-4.37534E8,1300.0,1300.0,0.001561201,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,9.943957E-5,668660.8,668660.8
1.041258E-7,15.69992,-4.339677E8,1299.991,1299.991,0.001561201,1.0,0.9128514,2.936759E-8,7.211345E-12,2.117675E-9,2.657347E-9,2.128408E-13,6.589457E-14,4.769837E-9,8.723968E-19,0.02851738,1.427961E-6,8.006116E-12,2.122998E-10,0.04210636,0.01652195,2.202414E-18,2.219165E-17,9.665616E-12,3.055105E-22,1.721712E-13,10.60767,9.944008E-5,668659.8,668659.8
1.173637E-6,15.69914,-3.844249E8,1299.908,1299.908,0.001561201,1.0,0.9128366,3.261677E-6,8.930643E-9,5.923145E-7,7.858188E-8,5.097778E-11,1.009309E-11,8.130021E-7,9.969469E-15,0.0285162,1.642922E-5,9.254035E-9,1.2627E-7,0.04210468,0.01650551,7.256326E-14,8.962803E-13,3.066393E-9,6.639616E-17,9.287209E-11,10.60751,9.944502E-5,668649.9,668649.9
6.214954E-6,15.69619,-3.181153E8,1299.582,1299.582,0.001561201,1.0,0.9127391,5.545893E-5,4.830856E-7,2.357045E-5,2.785093E-6,2.442123E-9,3.876832E-10,3.206408E-5,1.754185E-11,0.02849694,9.555533E-5,4.837838E-7,4.548904E-6,0.04205805,0.01642066,4.692486E-11,4.61249E-10,1.281525E-7,1.931319E-13,3.322803E-9,10.60685,9.946373E-5,668608.1,668608.1
2.727646E-5,15.68857,-2.106155E8,1298.474,1298.474,0.001561201,1.0,0.9121065,3.804819E-4,5.884899E-6,3.21354E-4,3.997647E-5,1.551763E-7,1.003928E-8,4.312571E-4,3.423939E-9,0.02836019,4.090392E-4,6.898402E-6,5.834515E-5,0.04172374,0.01600592,5.488149E-9,3.635355E-8,1.956087E-6,6.293185E-11,4.571337E-8,10.60296,9.951204E-5,668362.5,668362.5
8.10505E-5,15.68717,-5.487572E7,1297.348,1297.348,0.001561201,1.0,0.9104587,0.001196937,2.081899E-5,0.001181788,1.491448E-4,1.814185E-6,8.451774E-8,0.001591889,5.261276E-8,0.0283728,6.782615E-4,2.966985E-5,2.126627E-4,0.04090338,0.01499155,8.634558E-8,3.81006E-7,8.862815E-6,1.577645E-9,2.490981E-7,10.59471,9.952092E-5,667842.8,667842.8
1.853715E-4,15.69722,-1.928664E7,1296.724,1296.724,0.001561201,1.0,0.9076075,0.002617566,4.593627E-5,0.002637201,3.361671E-4,8.526802E-6,3.695357E-7,0.003587275,3.263932E-7,0.02880018,7.308189E-4,8.596984E-5,4.749873E-4,0.03948648,0.01328507,4.866652E-7,1.791204E-6,2.294934E-5,1.247035E-8,9.968612E-7,10.58283,9.94572E-5,667094.2,667094.2
1.920997E-4,15.69795,-1.843191E7,1296.7,1296.7,0.001561201,1.0,0.9074344,0.002703608,4.743395E-5,0.002724044,3.474327E-4,9.075912E-6,3.935998E-7,0.003707651,3.525153E-7,0.02883093,7.308722E-4,8.981481E-5,4.90692E-4,0.03940034,0.01318401,5.215949E-7,1.909573E-6,2.384469E-5,1.357206E-8,1.059229E-6,10.58214,9.945258E-5,667050.7,667050.7
2.009635E-4,15.69891,-1.738103E7,1296.669,1296.669,0.001561201,1.0,0.9072081,0.002816045,4.938765E-5,0.002837333,3.621478E-4,9.816355E-6,4.262924E-7,0.003864911,3.885014E-7,0.02887152,7.307113E-4,9.488233E-5,5.111877E-4,0.03928769,0.01305235,5.690686E-7,2.069884E-6,2.502061E-5,1.510001E-8,1.143726E-6,10.58124,9.944647E-5,666994.0,666994.0
2.022753E-4,15.69905,-1.722687E7,1296.665,1296.665,0.001561201,1.0,0.9071748,0.002832597,4.967494E-5,0.002853992,3.643135E-4,9.927525E-6,4.312252E-7,0.003888057,3.939786E-7,0.02887754,7.30667E-4,9.563213E-5,5.142023E-4,0.0392711,0.013033,5.76232E-7,2.094021E-6,2.519428E-5,1.533355E-8,1.156452E-6,10.58111,9.944556E-5,666985.7,666985.7
2.023343E-4,15.69906,-1.724568E7,1296.665,1296.665,0.001561201,1.0,0.9071733,0.002833341,4.968785E-5,0.002854741,3.644109E-4,9.932537E-6,4.314478E-7,0.003889098,3.942259E-7,0.02887781,7.306648E-4,9.566586E-5,5.143379E-4,0.03927035,0.01303213,5.765551E-7,2.095109E-6,2.520209E-5,1.53441E-8,1.157026E-6,10.58111,9.944552E-5,666985.3,666985.3
2.024134E-4,15.69907,-1.722696E7,1296.665,1296.665,0.001561201,1.0,0.9071713,0.002834339,4.970516E-5,0.002855745,3.645414E-4,9.939256E-6,4.317461E-7,0.003890493,3.945577E-7,0.02887817,7.30662E-4,9.571109E-5,5.145196E-4,0.03926935,0.01303097,5.769884E-7,2.096569E-6,2.521256E-5,1.535825E-8,1.157796E-6,10.5811,9.944547E-5,666984.8,666984.8
2.024528E-4,15.69907,-1.722437E7,1296.665,1296.665,0.001561201,1.0,0.9071703,0.002834835,4.971378E-5,0.002856245,3.646063E-4,9.9426E-6,4.318946E-7,0.003891187,3.947228E-7,0.02887835,7.306606E-4,9.573359E-5,5.146099E-4,0.03926886,0.01303039,5.772041E-7,2.097295E-6,2.521777E-5,1.53653E-8,1.158179E-6,10.58109,9.944544E-5,666984.6,666984.6
2.025393E-4,15.69908,-1.720845E7,1296.664,1296.664,0.001561201,1.0,0.9071681,0.002835926,4.973271E-5,0.002857343,3.647491E-4,9.949954E-6,4.322213E-7,0.003892713,3.95086E-7,0.02887875,7.306574E-4,9.578306E-5,5.148087E-4,0.03926776,0.01302911,5.776784E-7,2.098893E-6,2.522923E-5,1.53808E-8,1.159021E-6,10.58109,9.944538E-5,666984.0,666984.0
2.02678E-4,15.6991,-1.720111E7,1296.664,1296.664,0.001561201,1.0,0.9071646,0.002837675,4.976305E-5,0.002859102,3.649778E-4,9.961742E-6,4.327448E-7,0.003895158,3.956683E-7,0.02887938,7.306523E-4,9.586234E-5,5.15127E-4,0.03926601,0.01302707,5.784386E-7,2.101453E-6,2.524758E-5,1.540564E-8,1.160371E-6,10.58107,9.944529E-5,666983.1,666983.1
2.028689E-4,15.69912,-1.717274E7,1296.663,1296.663,0.001561201,1.0,0.9071597,0.00284008,4.980479E-5,0.002861523,3.652925E-4,9.977969E-6,4.334657E-7,0.003898522,3.964702E-7,0.02888026,7.306452E-4,9.597142E-5,5.15565E-4,0.0392636,0.01302426,5.794854E-7,2.104979E-6,2.527284E-5,1.543987E-8,1.16223E-6,10.58105,9.944515E-5,666981.9,666981.9
2.02989E-4,15.69913,-1.717565E7,1296.663,1296.663,0.001561201,1.0,0.9071567,0.002841594,4.983106E-5,0.002863046,3.654906E-4,9.988189E-6,4.339198E-7,0.003900639,3.969756E-7,0.02888081,7.306406E-4,9.604009E-5,5.158408E-4,0.03926208,0.01302249,5.801449E-7,2.1072E-6,2.528874E-5,1.546144E-8,1.163401E-6,10.58104,9.944507E-5,666981.2,666981.2
2.032379E-4,15.69916,-1.712621E7,1296.662,1296.662,0.001561201,1.0,0.9071504,0.00284473,4.988547E-5,0.002866202,3.659009E-4,1.000937E-5,4.34861E-7,0.003905024,3.980233E-7,0.02888195,7.306311E-4,9.618233E-5,5.164117E-4,0.03925894,0.01301883,5.815116E-7,2.111802E-6,2.532167E-5,1.550617E-8,1.165828E-6,10.58102,9.94449E-5,666979.6,666979.6
2.032889E-4,15.69917,-1.712752E7,1296.662,1296.662,0.001561201,1.0,0.9071491,0.002845373,4.989662E-5,0.002866848,3.65985E-4,1.001371E-5,4.350541E-7,0.003905922,3.982383E-7,0.02888218,7.306291E-4,9.621149E-5,5.165287E-4,0.03925829,0.01301808,5.81792E-7,2.112746E-6,2.532842E-5,1.551534E-8,1.166326E-6,10.58101,9.944486E-5,666979.3,666979.3
2.18264E-4,15.7008,-1.550427E7,1296.615,1296.615,0.001561201,1.0,0.9067722,0.003032551,5.313899E-5,0.003054874,3.904657E-4,1.131456E-5,4.933232E-7,0.004167613,4.639289E-7,0.02895083,7.297442E-4,1.047585E-4,5.505708E-4,0.03907049,0.01280008,6.663645E-7,2.396668E-6,2.730342E-5,1.833713E-8,1.316131E-6,10.57952,9.943449E-5,666885.6,666885.6
2.282893E-4,15.7019,-1.452588E7,1296.586,1296.586,0.001561201,1.0,0.9065231,0.003156272,5.527655E-5,0.003178838,4.066391E-4,1.221279E-5,5.340871E-7,0.004340537,5.107782E-7,0.02899671,7.288483E-4,1.104602E-4,5.730287E-4,0.03894619,0.01265667,7.254454E-7,2.594113E-6,2.861855E-5,2.036875E-8,1.420434E-6,10.57855,9.942753E-5,666824.0,666824.1
2.472497E-4,15.70398,-1.283881E7,1296.536,1296.536,0.001561201,1.0,0.9060588,0.003386848,5.924877E-5,0.003409207,4.367677E-4,1.396731E-5,6.149856E-7,0.004662737,6.057154E-7,0.02908308,7.265984E-4,1.211729E-4,6.147934E-4,0.03871417,0.01239087,8.423695E-7,2.983032E-6,3.10897E-5,2.452921E-8,1.626251E-6,10.57674,9.941435E-5,666710.1,666710.1
2.493741E-4,15.70422,-1.270617E7,1296.531,1296.531,0.001561201,1.0,0.9060073,0.003412412,5.96883E-5,0.003434698,4.401072E-4,1.416811E-5,6.24351E-7,0.004698457,6.168604E-7,0.02909271,7.263071E-4,1.223662E-4,6.19417E-4,0.03868841,0.01236152,8.558728E-7,3.02781E-6,3.136526E-5,2.50211E-8,1.649981E-6,10.57654,9.941287E-5,666697.5,666697.5
2.496071E-4,15.70424,-1.269422E7,1296.531,1296.531,0.001561201,1.0,0.9060017,0.003415213,5.973645E-5,0.003437491,4.404731E-4,1.419019E-5,6.25382E-7,0.00470237,6.180891E-7,0.02909376,7.262747E-4,1.22497E-4,6.199235E-4,0.03868559,0.0123583,8.573588E-7,3.032736E-6,3.139546E-5,2.507537E-8,1.652592E-6,10.57652,9.941271E-5,666696.1,666696.2
2.496811E-4,15.70425,-1.267985E7,1296.53,1296.53,0.001561201,1.0,0.9059999,0.003416103,5.975174E-5,0.003438378,4.405893E-4,1.41972E-5,6.257096E-7,0.004703613,6.184796E-7,0.0290941,7.262643E-4,1.225386E-4,6.200843E-4,0.03868469,0.01235728,8.578311E-7,3.034302E-6,3.140506E-5,2.509262E-8,1.653421E-6,10.57651,9.941266E-5,666695.7,666695.7
2.497728E-4,15.70426,-1.264621E7,1296.53,1296.53,0.001561201,1.0,0.9059977,0.003417205,5.977068E-5,0.003439476,4.407332E-4,1.420589E-5,6.261156E-7,0.004705152,6.189637E-7,0.02909451,7.262515E-4,1.2259E-4,6.202836E-4,0.03868358,0.01235602,8.584162E-7,3.036241E-6,3.141695E-5,2.511401E-8,1.654449E-6,10.5765,9.941259E-5,666695.2,666695.2
2.522314E-4,15.70453,-1.242492E7,1296.524,1296.524,0.001561201,1.0,0.9059382,0.003446707,6.027762E-5,0.003468876,4.445869E-4,1.443962E-5,6.370524E-7,0.004746372,6.320282E-7,0.02910564,7.259027E-4,1.239686E-4,6.256172E-4,0.03865385,0.01232218,8.74173E-7,3.088449E-6,3.173544E-5,2.569174E-8,1.682129E-6,10.57627,9.941088E-5,666680.7,666680.7
3.97201E-4,15.72015,-4103824.0,1296.307,1296.307,0.001561201,1.0,0.9026736,0.005068992,8.782705E-5,0.005066461,6.564605E-4,2.969355E-5,1.415701E-6,0.007014043,1.641545E-6,0.02972284,6.95237E-4,2.000516E-4,9.163251E-4,0.03700431,0.01050973,1.965176E-6,6.646832E-6,4.985987E-5,7.241596E-8,3.596063E-6,10.56399,9.931209E-5,665906.6,665906.6
0.001,15.77373,6669110.0,1296.641,1296.641,0.001561201,1.0,0.8928143,0.009993779,1.690408E-4,0.009744512,0.001311085,9.866448E-5,6.561366E-6,0.01401252,9.99914E-6,0.03132805,5.466436E-4,4.00413E-4,0.001774634,0.03174695,0.005626695,8.212973E-6,2.622317E-5,1.125684E-4,5.163557E-7,1.508027E-5,10.53083,9.897479E-5,663815.9,663816.0
