Time_Soln#9 (sec),Volume_Soln#9 (cm3),Volumetric_heat_production_rate_Soln#9 (erg/cm3-sec),Surface_temperature_Soln#9 (K),Temperature_Soln#9 (K),Mass_Soln#9 (g),Pressure_Soln#9 (atm),Mole_fraction_H2_Soln#9 (),Mole_fraction_CH4_Soln#9 (),Mole_fraction_C2H6_Soln#9 (),Mole_fraction_C2H4_Soln#9 (),Mole_fraction_C2H2_Soln#9 (),Mole_fraction_C4H4_Soln#9 (),Mole_fraction_C6H6_Soln#9 (),Mole_fraction_C10H8_Soln#9 (),Mole_fraction_C7H8_Soln#9 (),Mole_fraction_C7H7_Soln#9 (),Mole_fraction_STILB_Soln#9 (),Mole_fraction_C6H5C2H_Soln#9 (),Mole_fraction_C6H5C2H3_Soln#9 (),Mole_fraction_C6H5C2H5_Soln#9 (),Mole_fraction_INDENE_Soln#9 (),Mole_fraction_BIPHENYL_Soln#9 (),Mole_fraction_C14H10_Soln#9 (),Mole_fraction_C16H10_Soln#9 (),Mole_fraction_BIN1B_Soln#9 (),Mole_fraction_BIN1A_Soln#9 (),Molecular_weight_Soln#9 (g/mole),Mass_density_Soln#9 (g/cm3),Unburned_hydrocarbons_Soln#9 (ppm),Volatile_organic_compounds_Soln#9 (ppm)
0.0,15.7,-2.4144E9,1400.0,1400.0,0.001449687,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,9.233675E-5,668660.8,668660.8
3.565226E-8,15.69986,-2.404306E9,1399.983,1399.983,0.001449687,1.0,0.9128501,2.907252E-8,5.69884E-12,2.325361E-9,5.895501E-9,4.611586E-13,7.982986E-9,1.844074E-18,0.02851728,2.900436E-6,5.481298E-12,2.564066E-10,0.04210644,0.01652035,3.799209E-18,2.52166E-17,9.751807E-12,2.658111E-13,2.553353E-22,1.128459E-13,10.60765,9.23376E-5,668658.7,668658.7
5.208093E-7,15.69794,-2.251624E9,1399.754,1399.754,0.001449687,1.0,0.9128114,5.662971E-6,1.511156E-8,9.500242E-7,1.739676E-7,1.054186E-10,1.207378E-6,2.299024E-14,0.02851414,4.281864E-5,9.764022E-9,2.503428E-7,0.04210487,0.01647677,2.045463E-13,1.885692E-12,4.392027E-9,2.375571E-10,1.086167E-16,1.005151E-10,10.60721,9.234885E-5,668630.8,668630.8
2.103359E-6,15.69243,-1.995141E9,1399.079,1399.079,0.001449687,1.0,0.9126523,7.115261E-5,5.747223E-7,2.552271E-5,3.618256E-6,2.103377E-9,3.434988E-5,1.570658E-11,0.0284874,1.824398E-4,4.099879E-7,6.356015E-6,0.04205867,0.01632694,6.606986E-11,7.772313E-10,1.297442E-7,6.059121E-9,1.509125E-13,2.533748E-9,10.60582,9.238131E-5,668543.3,668543.3
8.618592E-6,15.67876,-1.188817E9,1396.962,1396.962,0.001449687,1.0,0.9117062,5.722403E-4,8.672373E-6,3.976663E-4,6.365092E-5,4.114051E-8,5.461764E-4,4.523771E-9,0.02828569,7.471304E-4,7.247647E-6,9.246723E-5,0.04163224,0.01563581,9.677114E-9,7.377977E-8,2.232503E-6,9.828509E-8,7.130337E-11,4.002708E-8,10.59901,9.246182E-5,668113.8,668113.8
2.439539E-5,15.67381,-3.405803E8,1394.871,1394.871,0.001449687,1.0,0.9095136,0.001796375,2.903864E-5,0.001371682,2.282315E-4,2.611359E-7,0.001903431,6.46322E-8,0.02833156,0.001356378,2.90434E-5,3.153018E-4,0.04067762,0.0141206,1.363417E-7,5.917675E-7,9.470404E-6,5.474773E-7,1.531399E-9,2.277498E-7,10.58649,9.249105E-5,667324.6,667324.6
5.628274E-5,15.6866,-4.388075E7,1393.932,1393.932,0.001449687,1.0,0.9059045,0.003866766,5.841205E-5,0.002897186,4.923459E-4,9.235699E-7,0.004077492,4.026679E-7,0.02917988,0.001573159,8.07474E-5,6.678977E-4,0.03913119,0.01167517,7.284112E-7,2.357273E-6,2.463381E-5,2.414388E-6,1.214326E-8,1.063468E-6,10.57074,9.241565E-5,666331.6,666331.6
5.843929E-5,15.6877,-3.722202E7,1393.914,1393.914,0.001449687,1.0,0.9056838,0.003993328,6.004856E-5,0.002988603,5.084695E-4,9.749131E-7,0.0042097,4.367233E-7,0.02924356,0.001574766,8.441113E-5,6.891794E-4,0.03903571,0.01152985,7.804154E-7,2.502555E-6,2.564794E-5,2.579567E-6,1.329516E-8,1.140411E-6,10.56986,9.240915E-5,666276.2,666276.2
5.990255E-5,15.68845,-3.306858E7,1393.904,1393.904,0.001449687,1.0,0.9055355,0.004078377,6.113877E-5,0.003049968,5.193131E-4,1.010137E-6,0.004298571,4.606528E-7,0.02928674,0.001575453,8.689496E-5,7.034747E-4,0.03897142,0.01143247,8.164007E-7,2.602677E-6,2.633445E-5,2.693964E-6,1.411089E-8,1.193949E-6,10.56927,9.240471E-5,666239.2,666239.2
6.007434E-5,15.68854,-3.267455E7,1393.903,1393.903,0.001449687,1.0,0.9055181,0.004088318,6.12657E-5,0.003057138,5.205811E-4,1.014292E-6,0.004308961,4.635057E-7,0.02929181,0.001575513,8.718638E-5,7.051453E-4,0.0389639,0.0114211,8.206615E-7,2.614511E-6,2.641496E-5,2.707514E-6,1.420847E-8,1.200303E-6,10.5692,9.240419E-5,666234.9,666234.9
6.010152E-5,15.68856,-3.259728E7,1393.903,1393.903,0.001449687,1.0,0.9055154,0.004089891,6.128577E-5,0.003058272,5.207816E-4,1.01495E-6,0.004310604,4.63958E-7,0.02929261,0.001575522,8.723249E-5,7.054096E-4,0.03896271,0.0114193,8.213365E-7,2.616385E-6,2.64277E-5,2.709661E-6,1.422395E-8,1.20131E-6,10.56919,9.24041E-5,666234.2,666234.2
6.011882E-5,15.68856,-3.248713E7,1393.902,1393.902,0.001449687,1.0,0.9055136,0.004090891,6.129853E-5,0.003058994,5.209092E-4,1.015369E-6,0.00431165,4.642459E-7,0.02929312,0.001575528,8.726183E-5,7.055777E-4,0.03896195,0.01141816,8.21766E-7,2.617578E-6,2.64358E-5,2.711027E-6,1.42338E-8,1.201951E-6,10.56918,9.240405E-5,666233.8,666233.8
6.102853E-5,15.68904,-3.002375E7,1393.897,1393.897,0.001449687,1.0,0.9054221,0.004143372,6.196676E-5,0.00309683,5.27605E-4,1.037451E-6,0.004366506,4.79521E-7,0.02931994,0.001575775,8.880428E-5,7.143964E-4,0.03892223,0.0113582,8.444675E-7,2.680552E-6,2.686181E-5,2.783241E-6,1.475763E-8,1.23587E-6,10.56882,9.240128E-5,666211.1,666211.1
6.115654E-5,15.6891,-2.976662E7,1393.896,1393.896,0.001449687,1.0,0.9054092,0.004150737,6.206031E-5,0.003102138,5.285449E-4,1.040568E-6,0.004374205,4.816908E-7,0.02932371,0.001575801,8.902121E-5,7.156339E-4,0.03891665,0.01134979,8.476785E-7,2.689451E-6,2.692171E-5,2.793457E-6,1.48322E-8,1.240675E-6,10.56877,9.240089E-5,666207.9,666207.9
6.11754E-5,15.68911,-2.971133E7,1393.896,1393.896,0.001449687,1.0,0.9054074,0.004151822,6.207408E-5,0.00310292,5.286833E-4,1.041027E-6,0.004375339,4.820109E-7,0.02932427,0.001575805,8.905318E-5,7.158162E-4,0.03891583,0.01134855,8.481521E-7,2.690763E-6,2.693054E-5,2.794964E-6,1.484321E-8,1.241384E-6,10.56877,9.240083E-5,666207.4,666207.4
6.120113E-5,15.68912,-2.960626E7,1393.896,1393.896,0.001449687,1.0,0.9054048,0.004153302,6.209287E-5,0.003103987,5.288722E-4,1.041654E-6,0.004376886,4.824479E-7,0.02932503,0.00157581,8.909678E-5,7.160648E-4,0.0389147,0.01134686,8.487982E-7,2.692553E-6,2.694258E-5,2.79702E-6,1.485823E-8,1.242351E-6,10.56876,9.240075E-5,666206.8,666206.8
6.159136E-5,15.68933,-2.857499E7,1393.893,1393.893,0.001449687,1.0,0.9053657,0.004175717,6.237718E-5,0.00312014,5.317331E-4,1.051171E-6,0.00440032,4.890991E-7,0.02933652,0.001575873,8.975787E-5,7.198308E-4,0.03889772,0.01132129,8.586165E-7,2.719744E-6,2.712511E-5,2.828263E-6,1.50871E-8,1.257056E-6,10.5686,9.239956E-5,666197.1,666197.1
