Time_Soln#10 (sec),Volume_Soln#10 (cm3),Volumetric_heat_production_rate_Soln#10 (erg/cm3-sec),Surface_temperature_Soln#10 (K),Temperature_Soln#10 (K),Mass_Soln#10 (g),Pressure_Soln#10 (atm),Mole_fraction_H2_Soln#10 (),Mole_fraction_CO_Soln#10 (),Mole_fraction_CH4_Soln#10 (),Mole_fraction_C2H4_Soln#10 (),Mole_fraction_C2H2_Soln#10 (),Mole_fraction_RALD3_Soln#10 (),Mole_fraction_C4H4_Soln#10 (),Mole_fraction_C6H6_Soln#10 (),Mole_fraction_C10H8_Soln#10 (),Mole_fraction_C7H8_Soln#10 (),Mole_fraction_C7H7_Soln#10 (),Mole_fraction_STILB_Soln#10 (),Mole_fraction_C6H5C2H_Soln#10 (),Mole_fraction_C6H5C2H3_Soln#10 (),Mole_fraction_C6H5C2H5_Soln#10 (),Mole_fraction_BIPHENYL_Soln#10 (),Mole_fraction_C14H10_Soln#10 (),Mole_fraction_C16H10_Soln#10 (),Mole_fraction_BIN1B_Soln#10 (),Mole_fraction_BIN1A_Soln#10 (),Molecular_weight_Soln#10 (g/mole),Mass_density_Soln#10 (g/cm3),Unburned_hydrocarbons_Soln#10 (ppm),Volatile_organic_compounds_Soln#10 (ppm)
0.0,15.7,-5.073927E9,1450.0,1450.0,0.001399698,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,8.915272E-5,668660.8,668660.8
1.576936E-8,15.69987,-5.061505E9,1449.983,1449.983,0.001399698,1.0,0.9128502,-5.85166E-28,1.455066E-8,1.322701E-9,6.022514E-9,-9.888682E-34,5.536344E-13,7.12145E-9,1.018987E-18,0.02851727,2.787462E-6,2.3088E-12,1.382529E-10,0.04210645,0.01652049,1.221119E-17,4.925906E-12,1.079276E-13,6.450887E-23,4.581989E-14,10.60765,8.915347E-5,668658.7,668658.7
2.526925E-7,15.69792,-4.882544E9,1449.738,1449.738,0.001399698,1.0,0.9128104,-5.078095E-27,3.528596E-6,5.017218E-7,1.409144E-7,-9.718713E-31,1.450992E-10,6.30436E-7,8.639827E-15,0.02851406,4.483367E-5,3.420028E-9,1.427232E-7,0.0421067,0.01647467,4.436634E-13,2.122624E-9,1.066222E-10,2.081008E-17,4.511965E-11,10.60717,8.916453E-5,668628.5,668628.5
1.726112E-6,15.68723,-4.224927E9,1448.349,1448.349,0.001399698,1.0,0.9124946,5.970158E-26,1.222263E-4,4.704986E-5,7.313485E-6,-6.394933E-25,8.220505E-9,6.27847E-5,4.951461E-11,0.02846031,3.228075E-4,6.879465E-7,1.293089E-5,0.0420316,0.01617613,2.447581E-9,2.337952E-7,9.765533E-9,4.78305E-13,4.046479E-9,10.60423,8.922528E-5,668443.1,668443.1
6.540666E-6,15.66906,-2.078713E9,1445.243,1445.243,0.001399698,1.0,0.9110903,7.467709E-19,8.76811E-4,5.78736E-4,1.032806E-4,-3.443379E-18,1.242605E-7,8.048679E-4,9.267694E-9,0.02819972,0.001145794,9.902113E-6,1.503382E-4,0.04144474,0.01512475,1.579373E-7,3.285665E-6,1.341663E-7,1.516299E-10,5.40497E-8,10.59376,8.932875E-5,667782.8,667782.8
1.749793E-5,15.66562,-5.45836E8,1442.731,1442.731,0.001399698,1.0,0.9082549,5.312326E-13,0.002548779,0.001744391,3.25524E-4,-2.208999E-12,6.483237E-7,0.002469777,1.087545E-7,0.02839282,0.001914253,3.580323E-5,4.496551E-4,0.04027411,0.01309148,9.952981E-7,1.228875E-5,7.482363E-7,2.49082E-9,3.089797E-7,10.57767,8.934837E-5,666768.8,666768.8
3.78226E-5,15.68229,-2.651248E7,1441.841,1441.841,0.001399698,1.0,0.9041367,6.121364E-9,0.00503649,0.003338382,6.403755E-4,-2.24784E-8,1.936672E-6,0.004815393,5.958481E-7,0.02951988,0.002162833,8.903554E-5,8.651853E-4,0.03859279,0.01023091,3.286338E-6,2.909757E-5,3.134843E-6,1.623683E-8,1.362072E-6,10.55991,8.925339E-5,665649.3,665649.4
3.959645E-5,15.68404,-1.068124E7,1441.835,1441.835,0.001399698,1.0,0.9038202,6.300037E-9,0.005227309,0.003458558,6.647433E-4,-2.248952E-8,2.058406E-6,0.004995551,6.582571E-7,0.02962333,0.002163236,9.36979E-5,8.968383E-4,0.03846097,0.01001877,3.51762E-6,3.053695E-5,3.405164E-6,1.812289E-8,1.486367E-6,10.55868,8.924343E-5,665571.8,665571.9
4.071012E-5,15.68515,-1789571.0,1441.833,1441.833,0.001399698,1.0,0.9036245,6.413845E-9,0.00534529,0.003532811,6.798479E-4,-2.244392E-8,2.135345E-6,0.005107104,6.990774E-7,0.02968794,0.002162676,9.660749E-5,9.164189E-4,0.03837914,0.009888131,3.664825E-6,3.143731E-5,3.578964E-6,1.936882E-8,1.566777E-6,10.55793,8.923714E-5,665524.3,665524.4
4.072157E-5,15.68516,-1645092.0,1441.833,1441.833,0.001399698,1.0,0.9036225,6.415352E-9,0.005346495,0.003533569,6.800024E-4,-2.24439E-8,2.136137E-6,0.005108244,6.995034E-7,0.0296886,0.002162667,9.663731E-5,9.16619E-4,0.03837831,0.009886799,3.666345E-6,3.144655E-5,3.580766E-6,1.938188E-8,1.567612E-6,10.55792,8.923708E-5,665523.8,665523.9
4.233982E-5,15.68677,1.016451E7,1441.835,1441.835,0.001399698,1.0,0.9033419,6.624987E-9,0.005515449,0.003639851,7.01689E-4,-2.244102E-8,2.248605E-6,0.005268242,7.611036E-7,0.0297819,0.002160842,1.00837E-4,9.446774E-4,0.03826064,0.009700436,3.882915E-6,3.275006E-5,3.838777E-6,2.128016E-8,1.687699E-6,10.55685,8.922793E-5,665456.3,665456.3
7.104061E-5,15.71421,9.686557E7,1442.236,1442.236,0.001399698,1.0,0.8990177,9.317085E-9,0.008098344,0.005269931,0.001044696,-2.239895E-8,4.329538E-6,0.007771272,2.276305E-6,0.03126134,0.00202641,1.673543E-4,0.00137951,0.03637329,0.006959401,8.096076E-6,5.480078E-5,9.19781E-6,7.315491E-8,4.354616E-6,10.54134,8.907208E-5,664478.7,664478.8
1.214936E-4,15.75207,9.399573E7,1443.302,1443.302,0.001399698,1.0,0.8935968,1.233087E-8,0.0112451,0.007340425,0.001512996,-2.235061E-8,8.087902E-6,0.01109539,6.564671E-6,0.03298494,0.001692372,2.455827E-4,0.001942606,0.03372568,0.003936501,1.612946E-5,8.831011E-5,2.014598E-5,2.497944E-7,1.06799E-5,10.52379,8.885803E-5,663372.1,663372.2
2.563571E-4,15.80369,2.281496E7,1444.901,1444.901,0.001399698,1.0,0.8860227,1.618166E-8,0.01524204,0.01049283,0.002317456,-2.224379E-8,1.698058E-5,0.01651766,2.334154E-5,0.0344169,0.001051345,3.283159E-4,0.002809096,0.0290843,9.015241E-4,3.541872E-5,1.520971E-4,4.676179E-5,1.075324E-6,3.018891E-5,10.50103,8.85678E-5,661937.7,661937.7
3.265705E-4,15.81554,770827.3,1445.062,1445.062,0.001399698,1.0,0.883876,1.714276E-8,0.01621296,0.01150317,0.002605567,-2.201886E-8,2.081875E-5,0.01836058,3.321736E-5,0.03438005,8.722726E-4,3.443084E-4,0.003083269,0.02743857,4.340322E-4,4.381297E-5,1.761557E-4,5.783674E-5,1.596634E-6,3.984942E-5,10.49433,8.850143E-5,661515.3,661515.4
3.310386E-4,15.81611,-278180.9,1445.062,1445.062,0.001399698,1.0,0.8837599,1.721704E-8,0.01626284,0.01155975,0.002622214,-2.201794E-8,2.104934E-5,0.01846544,3.385745E-5,0.03436964,8.635691E-4,3.450716E-4,0.003098498,0.02734434,4.148609E-4,4.432027E-5,1.775596E-4,5.849026E-5,1.630928E-6,4.044526E-5,10.49395,8.849825E-5,661491.7,661491.7
3.39332E-4,15.81712,-2133506.0,1445.06,1445.06,0.001399698,1.0,0.8835494,1.741854E-8,0.0163526,0.01166283,0.002652683,-2.201612E-8,2.147377E-5,0.01865693,3.504885E-5,0.03434842,8.481422E-4,3.46429E-4,0.003126201,0.02717215,3.816835E-4,4.525508E-5,1.801333E-4,5.968947E-5,1.694907E-6,4.15458E-5,10.49327,8.84926E-5,661448.5,661448.5
3.39494E-4,15.81714,-2211249.0,1445.06,1445.06,0.001399698,1.0,0.8835453,1.742428E-8,0.01635432,0.01166482,0.002653273,-2.201609E-8,2.148202E-5,0.01866063,3.507217E-5,0.03434798,8.478498E-4,3.464548E-4,0.003126736,0.02716882,3.810645E-4,4.527326E-5,1.801832E-4,5.971273E-5,1.696161E-6,4.156723E-5,10.49326,8.849249E-5,661447.6,661447.7
3.395768E-4,15.81715,-2309902.0,1445.059,1445.059,0.001399698,1.0,0.8835432,1.742734E-8,0.0163552,0.01166584,0.002653574,-2.201607E-8,2.148623E-5,0.01866252,3.508408E-5,0.03434776,8.477006E-4,3.46468E-4,0.003127009,0.02716712,3.807488E-4,4.528255E-5,1.802086E-4,5.97246E-5,1.696802E-6,4.157818E-5,10.49325,8.849244E-5,661447.2,661447.2
3.395932E-4,15.81715,-2304571.0,1445.059,1445.059,0.001399698,1.0,0.8835428,1.742796E-8,0.01635537,0.01166604,0.002653634,-2.201606E-8,2.148707E-5,0.0186629,3.508644E-5,0.03434772,8.47671E-4,3.464706E-4,0.003127063,0.02716679,3.806862E-4,4.528439E-5,1.802137E-4,5.972696E-5,1.696929E-6,4.158035E-5,10.49325,8.849243E-5,661447.1,661447.2
3.39674E-4,15.81716,-2214478.0,1445.059,1445.059,0.001399698,1.0,0.8835408,1.743127E-8,0.01635623,0.01166703,0.002653928,-2.201605E-8,2.149118E-5,0.01866474,3.509808E-5,0.0343475,8.475253E-4,3.464834E-4,0.003127329,0.02716512,3.803781E-4,4.529346E-5,1.802386E-4,5.973856E-5,1.697555E-6,4.159105E-5,10.49324,8.849237E-5,661446.7,661446.7
3.409406E-4,15.81731,-2518227.0,1445.059,1445.059,0.001399698,1.0,0.8835092,1.749097E-8,0.01636961,0.01168255,0.002658532,-2.201577E-8,2.155559E-5,0.01869362,3.528043E-5,0.03434404,8.452545E-4,3.466839E-4,0.003131494,0.02713915,3.755872E-4,4.543543E-5,1.806278E-4,5.992008E-5,1.707365E-6,4.175848E-5,10.49314,8.849154E-5,661440.2,661440.2
3.410973E-4,15.81732,-2641016.0,1445.059,1445.059,0.001399698,1.0,0.8835053,1.749964E-8,0.01637127,0.01168447,0.0026591,-2.201574E-8,2.156355E-5,0.01869719,3.530299E-5,0.03434361,8.44975E-4,3.467086E-4,0.003132008,0.02713594,3.749991E-4,4.545299E-5,1.806759E-4,5.994251E-5,1.708579E-6,4.177918E-5,10.49312,8.849144E-5,661439.4,661439.4
3.414417E-4,15.81736,-2585726.0,1445.059,1445.059,0.001399698,1.0,0.8834968,1.752274E-8,0.01637489,0.01168867,0.002660349,-2.201566E-8,2.158104E-5,0.01870502,3.535261E-5,0.03434266,8.443617E-4,3.467628E-4,0.003133138,0.02712889,3.737102E-4,4.549156E-5,1.807816E-4,5.99918E-5,1.711249E-6,4.182469E-5,10.4931,8.849121E-5,661437.6,661437.7
3.456429E-4,15.81785,-3447131.0,1445.056,1445.056,0.001399698,1.0,0.8833932,1.780829E-8,0.01641862,0.01173967,0.002675515,-2.201476E-8,2.179381E-5,0.01880005,3.59583E-5,0.03433075,8.370082E-4,3.474138E-4,0.003146817,0.02704337,3.583793E-4,4.596087E-5,1.820651E-4,6.059053E-5,1.743872E-6,4.237873E-5,10.49276,8.848851E-5,661416.2,661416.3
3.508414E-4,15.81843,-4509760.0,1445.052,1445.052,0.001399698,1.0,0.8832671,1.811165E-8,0.0164716,0.01180197,0.002694103,-2.201366E-8,2.205562E-5,0.01891635,3.670929E-5,0.03431527,8.28216E-4,3.481956E-4,0.003163511,0.02693869,3.40357E-4,4.653884E-5,1.8364E-4,6.13256E-5,1.78439E-6,4.306199E-5,10.49234,8.848527E-5,661390.0,661390.1
3.512106E-4,15.81847,-4625146.0,1445.051,1445.051,0.001399698,1.0,0.8832583,1.813651E-8,0.01647532,0.01180637,0.002695416,-2.201359E-8,2.207415E-5,0.01892455,3.676268E-5,0.03431414,8.276042E-4,3.482502E-4,0.003164687,0.0269313,3.391159E-4,4.657977E-5,1.837513E-4,6.137756E-5,1.787273E-6,4.311041E-5,10.49231,8.848505E-5,661388.2,661388.2
