Time_Soln#17 (sec),Volume_Soln#17 (cm3),Volumetric_heat_production_rate_Soln#17 (erg/cm3-sec),Surface_temperature_Soln#17 (K),Temperature_Soln#17 (K),Mass_Soln#17 (g),Pressure_Soln#17 (atm),Mole_fraction_H2_Soln#17 (),Mole_fraction_H_Soln#17 (),Mole_fraction_CH4_Soln#17 (),Mole_fraction_CH3_Soln#17 (),Mole_fraction_C2H4_Soln#17 (),Mole_fraction_C2H2_Soln#17 (),Mole_fraction_C3H4-P_Soln#17 (),Mole_fraction_C4H2_Soln#17 (),Mole_fraction_C6H6_Soln#17 (),Mole_fraction_C10H8_Soln#17 (),Mole_fraction_C7H8_Soln#17 (),Mole_fraction_C7H7_Soln#17 (),Mole_fraction_C6H5C2H_Soln#17 (),Mole_fraction_C6H5C2H3_Soln#17 (),Mole_fraction_C6H5C2H5_Soln#17 (),Mole_fraction_C12H8_Soln#17 (),Mole_fraction_BIPHENYL_Soln#17 (),Mole_fraction_C14H10_Soln#17 (),Mole_fraction_BIN1B_Soln#17 (),Mole_fraction_BIN1A_Soln#17 (),Molecular_weight_Soln#17 (g/mole),Mass_density_Soln#17 (g/cm3),Unburned_hydrocarbons_Soln#17 (ppm),Volatile_organic_compounds_Soln#17 (ppm)
0.0,15.7,-2.093391E11,1800.0,1800.0,0.001127534,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,7.181747E-5,668660.8,668660.8
1.112855E-9,15.69968,-2.091564E11,1799.943,1799.943,0.001127534,1.0,0.9128438,9.109782E-7,9.03426E-9,8.961782E-6,2.828723E-9,4.200173E-8,2.836692E-13,2.206426E-12,4.244816E-8,1.150948E-17,0.02851627,9.774908E-6,2.076732E-9,0.04210729,0.01651279,4.852815E-19,1.961277E-17,3.710956E-12,5.648914E-23,1.971819E-13,10.60756,7.181893E-5,668653.1,668653.1
2.410681E-8,15.69314,-2.056102E11,1798.769,1798.769,0.001127534,1.0,0.9126582,2.168733E-5,4.130507E-6,1.882265E-4,6.322609E-7,1.04394E-6,3.392197E-10,2.057392E-9,1.383874E-6,1.041747E-13,0.02849124,2.095893E-4,6.507217E-7,0.04212606,0.01629321,4.648856E-15,2.892826E-13,2.000332E-9,1.396307E-17,6.758423E-11,10.60507,7.184888E-5,668495.9,668495.9
1.282195E-7,15.66499,-1.90516E11,1793.699,1793.699,0.001127534,1.0,0.9117966,1.488135E-4,1.058247E-4,8.73418E-4,2.304335E-5,9.152747E-6,2.913196E-8,1.852591E-7,2.673846E-5,2.907976E-11,0.02835711,0.001070264,1.436626E-5,0.042173,0.01534778,6.579378E-13,4.01107E-10,8.726077E-8,3.310258E-14,1.619815E-9,10.59418,7.197799E-5,667809.4,667809.4
6.023328E-7,15.57226,-1.161833E11,1775.789,1775.789,0.001127534,1.0,0.9078018,7.143218E-4,0.001562134,0.002358514,6.097455E-4,1.853152E-4,1.366558E-6,9.685741E-6,8.553482E-4,2.244849E-8,0.02741521,0.004246023,3.197477E-4,0.04158775,0.01179745,8.794679E-11,2.771269E-7,3.339112E-6,8.999229E-11,4.183236E-8,10.55085,7.240658E-5,665078.2,665078.2
7.948397E-7,15.55109,-8.899165E10,1770.971,1770.971,0.001127534,1.0,0.9062856,8.128826E-4,0.002356324,0.002554437,9.940605E-4,3.143108E-4,2.579611E-6,1.706345E-5,0.001475279,7.297488E-8,0.02702922,0.005176173,5.153371E-4,0.04110569,0.01064228,3.333711E-10,6.972351E-7,5.911513E-6,3.309672E-10,7.540552E-8,10.53655,7.250517E-5,664176.9,664176.9
8.704376E-7,15.54486,-7.978422E10,1769.411,1769.411,0.001127534,1.0,0.9057159,8.343327E-4,0.002677979,0.002597436,0.001152865,3.698267E-4,3.164496E-6,2.027551E-5,0.001742041,1.061838E-7,0.0268929,0.005486979,5.959291E-4,0.04089986,0.01022719,5.347503E-10,9.196315E-7,7.049439E-6,4.959871E-10,9.178077E-8,10.53148,7.253421E-5,663857.4,663857.4
8.888072E-7,15.5435,-7.767844E10,1769.056,1769.056,0.001127534,1.0,0.9055797,8.383764E-4,0.002756553,0.002605571,0.001191766,3.835993E-4,3.315653E-6,2.107638E-5,0.001808202,1.156366E-7,0.02686124,0.005558166,6.156616E-4,0.04084896,0.01012939,5.968E-10,9.782804E-7,7.334514E-6,5.433529E-10,9.605338E-8,10.5303,7.254055E-5,663782.5,663782.5
9.115572E-7,15.5419,-7.514122E10,1768.631,1768.631,0.001127534,1.0,0.9054123,8.428139E-4,0.002854013,0.002614498,0.00124005,4.007843E-4,3.507684E-6,2.207809E-5,0.001890744,1.28148E-7,0.02682284,0.005644054,6.4015E-4,0.04078554,0.01000989,6.818617E-10,1.053327E-6,7.691761E-6,6.06215E-10,1.01509E-7,10.52885,7.254804E-5,663691.3,663691.3
9.432094E-7,15.53981,-7.173999E10,1768.062,1768.062,0.001127534,1.0,0.9051815,8.480052E-4,0.002989806,0.002624917,0.001307358,4.249035E-4,3.783655E-6,2.348872E-5,0.002006568,1.470964E-7,0.02677089,0.005759457,6.742828E-4,0.04069668,0.009846544,8.166613E-10,1.162071E-6,8.196038E-6,7.016851E-10,1.094073E-7,10.52688,7.25578E-5,663567.1,663567.1
