Time_Soln#20 (sec),Volume_Soln#20 (cm3),Volumetric_heat_production_rate_Soln#20 (erg/cm3-sec),Surface_temperature_Soln#20 (K),Temperature_Soln#20 (K),Mass_Soln#20 (g),Pressure_Soln#20 (atm),Mole_fraction_H2_Soln#20 (),Mole_fraction_H_Soln#20 (),Mole_fraction_CO_Soln#20 (),Mole_fraction_CH4_Soln#20 (),Mole_fraction_CH3_Soln#20 (),Mole_fraction_C2H4_Soln#20 (),Mole_fraction_C2H2_Soln#20 (),Mole_fraction_C3H4-P_Soln#20 (),Mole_fraction_RALD3_Soln#20 (),Mole_fraction_C4H2_Soln#20 (),Mole_fraction_C6H6_Soln#20 (),Mole_fraction_C10H8_Soln#20 (),Mole_fraction_C7H8_Soln#20 (),Mole_fraction_C7H7_Soln#20 (),Mole_fraction_C6H5C2H_Soln#20 (),Mole_fraction_C6H5C2H3_Soln#20 (),Mole_fraction_C6H5C2H5_Soln#20 (),Mole_fraction_C14H10_Soln#20 (),Mole_fraction_BIN1B_Soln#20 (),Mole_fraction_BIN1A_Soln#20 (),Molecular_weight_Soln#20 (g/mole),Mass_density_Soln#20 (g/cm3),Unburned_hydrocarbons_Soln#20 (ppm),Volatile_organic_compounds_Soln#20 (ppm)
0.0,15.7,-5.827864E11,1950.0,1950.0,0.001040801,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,10.60769,6.629305E-5,668660.8,668660.8
3.150776E-10,15.69977,-5.826854E11,1949.952,1949.952,0.001040801,1.0,0.9128452,8.187589E-7,-2.605646E-29,3.013644E-9,7.477106E-6,2.721508E-9,5.125587E-8,9.438138E-13,-1.455609E-36,2.986816E-12,5.102903E-8,8.665265E-18,0.02851649,8.102816E-6,2.302829E-9,0.04210746,0.01651411,1.328648E-12,1.33427E-23,1.851513E-13,10.60758,6.629401E-5,668654.1,668654.1
8.648155E-9,15.69376,-5.76116E11,1948.686,1948.686,0.001040801,1.0,0.9126464,2.509321E-5,2.221958E-23,2.221342E-6,2.009777E-4,3.267556E-7,1.640687E-6,9.177391E-10,7.410082E-30,3.833694E-9,1.596581E-6,1.486853E-13,0.02849076,2.197638E-4,1.218438E-6,0.04213755,0.01626767,1.053379E-9,5.768813E-18,9.974101E-11,10.60476,6.631942E-5,668476.1,668476.1
4.817002E-8,15.66641,-5.363534E11,1942.932,1942.932,0.001040801,1.0,0.911705,1.701877E-4,2.967855E-16,6.401395E-5,0.001015762,1.098042E-5,1.194777E-5,5.489316E-8,-9.314972E-25,2.979441E-7,1.675445E-5,2.867365E-11,0.02835832,0.001160909,1.744425E-5,0.04225363,0.01516798,4.085346E-8,6.72137E-15,1.518827E-9,10.5919,6.64352E-5,667665.7,667665.7
2.258708E-7,15.56572,-3.957474E11,1921.459,1921.459,0.001040801,1.0,0.9076778,9.506377E-4,1.065787E-8,0.001041649,0.003205577,2.952635E-4,1.40741E-4,2.313359E-6,3.742374E-18,1.701279E-5,3.837827E-4,1.475114E-8,0.02751626,0.004464038,2.362146E-4,0.0422131,0.01128989,1.467451E-6,1.212113E-11,2.359283E-8,10.5426,6.686495E-5,664558.0,664558.1
2.725688E-7,15.5448,-3.639865E11,1916.835,1916.835,0.001040801,1.0,0.9066849,0.001126645,5.454946E-8,0.001411648,0.003521896,4.301975E-4,2.027684E-4,3.508524E-6,-7.796212E-16,2.666912E-5,5.797731E-4,3.333435E-8,0.0272423,0.005140411,3.305033E-4,0.04206644,0.010488,2.260596E-6,3.165524E-11,3.420915E-8,10.53138,6.695493E-5,663850.9,663851.0
2.838962E-7,15.54005,-3.56507E11,1915.771,1915.771,0.001040801,1.0,0.9064485,0.001165909,6.102168E-8,0.001505542,0.00358779,4.65939E-4,2.195475E-4,3.833884E-6,-3.505692E-16,2.932336E-5,6.334309E-4,3.9757E-8,0.02717397,0.005294344,3.552045E-4,0.04202392,0.01030434,2.479286E-6,3.894421E-11,3.711181E-8,10.52876,6.69754E-5,663685.4,663685.5
2.997745E-7,15.53359,-3.461731E11,1914.318,1914.318,0.001040801,1.0,0.9061201,0.001218593,6.346086E-8,0.001639457,0.003673811,5.178232E-4,2.441563E-4,4.312642E-6,9.643455E-18,3.323752E-5,7.124923E-4,5.029544E-8,0.02707725,0.005503718,3.90909E-4,0.04196013,0.0100536,2.802551E-6,5.133817E-11,4.140301E-8,10.52514,6.700322E-5,663457.3,663457.4
4.143853E-7,15.49376,-2.772204E11,1905.041,1905.041,0.001040801,1.0,0.9038532,0.001517999,6.649834E-8,0.0026634,0.00411574,9.413928E-4,4.551445E-4,8.517498E-6,1.303653E-17,6.733423E-5,0.001401084,2.002863E-7,0.02636515,0.006808807,6.780322E-4,0.04137883,0.008451409,5.661414E-6,2.573053E-10,8.064841E-8,10.50107,6.717549E-5,661939.9,661940.0
4.192446E-7,15.49231,-2.745348E11,1904.693,1904.693,0.001040801,1.0,0.9037612,0.00152769,6.750794E-8,0.002708358,0.004128752,9.608188E-4,4.652169E-4,8.723832E-6,1.342099E-17,6.897568E-5,0.001434256,2.103644E-7,0.026335,0.00685665,6.91073E-4,0.04135033,0.008390764,5.800904E-6,2.723185E-10,8.265905E-8,10.50012,6.718175E-5,661880.4,661880.6
5.317717E-7,15.4637,-2.181437E11,1897.51,1897.51,0.001040801,1.0,0.9017169,0.001694619,7.253326E-8,0.0037647,0.004336077,0.001429209,7.172456E-4,1.409987E-5,1.468199E-17,1.102922E-4,0.002267951,5.623103E-7,0.02565401,0.00781552,0.001003558,0.04063203,0.007124729,9.355991E-6,8.366801E-10,1.380754E-7,10.47988,6.730608E-5,660604.8,660604.9
5.426485E-7,15.46138,-2.132896E11,1896.9,1896.9,0.001040801,1.0,0.9015281,0.001705586,7.555297E-8,0.00386755,0.004348001,0.001475711,7.43178E-4,1.467867E-5,1.605317E-17,1.145696E-4,0.002353943,6.104012E-7,0.02559056,0.007894105,0.001034424,0.04055799,0.007015211,9.728102E-6,9.176658E-10,1.443924E-7,10.47808,6.731616E-5,660491.3,660491.5
5.94959E-7,15.45121,-1.913839E11,1894.152,1894.152,0.001040801,1.0,0.9006407,0.001747905,7.872309E-8,0.004361802,0.004389394,0.001700506,8.707199E-4,1.760179E-5,1.732945E-17,1.356846E-4,0.002776911,8.829332E-7,0.02529265,0.008240941,0.001183357,0.04019442,0.006516387,1.157348E-5,1.386527E-9,1.773212E-7,10.46979,6.736047E-5,659968.4,659968.6
6.374347E-7,15.44404,-1.752905E11,1892.129,1892.129,0.001040801,1.0,0.8999447,0.001771146,7.580302E-8,0.004761412,0.004405938,0.00188338,9.770682E-4,2.014004E-5,1.523686E-17,1.533994E-4,0.003129327,1.159009E-6,0.02506015,0.008487234,0.00130424,0.03989236,0.006142879,1.313068E-5,1.87351E-9,2.072763E-7,10.46347,6.739176E-5,659570.0,659570.1
6.946967E-7,15.43572,-1.55849E11,1889.669,1889.669,0.001040801,1.0,0.8990394,0.001789605,7.217964E-8,0.005295578,0.004408114,0.002128626,0.001123231,2.378474E-5,1.195204E-17,1.779293E-4,0.003612729,1.617784E-6,0.02476065,0.008774037,0.00146607,0.03947937,0.005679636,1.529694E-5,2.698982E-9,2.524307E-7,10.45549,6.742806E-5,659067.1,659067.2
7.195102E-7,15.43256,-1.48177E11,1888.689,1888.689,0.001040801,1.0,0.8986585,0.001793762,7.143858E-8,0.005524929,0.004402896,0.002234033,0.001187278,2.54401E-5,1.092273E-17,1.887512E-4,0.003824061,1.849824E-6,0.02463589,0.008883557,0.001535552,0.03929928,0.005492079,1.625541E-5,3.121609E-9,2.737471E-7,10.45222,6.74419E-5,658860.7,658860.8
7.421298E-7,15.42988,-1.415572E11,1887.838,1887.838,0.001040801,1.0,0.898317,0.001795816,7.130541E-8,0.005732697,0.00439528,0.002329519,0.001245925,2.698765E-5,1.038068E-17,1.987032E-4,0.004017264,2.079875E-6,0.02452478,0.008976167,0.001598465,0.03913488,0.00532759,1.713796E-5,3.543021E-9,2.941204E-7,10.44932,6.745361E-5,658678.2,658678.2
7.44559E-7,15.4296,-1.408665E11,1887.749,1887.749,0.001040801,1.0,0.8982807,0.001795945,7.125576E-8,0.005754931,0.004394309,0.002339736,0.001252236,2.7156E-5,1.030117E-17,1.997766E-4,0.004038034,2.105662E-6,0.024513,0.008985716,0.001605196,0.03911722,0.005310281,1.72332E-5,3.590384E-9,2.963624E-7,10.44901,6.745482E-5,658658.9,658659.0
7.521758E-7,15.42875,-1.38727E11,1887.472,1887.472,0.001040801,1.0,0.8981671,0.001796241,7.111058E-8,0.005824547,0.004391082,0.002371722,0.001272037,2.768649E-5,1.005574E-17,2.031476E-4,0.004103178,2.187876E-6,0.02447623,0.009015176,0.001626265,0.03906184,0.005256445,1.753239E-5,3.74154E-9,3.034596E-7,10.44806,6.745855E-5,658598.8,658598.9
7.614286E-7,15.42774,-1.3618E11,1887.142,1887.142,0.001040801,1.0,0.89803,0.001796385,7.09419E-8,0.005908902,0.004386797,0.002410474,0.001296116,2.833628E-5,9.763737E-18,2.072535E-4,0.004182343,2.290564E-6,0.02443195,0.009049991,0.001651787,0.03899458,0.005191924,1.789691E-5,3.930643E-9,3.122199E-7,10.44692,6.746296E-5,658526.6,658526.6
7.634341E-7,15.42752,-1.356337E11,1887.071,1887.071,0.001040801,1.0,0.8980004,0.001796386,7.090604E-8,0.005927155,0.004385816,0.002418857,0.001301338,2.847788E-5,9.701417E-18,2.081449E-4,0.004199503,2.313228E-6,0.02442241,0.009057398,0.001657309,0.03898,0.005178065,1.797607E-5,3.972423E-9,3.141385E-7,10.44667,6.74639E-5,658511.0,658511.1
7.838049E-7,15.42542,-1.302413E11,1886.368,1886.368,0.001040801,1.0,0.897702,0.001795806,7.054094E-8,0.006111902,0.004374841,0.002503688,0.00135444,2.993177E-5,9.067157E-18,2.172298E-4,0.004373837,2.551976E-6,0.02432655,0.009129865,0.00171317,0.03883201,0.005039805,1.878309E-5,4.413383E-9,3.340413E-7,10.4442,6.747309E-5,658355.4,658355.5
8.334114E-7,15.42085,-1.181451E11,1884.769,1884.769,0.001040801,1.0,0.8969925,0.001790446,6.958887E-8,0.00655664,0.004341156,0.002707628,0.001484008,3.358466E-5,7.52267E-18,2.395539E-4,0.004797852,3.198728E-6,0.02410119,0.009286641,0.001847428,0.03847267,0.00472109,2.076782E-5,5.613939E-9,3.856151E-7,10.43844,6.749311E-5,657992.5,657992.6
8.413296E-7,15.42018,-1.163452E11,1884.528,1884.528,0.001040801,1.0,0.8968815,0.00178913,6.944213E-8,0.006626915,0.004334947,0.00273981,0.001504701,3.418203E-5,7.287874E-18,2.43141E-4,0.004865381,3.310815E-6,0.02406626,0.009309213,0.001868612,0.03841552,0.004672472,2.108687E-5,5.82269E-9,3.942596E-7,10.43756,6.749601E-5,657936.6,657936.7
8.433698E-7,15.42002,-1.158844E11,1884.467,1884.467,0.001040801,1.0,0.896853,0.001788772,6.940461E-8,0.006644989,0.004333312,0.002748085,0.001510033,3.433658E-5,7.228981E-18,2.440662E-4,0.004882771,3.340102E-6,0.0240573,0.009314924,0.001874059,0.0384008,0.004660043,2.116916E-5,5.877262E-9,3.965055E-7,10.43733,6.749674E-5,657922.3,657922.3
8.490648E-7,15.41955,-1.146162E11,1884.296,1884.296,0.001040801,1.0,0.8967736,0.001787734,6.929969E-8,0.006695369,0.004328677,0.002771145,0.001524916,3.476931E-5,7.063432E-18,2.466509E-4,0.004931291,3.422728E-6,0.0240324,0.009330639,0.001889238,0.03835975,0.004625557,2.139907E-5,6.031279E-9,4.028148E-7,10.4367,6.749877E-5,657882.5,657882.6
8.553203E-7,15.41906,-1.13242E11,1884.111,1884.111,0.001040801,1.0,0.8966868,0.00178653,6.918458E-8,0.006750585,0.004323465,0.002796411,0.001541262,3.524686E-5,6.882336E-18,2.494934E-4,0.004984548,3.514969E-6,0.02400522,0.009347528,0.001905869,0.03831471,0.004588023,2.165191E-5,6.203313E-9,4.098126E-7,10.43601,6.750095E-5,657839.1,657839.2
8.772752E-7,15.41739,-1.085814E11,1883.479,1883.479,0.001040801,1.0,0.8963849,0.001781789,6.877409E-8,0.00694334,0.004304207,0.002884542,0.001598607,3.694131E-5,6.240245E-18,2.594966E-4,0.005171096,3.851251E-6,0.02391116,0.009403752,0.00196388,0.03815701,0.004459137,2.254174E-5,6.831241E-9,4.349387E-7,10.43364,6.750824E-5,657689.4,657689.5
8.818919E-7,15.41705,-1.076322E11,1883.349,1883.349,0.001040801,1.0,0.896322,0.001780697,6.868711E-8,0.006983667,0.004299975,0.002902966,0.001610659,3.730117E-5,6.105088E-18,2.616051E-4,0.005210245,3.924449E-6,0.02389164,0.00941499,0.001976008,0.03812393,0.004432583,2.272931E-5,6.968058E-9,4.403335E-7,10.43314,6.750971E-5,657658.5,657658.5
8.885652E-7,15.41658,-1.062788E11,1883.164,1883.164,0.001040801,1.0,0.8962314,0.001779063,6.856173E-8,0.007041829,0.004293751,0.002929529,0.001628074,3.782351E-5,5.911824E-18,2.64656E-4,0.00526678,4.031808E-6,0.0238636,0.00943088,0.001993494,0.03807617,0.004394531,2.300068E-5,7.168807E-9,4.482006E-7,10.43244,6.751179E-5,657614.0,657614.1
8.943697E-7,15.41618,-1.051191E11,1883.004,1883.004,0.001040801,1.0,0.896153,0.001777589,6.845316E-8,0.007092292,0.004288235,0.002952567,0.001643217,3.82799E-5,5.744726E-18,2.673124E-4,0.005315899,4.126697E-6,0.02383935,0.009444365,0.002008659,0.03803468,0.004361752,2.323697E-5,7.34631E-9,4.5511E-7,10.43183,6.751356E-5,657575.6,657575.7
9.419894E-7,15.41315,-9.619485E10,1881.761,1881.761,0.001040801,1.0,0.8955206,0.001763859,6.753018E-8,0.007501824,0.004239731,0.003139216,0.001767196,4.209393E-5,4.391269E-18,2.891955E-4,0.005716774,4.958288E-6,0.02364572,0.00954379,0.002131545,0.03769639,0.004103481,2.518286E-5,8.904251E-9,5.141136E-7,10.42698,6.75268E-5,657270.2,657270.2
9.924074E-7,15.41046,-8.780046E10,1880.557,1880.557,0.001040801,1.0,0.8948722,0.001746667,6.650763E-8,0.007926543,0.004182917,0.003332171,0.001897801,4.625975E-5,3.062128E-18,3.125144E-4,0.006136459,5.943694E-6,0.02345042,0.009628985,0.002258632,0.03734269,0.003849402,2.725456E-5,1.0754E-8,5.81064E-7,10.42213,6.753859E-5,656964.4,656964.4
9.946976E-7,15.41035,-8.744287E10,1880.505,1880.505,0.001040801,1.0,0.8948432,0.001745832,6.646527E-8,0.007945614,0.004180221,0.00334082,0.001903714,4.645194E-5,3.008122E-18,3.135769E-4,0.006155393,5.991069E-6,0.02344177,0.009632399,0.00226433,0.03732674,0.003838307,2.734888E-5,1.0843E-8,5.842145E-7,10.42192,6.753907E-5,656950.9,656951.0
9.975205E-7,15.41022,-8.700446E10,1880.441,1880.441,0.001040801,1.0,0.8948076,0.001744797,6.641303E-8,0.007969093,0.004176885,0.003351466,0.001910999,4.668917E-5,2.941761E-18,3.148867E-4,0.006178714,6.04978E-6,0.02343114,0.009636556,0.002271344,0.0373071,0.003824684,2.746517E-5,1.09533E-8,5.881109E-7,10.42166,6.753967E-5,656934.3,656934.4
