Time_Soln#1 (sec),Volume_Soln#1 (cm3),Volumetric_heat_production_rate_Soln#1 (erg/cm3-sec),Surface_temperature_Soln#1 (K),Temperature_Soln#1 (K),Mass_Soln#1 (g),Pressure_Soln#1 (atm),Mole_fraction_H2_Soln#1 (),Mole_fraction_CH4_Soln#1 (),Mole_fraction_C2H6_Soln#1 (),Mole_fraction_C2H4_Soln#1 (),Mole_fraction_C2H2_Soln#1 (),Mole_fraction_C6H6_Soln#1 (),Mole_fraction_C7H8_Soln#1 (),Mole_fraction_C7H7_Soln#1 (),Mole_fraction_STILB_Soln#1 (),Mole_fraction_C6H5C2H_Soln#1 (),Mole_fraction_C6H5C2H3_Soln#1 (),Mole_fraction_C6H5C2H5_Soln#1 (),Mole_fraction_C6H5CHCH3_Soln#1 (),Mole_fraction_FLUORENE_Soln#1 (),Mole_fraction_C6H5CH2C6H5_Soln#1 (),Mole_fraction_C14H10_Soln#1 (),Mole_fraction_C16H10_Soln#1 (),Mole_fraction_C6H5C2H4C6H5_Soln#1 (),Mole_fraction_BIN1A_Soln#1 (),Mole_fraction_NPBENZ_Soln#1 (),Molecular_weight_Soln#1 (g/mole),Mass_density_Soln#1 (g/cm3),Unburned_hydrocarbons_Soln#1 (ppm),Volatile_organic_compounds_Soln#1 (ppm)
0.0,15.7,-156924.0,1000.0,1000.0,0.002029562,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.292714E-4,668660.8,668660.8
1.904483E-5,15.69999,-87790.89,999.9997,999.9997,0.002029562,1.0,0.9128526,4.627274E-8,3.721153E-10,1.045256E-8,4.549243E-10,1.560894E-8,0.02851744,8.559533E-8,3.658983E-10,7.299871E-10,0.04210624,0.01652346,3.284082E-8,1.54588E-11,2.667565E-11,6.275079E-11,3.517125E-11,7.403794E-12,1.493468E-11,4.519969E-14,10.60769,1.292715E-4,668660.8,668660.8
1.0E-4,15.69997,-66664.85,999.9987,999.9987,0.002029562,1.0,0.9128521,4.096221E-7,7.270262E-9,1.248349E-7,4.876196E-9,1.693957E-7,0.02851737,4.604962E-7,4.446605E-9,1.052773E-8,0.04210578,0.01652314,3.222893E-7,1.785897E-10,3.078779E-10,9.317695E-10,5.047935E-10,2.381737E-10,2.143311E-10,4.096722E-12,10.60769,1.292716E-4,668660.8,668660.8
2.0E-4,15.69996,-61069.59,999.9977,999.9977,0.002029562,1.0,0.9128515,8.793279E-7,1.836961E-8,3.084285E-7,1.155415E-8,4.134245E-7,0.0285173,8.937121E-7,1.112693E-8,2.578368E-8,0.04210513,0.01652274,7.220777E-7,4.425819E-10,7.620375E-10,2.786301E-9,1.236019E-9,1.155353E-9,5.24749E-10,1.949491E-11,10.60769,1.292717E-4,668660.7,668660.7
3.0E-4,15.69994,-55919.0,999.9968,999.9968,0.002029562,1.0,0.9128508,1.360911E-6,3.155782E-8,5.315404E-7,1.937581E-8,7.095625E-7,0.02851725,1.294891E-6,1.926802E-8,4.396496E-8,0.04210442,0.01652233,1.152226E-6,7.643807E-10,1.314476E-9,5.423721E-9,2.107624E-9,3.019797E-9,8.946922E-10,4.88658E-11,10.60769,1.292718E-4,668660.8,668660.8
4.0E-4,15.69993,-51258.51,999.996,999.996,0.002029562,1.0,0.91285,1.854375E-6,4.684353E-8,7.939061E-7,2.834712E-8,1.057653E-6,0.02851722,1.667244E-6,2.884799E-8,6.508591E-8,0.04210364,0.01652191,1.608407E-6,1.14331E-9,1.963647E-9,8.798237E-9,3.120352E-9,6.037352E-9,1.324456E-9,9.482431E-11,10.60769,1.29272E-4,668660.8,668660.8
5.0E-4,15.69992,-47034.49,999.9952,999.9952,0.002029562,1.0,0.9128492,2.35975E-6,6.424072E-8,1.095736E-6,3.847621E-8,1.458002E-6,0.0285172,2.013748E-6,3.987291E-8,8.916698E-8,0.04210279,0.01652148,2.087111E-6,1.579711E-9,2.709724E-9,1.287128E-8,4.275241E-9,1.036283E-8,1.814462E-9,1.59742E-10,10.60769,1.292721E-4,668660.8,668660.8
6.0E-4,15.6999,-43203.62,999.9945,999.9945,0.002029562,1.0,0.9128483,2.877057E-6,8.376081E-8,1.437241E-6,4.976966E-8,1.910896E-6,0.02851718,2.337105E-6,5.235027E-8,1.162248E-7,0.04210189,0.01652104,2.585253E-6,2.073977E-9,3.552932E-9,1.760845E-8,5.573144E-9,1.611182E-8,2.365052E-9,2.457722E-10,10.60769,1.292722E-4,668660.8,668660.8
7.0E-4,15.69989,-39726.38,999.9938,999.9938,0.002029562,1.0,0.9128474,3.406306E-6,1.054122E-7,1.818586E-6,6.223234E-8,2.416554E-6,0.02851717,2.639753E-6,6.628607E-8,1.462716E-7,0.04210093,0.0165206,3.100096E-6,2.626437E-9,4.493356E-9,2.297884E-8,7.014702E-9,2.336996E-8,2.976481E-9,3.548746E-10,10.60769,1.292722E-4,668660.8,668660.8
8.0E-4,15.69988,-36566.79,999.9932,999.9932,0.002029562,1.0,0.9128464,3.947494E-6,1.292005E-7,2.239882E-6,7.586746E-8,2.975124E-6,0.02851717,2.923882E-6,8.168451E-8,1.793155E-7,0.04209992,0.01652014,3.629214E-6,3.23735E-9,5.530921E-9,2.895466E-8,8.600358E-9,3.219835E-8,3.648917E-9,4.888336E-10,10.60769,1.292723E-4,668660.9,668660.9
9.0E-4,15.69987,-33691.84,999.9927,999.9927,0.002029562,1.0,0.9128454,4.500606E-6,1.551287E-7,2.70119E-6,9.06768E-8,3.586688E-6,0.02851717,3.191452E-6,9.854795E-8,2.153608E-7,0.04209886,0.01651968,4.170453E-6,3.906903E-9,6.665392E-9,3.551093E-8,1.033038E-8,4.264015E-8,4.382456E-9,6.492817E-10,10.60769,1.292724E-4,668660.9,668660.9
0.001,15.69987,-31071.03,999.9922,999.9922,0.002029562,1.0,0.9128443,5.065621E-6,1.831978E-7,3.202527E-6,1.066609E-7,4.251271E-6,0.02851716,3.444216E-6,1.168772E-7,2.544087E-7,0.04209774,0.01651921,4.721901E-6,4.635217E-9,7.896396E-9,4.262514E-8,1.220487E-8,5.472492E-8,5.177128E-9,8.377199E-10,10.60769,1.292725E-4,668661.0,668661.0
0.0011,15.69986,-28676.64,999.9917,999.9917,0.002029562,1.0,0.9128432,5.642508E-6,2.134069E-7,3.743873E-6,1.238191E-7,4.96885E-6,0.02851716,3.683739E-6,1.366716E-7,2.964575E-7,0.04209657,0.01651874,5.281862E-6,5.422361E-9,9.223435E-9,5.027699E-8,1.42238E-8,6.847224E-8,6.032906E-9,1.055534E-9,10.60769,1.292726E-4,668661.0,668661.0
0.0012,15.69985,-26483.62,999.9913,999.9913,0.002029562,1.0,0.912842,6.23123E-6,2.457532E-7,4.325177E-6,1.4215E-7,5.739356E-6,0.02851715,3.91141E-6,1.579294E-7,3.415033E-7,0.04209536,0.01651825,5.848832E-6,6.268357E-9,1.06459E-8,5.844818E-8,1.638705E-8,8.389417E-8,6.949714E-9,1.304011E-9,10.60769,1.292726E-4,668661.0,668661.0
0.0013,15.69984,-24469.36,999.9909,999.9909,0.002029562,1.0,0.9128408,6.831745E-6,2.802328E-7,4.946356E-6,1.61651E-7,6.562684E-6,0.02851713,4.128466E-6,1.80648E-7,3.895396E-7,0.0420941,0.01651776,6.421481E-6,7.173182E-9,1.216307E-8,6.712217E-8,1.869434E-8,1.009973E-7,7.927431E-9,1.584349E-9,10.60769,1.292727E-4,668661.1,668661.1
0.0014,15.69984,-22613.42,999.9905,999.9905,0.002029562,1.0,0.9128395,7.444003E-6,3.168402E-7,5.607301E-6,1.823192E-7,7.438692E-6,0.02851711,4.336003E-6,2.048235E-7,4.405582E-7,0.04209279,0.01651726,6.998627E-6,8.136778E-9,1.377416E-8,7.628397E-8,2.114535E-8,1.197842E-7,8.965898E-9,1.897672E-9,10.60769,1.292727E-4,668661.1,668661.1
0.0015,15.69983,-20897.57,999.9902,999.9902,0.002029562,1.0,0.9128382,8.067951E-6,3.555691E-7,6.307882E-6,2.041505E-7,8.367211E-6,0.02851709,4.53499E-6,2.304515E-7,4.945494E-7,0.04209144,0.01651675,7.579229E-6,9.159049E-9,1.547827E-8,8.592001E-8,2.373965E-8,1.402548E-7,1.006492E-8,2.245033E-9,10.60769,1.292728E-4,668661.2,668661.2
0.0016,15.69982,-19305.43,999.9899,999.9899,0.002029562,1.0,0.9128368,8.703531E-6,3.964118E-7,7.047946E-6,2.271406E-7,9.348042E-6,0.02851705,4.726285E-6,2.575265E-7,5.515015E-7,0.04209005,0.01651623,8.162359E-6,1.023987E-8,1.727444E-8,9.601794E-8,2.647674E-8,1.624071E-7,1.122427E-8,2.62743E-9,10.60769,1.292728E-4,668661.2,668661.2
0.0017,15.69982,-17822.2,999.9896,999.9896,0.002029562,1.0,0.9128354,9.350684E-6,4.393601E-7,7.827326E-6,2.512845E-7,1.038097E-5,0.02851701,4.910654E-6,2.860429E-7,6.11402E-7,0.04208861,0.01651571,8.747187E-6,1.13791E-8,1.916165E-8,1.065664E-7,2.935606E-8,1.862396E-7,1.244371E-8,3.045817E-9,10.60769,1.292729E-4,668661.2,668661.2
0.0018,15.69981,-16435.01,999.9893,999.9893,0.002029562,1.0,0.9128339,1.000934E-5,4.844049E-7,8.645836E-6,2.765769E-7,1.146574E-5,0.02851696,5.088761E-6,3.159941E-7,6.742369E-7,0.04208713,0.01651518,9.33299E-6,1.257656E-8,2.113879E-8,1.17555E-7,3.237699E-8,2.117482E-7,1.372295E-8,3.501089E-9,10.60769,1.292729E-4,668661.2,668661.2
0.0019,15.69981,-15132.38,999.989,999.989,0.002029562,1.0,0.9128324,1.067944E-5,5.315363E-7,9.503274E-6,3.030118E-7,1.26021E-5,0.0285169,5.261195E-6,3.473731E-7,7.399911E-7,0.04208561,0.01651464,9.919124E-6,1.383205E-8,2.320472E-8,1.289744E-7,3.553885E-8,2.389293E-7,1.50617E-8,3.994105E-9,10.60769,1.292729E-4,668661.2,668661.2
0.002,15.69981,-13904.07,999.9888,999.9888,0.002029562,1.0,0.9128308,1.136091E-5,5.80744E-7,1.039943E-5,3.305831E-7,1.378978E-5,0.02851683,5.428478E-6,3.801726E-7,8.086486E-7,0.04208406,0.0165141,1.050501E-5,1.514535E-8,2.535823E-8,1.408158E-7,3.884093E-8,2.677793E-7,1.645965E-8,4.525688E-9,10.60769,1.29273E-4,668661.3,668661.3
0.0021,15.6998,-12741.02,999.9886,999.9886,0.002029562,1.0,0.9128292,1.205368E-5,6.320168E-7,1.133408E-5,3.592842E-7,1.502847E-5,0.02851675,5.591066E-6,4.143847E-7,8.801926E-7,0.04208246,0.01651355,1.109015E-5,1.651624E-8,2.759808E-8,1.530711E-7,4.228246E-8,2.982947E-7,1.791645E-8,5.096623E-9,10.60769,1.29273E-4,668661.3,668661.3
0.0022,15.6998,-11635.32,999.9884,999.9884,0.002029562,1.0,0.9128275,1.275767E-5,6.853434E-7,1.230698E-5,3.891082E-7,1.631787E-5,0.02851665,5.749358E-6,4.500013E-7,9.546054E-7,0.04208082,0.01651299,1.167409E-5,1.794446E-8,2.992297E-8,1.657328E-7,4.586264E-8,3.304716E-7,1.943177E-8,5.707662E-9,10.60769,1.29273E-4,668661.3,668661.3
0.0023,15.6998,-10579.93,999.9882,999.9882,0.002029562,1.0,0.9128258,1.34728E-5,7.407118E-7,1.331789E-5,4.200479E-7,1.765766E-5,0.02851655,5.903708E-6,4.870138E-7,1.031869E-6,0.04207914,0.01651242,1.225642E-5,1.942975E-8,3.233157E-8,1.787939E-7,4.958063E-8,3.643064E-7,2.100523E-8,6.359527E-9,10.60769,1.292731E-4,668661.3,668661.3
0.0024,15.69979,-9568.669,999.9881,999.9881,0.002029562,1.0,0.912824,1.4199E-5,7.981097E-7,1.436656E-5,4.520959E-7,1.904751E-5,0.02851644,6.054428E-6,5.254134E-7,1.111963E-6,0.04207743,0.01651185,1.28368E-5,2.097183E-8,3.482249E-8,1.922477E-7,5.343557E-8,3.997962E-7,2.263646E-8,7.052912E-9,10.60769,1.292731E-4,668661.2,668661.2
0.0025,15.69979,-8596.164,999.9879,999.9879,0.002029562,1.0,0.9128222,1.493619E-5,8.575245E-7,1.545273E-5,4.852446E-7,2.048708E-5,0.02851631,6.201788E-6,5.651911E-7,1.19487E-6,0.04207568,0.01651127,1.341489E-5,2.257041E-8,3.739435E-8,2.060882E-7,5.742656E-8,4.369376E-7,2.432508E-8,7.788483E-9,10.60769,1.292731E-4,668661.2,668661.2
0.0026,15.69979,-7657.645,999.9878,999.9878,0.002029562,1.0,0.9128203,1.568428E-5,9.189432E-7,1.657612E-5,5.194863E-7,2.197602E-5,0.02851618,6.346029E-6,6.063377E-7,1.280569E-6,0.0420739,0.01651068,1.399043E-5,2.422519E-8,4.004571E-8,2.203095E-7,6.155267E-8,4.757278E-7,2.607068E-8,8.566878E-9,10.60769,1.292731E-4,668661.2,668661.2
0.0027,15.69979,-6748.977,999.9877,999.9877,0.002029562,1.0,0.9128184,1.644319E-5,9.823525E-7,1.773647E-5,5.548127E-7,2.351396E-5,0.02851603,6.487362E-6,6.488436E-7,1.369039E-6,0.04207207,0.01651009,1.456315E-5,2.593586E-8,4.277509E-8,2.349059E-7,6.581298E-8,5.161639E-7,2.787286E-8,9.38871E-9,10.60769,1.292731E-4,668661.2,668661.2
0.0028,15.69979,-5866.512,999.9876,999.9876,0.002029562,1.0,0.9128165,1.721283E-5,1.047739E-6,1.89335E-5,5.912159E-7,2.510055E-5,0.02851587,6.625972E-6,6.926991E-7,1.460259E-6,0.04207022,0.01650949,1.513283E-5,2.770209E-8,4.558103E-8,2.498722E-7,7.020651E-8,5.582431E-7,2.973121E-8,1.025457E-8,10.60769,1.292731E-4,668661.1,668661.1
0.0029,15.69979,-5007.101,999.9875,999.9875,0.002029562,1.0,0.9128145,1.799313E-5,1.115089E-6,2.016691E-5,6.286874E-7,2.673541E-5,0.0285157,6.76202E-6,7.378945E-7,1.554209E-6,0.04206832,0.01650888,1.569926E-5,2.952355E-8,4.846201E-8,2.652033E-7,7.473227E-8,6.019624E-7,3.16453E-8,1.116501E-8,10.60769,1.292731E-4,668661.1,668661.1
0.003,15.69979,-4168.027,999.9874,999.9874,0.002029562,1.0,0.9128124,1.878399E-5,1.184388E-6,2.143642E-5,6.672188E-7,2.841816E-5,0.02851551,6.895649E-6,7.844197E-7,1.650866E-6,0.0420664,0.01650827,1.626227E-5,3.139991E-8,5.14165E-8,2.808944E-7,7.938926E-8,6.473189E-7,3.361471E-8,1.212058E-8,10.60769,1.292731E-4,668661.1,668661.1
0.0031,15.69979,-3346.957,999.9874,999.9874,0.002029562,1.0,0.9128103,1.958532E-5,1.255623E-6,2.274174E-5,7.068014E-7,3.014843E-5,0.02851532,7.026983E-6,8.322646E-7,1.750208E-6,0.04206443,0.01650765,1.68217E-5,3.333082E-8,5.444295E-8,2.969407E-7,8.417646E-8,6.943094E-7,3.563899E-8,1.312179E-8,10.60769,1.292731E-4,668661.0,668661.0
0.0032,15.69979,-2541.855,999.9873,999.9873,0.002029562,1.0,0.9128082,2.039705E-5,1.328779E-6,2.408256E-5,7.474266E-7,3.19258E-5,0.02851511,7.156131E-6,8.814189E-7,1.852214E-6,0.04206244,0.01650702,1.73774E-5,3.531592E-8,5.75398E-8,3.133377E-7,8.909285E-8,7.429305E-7,3.77177E-8,1.416912E-8,10.60769,1.292731E-4,668660.9,668660.9
0.0033,15.69979,-1750.95,999.9873,999.9873,0.002029562,1.0,0.912806,2.121907E-5,1.403842E-6,2.545858E-5,7.890854E-7,3.374991E-5,0.02851489,7.283192E-6,9.318723E-7,1.95686E-6,0.04206041,0.01650639,1.792924E-5,3.735486E-8,6.070548E-8,3.300811E-7,9.413736E-8,7.931785E-7,3.98504E-8,1.526304E-8,10.60769,1.292731E-4,668660.9,668660.9
0.0034,15.69979,-972.6591,999.9873,999.9873,0.002029562,1.0,0.9128038,2.20513E-5,1.480797E-6,2.686951E-5,8.31769E-7,3.562033E-5,0.02851466,7.408252E-6,9.836142E-7,2.064124E-6,0.04205835,0.01650575,1.847711E-5,3.944726E-8,6.393839E-8,3.471665E-7,9.930894E-8,8.450496E-7,4.203664E-8,1.640399E-8,10.60769,1.292731E-4,668660.8,668660.8
0.0035,15.69979,-205.5282,999.9873,999.9873,0.002029562,1.0,0.9128015,2.289364E-5,1.55963E-6,2.831502E-5,8.754684E-7,3.753669E-5,0.02851441,7.531394E-6,1.036634E-6,2.173983E-6,0.04205626,0.01650511,1.902089E-5,4.159277E-8,6.723694E-8,3.645896E-7,1.046065E-7,8.985396E-7,4.427596E-8,1.759239E-8,10.60769,1.292731E-4,668660.7,668660.7
