Time_Soln#2 (sec),Volume_Soln#2 (cm3),Volumetric_heat_production_rate_Soln#2 (erg/cm3-sec),Surface_temperature_Soln#2 (K),Temperature_Soln#2 (K),Mass_Soln#2 (g),Pressure_Soln#2 (atm),Mole_fraction_H2_Soln#2 (),Mole_fraction_CH4_Soln#2 (),Mole_fraction_C2H6_Soln#2 (),Mole_fraction_C2H4_Soln#2 (),Mole_fraction_C2H2_Soln#2 (),Mole_fraction_C4H6_Soln#2 (),Mole_fraction_C6H6_Soln#2 (),Mole_fraction_C7H8_Soln#2 (),Mole_fraction_C7H7_Soln#2 (),Mole_fraction_STILB_Soln#2 (),Mole_fraction_C6H5C2H_Soln#2 (),Mole_fraction_C6H5C2H3_Soln#2 (),Mole_fraction_C6H5C2H5_Soln#2 (),Mole_fraction_C6H5CHCH3_Soln#2 (),Mole_fraction_FLUORENE_Soln#2 (),Mole_fraction_C6H5CH2C6H5_Soln#2 (),Mole_fraction_C14H10_Soln#2 (),Mole_fraction_C16H10_Soln#2 (),Mole_fraction_C6H5C2H4C6H5_Soln#2 (),Mole_fraction_NPBENZ_Soln#2 (),Molecular_weight_Soln#2 (g/mole),Mass_density_Soln#2 (g/cm3),Unburned_hydrocarbons_Soln#2 (ppm),Volatile_organic_compounds_Soln#2 (ppm)
0.0,15.7,-916319.4,1050.0,1050.0,0.001932916,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.231157E-4,668660.8,668660.8
7.119975E-6,15.69982,-668874.3,1049.999,1049.999,0.001932916,1.0,0.9128525,6.151187E-8,2.561985E-10,1.182892E-8,7.222338E-10,2.083528E-14,1.854139E-8,0.02851744,1.772271E-7,3.703165E-10,9.926769E-10,0.04210624,0.01652335,4.086129E-8,1.748882E-11,3.018165E-11,6.955772E-11,2.220702E-11,9.088352E-12,4.479116E-14,10.60769,1.231158E-4,668660.7,668660.7
5.710773E-5,15.69977,-449386.7,1049.995,1049.995,0.001932916,1.0,0.9128509,1.272829E-6,1.799697E-8,4.036219E-7,1.964595E-8,1.019791E-12,5.420422E-7,0.02851718,1.50469E-6,1.307534E-8,4.032185E-8,0.04210493,0.016522,9.832236E-7,5.77859E-10,9.962142E-10,2.757993E-9,8.930643E-10,8.60092E-10,2.28683E-11,10.60768,1.231162E-4,668660.4,668660.4
1.0E-4,15.69973,-434506.7,1049.992,1049.992,0.001932916,1.0,0.9128492,2.41441E-6,4.012862E-8,8.819636E-7,4.152764E-8,3.00213E-12,1.170085E-6,0.02851696,2.606661E-6,2.878059E-8,8.673406E-8,0.04210357,0.0165208,1.904069E-6,1.263172E-9,2.175339E-9,6.812728E-9,1.920817E-9,3.39128E-9,8.572448E-11,10.60768,1.231165E-4,668660.2,668660.2
2.0E-4,15.69964,-404554.8,1049.985,1049.985,0.001932916,1.0,0.912845,5.184705E-6,1.080202E-7,2.393257E-6,1.081687E-7,1.48321E-11,3.151947E-6,0.02851647,5.009892E-6,7.850236E-8,2.299547E-7,0.04209988,0.0165179,4.180128E-6,3.434231E-9,5.897923E-9,2.180936E-8,5.094749E-9,2.006121E-8,4.478316E-10,10.60767,1.231172E-4,668659.7,668659.7
3.0E-4,15.69956,-378220.3,1049.979,1049.979,0.001932916,1.0,0.91284,8.10876E-6,1.990539E-7,4.465657E-6,1.970536E-7,4.490628E-11,5.868223E-6,0.028516,7.203178E-6,1.467367E-7,4.229992E-7,0.04209552,0.01651486,6.590659E-6,6.41766E-9,1.098667E-8,4.420504E-8,9.377412E-9,5.785411E-8,1.217781E-9,10.60766,1.231179E-4,668659.2,668659.2
4.0E-4,15.69948,-354893.2,1049.973,1049.973,0.001932916,1.0,0.9128343,1.118795E-5,3.134973E-7,7.105906E-6,3.084607E-7,1.065101E-10,9.327861E-6,0.02851549,9.211495E-6,2.337127E-7,6.664683E-7,0.04209052,0.01651167,9.089975E-6,1.022587E-8,1.74416E-8,7.360192E-8,1.478462E-8,1.224203E-7,2.513651E-9,10.60765,1.231185E-4,668658.6,668658.6
5.0E-4,15.69941,-334099.1,1049.967,1049.967,0.001932916,1.0,0.9128279,1.442209E-5,4.513826E-7,1.031484E-5,4.424289E-7,2.166003E-10,1.353207E-5,0.02851491,1.105636E-5,3.39475E-7,9.604294E-7,0.04208491,0.01650834,1.164039E-5,1.486292E-8,2.524328E-8,1.096275E-7,2.132038E-8,2.17727E-7,4.437766E-9,10.60764,1.23119E-4,668658.0,668658.0
6.0E-4,15.69935,-315425.6,1049.962,1049.962,0.001932916,1.0,0.9128208,1.780975E-5,6.125508E-7,1.408834E-5,5.988018E-7,3.95593E-10,1.847563E-5,0.02851426,1.275619E-5,4.639131E-7,1.304512E-6,0.04207874,0.01650487,1.421093E-5,2.032576E-8,3.435548E-8,1.519312E-7,2.897897E-8,3.464509E-7,7.077023E-9,10.60763,1.231195E-4,668657.3,668657.3
7.0E-4,15.69929,-298523.5,1049.957,1049.957,0.001932916,1.0,0.912813,2.134845E-5,7.966916E-7,1.841833E-5,7.772649E-7,6.670505E-10,2.414814E-5,0.02851349,1.432673E-5,6.067943E-7,1.697997E-6,0.04207202,0.01650126,1.677627E-5,2.66056E-8,4.472822E-8,2.001824E-7,3.774683E-8,5.102769E-7,1.050369E-8,10.60762,1.231199E-4,668656.5,668656.5
