Time_Soln#4 (sec),Volume_Soln#4 (cm3),Volumetric_heat_production_rate_Soln#4 (erg/cm3-sec),Surface_temperature_Soln#4 (K),Temperature_Soln#4 (K),Mass_Soln#4 (g),Pressure_Soln#4 (atm),Mole_fraction_H2_Soln#4 (),Mole_fraction_CH4_Soln#4 (),Mole_fraction_C2H6_Soln#4 (),Mole_fraction_C2H4_Soln#4 (),Mole_fraction_C2H2_Soln#4 (),Mole_fraction_C4H6_Soln#4 (),Mole_fraction_C6H6_Soln#4 (),Mole_fraction_C7H8_Soln#4 (),Mole_fraction_C7H7_Soln#4 (),Mole_fraction_STILB_Soln#4 (),Mole_fraction_C6H5C2H_Soln#4 (),Mole_fraction_C6H5C2H3_Soln#4 (),Mole_fraction_C6H5C2H5_Soln#4 (),Mole_fraction_C6H5CHCH3_Soln#4 (),Mole_fraction_BIPHENYL_Soln#4 (),Mole_fraction_FLUORENE_Soln#4 (),Mole_fraction_C14H10_Soln#4 (),Mole_fraction_C16H10_Soln#4 (),Mole_fraction_C6H5C2H4C6H5_Soln#4 (),Mole_fraction_NPBENZ_Soln#4 (),Molecular_weight_Soln#4 (g/mole),Mass_density_Soln#4 (g/cm3),Unburned_hydrocarbons_Soln#4 (ppm),Volatile_organic_compounds_Soln#4 (ppm)
0.0,15.7,-1.634398E7,1150.0,1150.0,0.001764836,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.1241E-4,668660.8,668660.8
7.042735E-7,15.69998,-1.563728E7,1149.998,1149.998,0.001764836,1.0,0.9128524,2.332826E-8,1.432923E-11,2.509075E-9,6.329387E-10,2.953668E-14,3.892669E-9,0.02851744,3.211464E-7,3.213754E-11,2.001503E-10,0.0421063,0.01652318,1.058776E-8,3.90146E-17,1.871438E-12,1.140739E-11,1.347806E-12,3.022774E-12,2.139549E-15,10.60768,1.124101E-4,668660.6,668660.6
6.266402E-6,15.69984,-1.124342E7,1149.985,1149.985,0.001764836,1.0,0.9128496,1.316545E-6,6.617706E-9,3.040768E-7,2.402392E-8,3.084703E-12,4.395889E-7,0.02851712,3.006386E-6,7.955653E-9,4.28515E-8,0.04210523,0.01652027,8.973193E-7,1.586551E-13,4.295371E-10,1.763063E-9,2.736072E-10,3.798878E-10,8.958083E-12,10.60766,1.124111E-4,668659.2,668659.2
3.441758E-5,15.69931,-9486735.0,1149.938,1149.938,0.001764836,1.0,0.9128296,1.463514E-5,1.71928E-7,6.270251E-6,4.537333E-7,1.291722E-10,8.300649E-6,0.02851334,1.770378E-5,1.696792E-7,8.086259E-7,0.04209116,0.01650415,1.020127E-5,1.791359E-11,8.825457E-9,4.007805E-8,5.15483E-9,3.085216E-8,1.242423E-9,10.60758,1.124149E-4,668654.1,668654.1
1.0E-4,15.69821,-9424134.0,1149.828,1149.828,0.001764836,1.0,0.9127632,5.085436E-5,9.711148E-7,3.67237E-5,2.576109E-6,2.675844E-9,4.804809E-5,0.02849961,5.120429E-5,9.982055E-7,4.54935E-6,0.04204454,0.01646161,3.000162E-5,4.092575E-10,5.175072E-8,2.68149E-7,2.923129E-8,6.385835E-7,2.078662E-8,10.60731,1.124228E-4,668637.1,668637.1
2.0E-4,15.69701,-7541144.0,1149.678,1149.678,0.001764836,1.0,0.9126232,1.138438E-4,3.015762E-6,1.168215E-4,8.097705E-6,2.433617E-8,1.525235E-4,0.02847385,9.203046E-5,3.200323E-6,1.423887E-5,0.04194935,0.01638698,5.186411E-5,3.610403E-9,1.652579E-7,9.232422E-7,9.300496E-8,4.225728E-6,1.230541E-7,10.60674,1.124314E-4,668601.2,668601.2
3.0E-4,15.69645,-5524791.0,1149.565,1149.565,0.001764836,1.0,0.9124539,1.828032E-4,5.724132E-6,2.233728E-4,1.542368E-5,8.645772E-8,2.916533E-4,0.02844838,1.17768E-4,6.213305E-6,2.706292E-5,0.04183724,0.01630508,6.502848E-5,1.255376E-8,3.173016E-7,1.833961E-6,1.801611E-7,1.11788E-5,3.162734E-7,10.60607,1.124354E-4,668559.1,668559.1
4.0E-4,15.69636,-4158978.0,1149.481,1149.481,0.001764836,1.0,0.912269,2.549339E-4,8.82006E-6,3.443872E-4,2.374102E-5,2.027754E-7,4.499316E-4,0.02842505,1.322792E-4,9.782809E-6,4.160443E-5,0.04171704,0.01621949,7.210366E-5,2.909534E-8,4.912049E-7,2.891571E-6,2.825273E-7,2.022764E-5,5.751185E-7,10.60536,1.12436E-4,668514.3,668514.3
5.0E-4,15.69655,-3366775.0,1149.416,1149.416,0.001764836,1.0,0.9120763,3.285285E-4,1.21333E-5,4.72457E-4,3.254496E-5,3.784992E-7,6.177528E-4,0.02840385,1.402038E-4,1.374608E-5,5.698805E-5,0.04159339,0.01613236,7.554414E-5,5.396515E-8,6.764743E-7,4.02661E-6,3.947554E-7,3.004871E-5,8.725022E-7,10.60463,1.124346E-4,668468.1,668468.1
6.0E-4,15.6969,-2921930.0,1149.362,1149.362,0.001764836,1.0,0.9118801,4.026488E-4,1.556885E-5,6.034977E-4,4.155633E-5,6.139147E-7,7.89803E-4,0.0283845,1.446342E-4,1.799936E-5,7.273086E-5,0.04146856,0.01604482,7.701938E-5,8.72583E-8,8.671716E-7,5.200539E-6,5.13691E-7,3.981319E-5,1.190121E-6,10.60389,1.124321E-4,668421.6,668421.6
