Time_Soln#7 (sec),Volume_Soln#7 (cm3),Volumetric_heat_production_rate_Soln#7 (erg/cm3-sec),Surface_temperature_Soln#7 (K),Temperature_Soln#7 (K),Mass_Soln#7 (g),Pressure_Soln#7 (atm),Mole_fraction_H2_Soln#7 (),Mole_fraction_CH4_Soln#7 (),Mole_fraction_CH3_Soln#7 (),Mole_fraction_C2H6_Soln#7 (),Mole_fraction_C2H4_Soln#7 (),Mole_fraction_C2H2_Soln#7 (),Mole_fraction_C3H6_Soln#7 (),Mole_fraction_C4H6_Soln#7 (),Mole_fraction_C6H6_Soln#7 (),Mole_fraction_C7H8_Soln#7 (),Mole_fraction_C7H7_Soln#7 (),Mole_fraction_STILB_Soln#7 (),Mole_fraction_C6H5C2H_Soln#7 (),Mole_fraction_C6H5C2H3_Soln#7 (),Mole_fraction_C6H5C2H5_Soln#7 (),Mole_fraction_C6H5CHCH3_Soln#7 (),Mole_fraction_BIPHENYL_Soln#7 (),Mole_fraction_C14H10_Soln#7 (),Mole_fraction_C16H10_Soln#7 (),Mole_fraction_C6H5C2H4C6H5_Soln#7 (),Molecular_weight_Soln#7 (g/mole),Mass_density_Soln#7 (g/cm3),Unburned_hydrocarbons_Soln#7 (ppm),Volatile_organic_compounds_Soln#7 (ppm)
0.0,15.7,-4.37534E8,1300.0,1300.0,0.001561201,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,9.943957E-5,668660.8,668660.8
1.041258E-7,15.69992,-4.339677E8,1299.991,1299.991,0.001561201,1.0,0.9128514,2.936759E-8,1.379088E-6,7.211345E-12,2.117675E-9,2.657347E-9,9.746421E-15,2.128408E-13,4.769837E-9,0.02851738,1.427961E-6,8.006116E-12,2.122998E-10,0.04210636,0.01652195,1.013047E-8,2.219165E-17,9.665616E-12,4.055127E-13,4.458405E-12,10.60767,9.944008E-5,668659.8,668659.8
1.173637E-6,15.69914,-3.844249E8,1299.908,1299.908,0.001561201,1.0,0.9128366,3.261677E-6,1.273095E-5,8.930643E-9,5.923145E-7,7.858188E-8,1.416025E-10,5.097778E-11,8.130021E-7,0.0285162,1.642922E-5,9.254035E-9,1.2627E-7,0.04210468,0.01650551,1.769791E-6,8.962803E-13,3.066393E-9,2.190675E-10,1.061333E-9,10.60751,9.944502E-5,668649.9,668649.9
6.214954E-6,15.69619,-3.181153E8,1299.582,1299.582,0.001561201,1.0,0.9127391,5.545893E-5,3.277322E-5,4.830856E-7,2.357045E-5,2.785093E-6,3.304554E-8,2.442123E-9,3.206408E-5,0.02849694,9.555533E-5,4.837838E-7,4.548904E-6,0.04205805,0.01642066,2.8729E-5,4.61249E-10,1.281525E-7,7.901945E-9,9.602275E-8,10.60685,9.946373E-5,668608.1,668608.1
1.0E-5,15.69431,-3.10939E8,1299.353,1299.353,0.001561201,1.0,0.912643,1.091325E-4,3.656664E-5,1.200071E-6,6.033205E-5,7.276214E-6,1.092173E-7,9.097083E-9,8.148533E-5,0.02847214,1.594996E-4,1.258206E-6,1.13219E-5,0.04200455,0.01635047,4.821129E-5,2.163505E-9,3.32657E-7,1.985766E-8,3.897804E-7,10.60625,9.947562E-5,668570.5,668570.5
2.0E-5,15.69043,-2.587224E8,1298.801,1298.801,0.001561201,1.0,0.9123412,2.645122E-4,3.932645E-5,3.77755E-6,2.019273E-4,2.493714E-5,4.680619E-7,6.707785E-8,2.712009E-4,0.0284004,3.170597E-4,4.281866E-6,3.691255E-5,0.04184352,0.01615253,7.501589E-5,1.635803E-8,1.177681E-6,6.729273E-8,2.894016E-6,10.60437,9.950024E-5,668451.6,668451.6
3.0E-5,15.68805,-1.940946E8,1298.368,1298.368,0.001561201,1.0,0.9120184,4.237746E-4,3.934762E-5,6.68365E-6,3.669491E-4,4.573293E-5,9.386692E-7,1.981471E-7,4.924166E-4,0.0283488,4.38225E-4,7.919648E-6,6.651744E-5,0.0416794,0.01595139,8.147114E-5,4.580464E-8,2.268107E-6,1.281891E-7,8.429992E-6,10.60244,9.951533E-5,668330.3,668330.3
4.0E-5,15.68679,-1.43969E8,1298.047,1298.047,0.001561201,1.0,0.9116984,5.810711E-4,3.872438E-5,9.594729E-6,5.338891E-4,6.68481E-5,1.43797E-6,3.990362E-7,7.166505E-4,0.02832276,5.242667E-4,1.179566E-5,9.642816E-5,0.0415197,0.01575408,8.144102E-5,8.880813E-8,3.474844E-6,1.986361E-7,1.657546E-5,10.60067,9.952333E-5,668218.6,668218.6
5.0E-5,15.68627,-1.088406E8,1297.807,1297.807,0.001561201,1.0,0.9113863,7.352939E-4,3.803754E-5,1.24355E-5,6.974481E-4,8.757535E-5,1.93572E-6,6.615673E-7,9.368452E-4,0.02831686,5.842144E-4,1.584829E-5,1.257408E-4,0.04136453,0.01556173,7.997658E-5,1.436909E-7,4.743625E-6,2.78234E-7,2.642221E-5,10.59906,9.952661E-5,668116.9,668116.9
6.0E-5,15.68625,-8.460816E7,1297.623,1297.623,0.001561201,1.0,0.9110814,8.865842E-4,3.741778E-5,1.520135E-5,8.570363E-4,1.078303E-4,2.423293E-6,9.797508E-7,0.001152186,0.02832534,6.260377E-4,2.008882E-5,1.543603E-4,0.04121305,0.01537398,7.842474E-5,2.094638E-7,6.049312E-6,3.671254E-7,3.710254E-5,10.59757,9.952674E-5,668023.1,668023.1
7.0E-5,15.68656,-6.777651E7,1297.478,1297.478,0.001561201,1.0,0.9107828,0.001035282,3.687149E-5,1.790132E-5,0.001013039,1.2766E-4,2.898902E-6,1.349479E-6,0.001363158,0.02834395,6.554717E-4,2.452964E-5,1.823566E-4,0.04106456,0.0151903,7.703372E-5,2.855239E-7,7.378044E-6,4.653136E-7,4.795471E-5,10.59617,9.952476E-5,667935.1,667935.1
8.0E-5,15.6871,-5.590689E7,1297.36,1297.36,0.001561201,1.0,0.9104892,0.001181681,3.638201E-5,2.054435E-5,0.001165898,1.471201E-4,3.362688E-6,1.767571E-6,0.001570328,0.02836976,6.764346E-4,2.917098E-5,2.09808E-4,0.04091858,0.01501027,7.57983E-5,3.714265E-7,8.721143E-6,5.726301E-7,5.85305E-5,10.59485,9.952134E-5,667851.4,667851.4
