Time_Soln#8 (sec),Volume_Soln#8 (cm3),Volumetric_heat_production_rate_Soln#8 (erg/cm3-sec),Surface_temperature_Soln#8 (K),Temperature_Soln#8 (K),Mass_Soln#8 (g),Pressure_Soln#8 (atm),Mole_fraction_H2_Soln#8 (),Mole_fraction_CH4_Soln#8 (),Mole_fraction_CH3_Soln#8 (),Mole_fraction_C2H6_Soln#8 (),Mole_fraction_C2H4_Soln#8 (),Mole_fraction_C2H2_Soln#8 (),Mole_fraction_C4H6_Soln#8 (),Mole_fraction_C6H6_Soln#8 (),Mole_fraction_C7H8_Soln#8 (),Mole_fraction_C7H7_Soln#8 (),Mole_fraction_STILB_Soln#8 (),Mole_fraction_C6H5C2H_Soln#8 (),Mole_fraction_C6H5C2H3_Soln#8 (),Mole_fraction_C6H5C2H5_Soln#8 (),Mole_fraction_C6H5CHCH3_Soln#8 (),Mole_fraction_BIPHENYL_Soln#8 (),Mole_fraction_C14H10_Soln#8 (),Mole_fraction_C16H10_Soln#8 (),Mole_fraction_C6H5C2H4C6H5_Soln#8 (),Mole_fraction_BIN1A_Soln#8 (),Molecular_weight_Soln#8 (g/mole),Mass_density_Soln#8 (g/cm3),Unburned_hydrocarbons_Soln#8 (ppm),Volatile_organic_compounds_Soln#8 (ppm)
0.0,15.7,-1.069974E9,1350.0,1350.0,0.001503379,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,9.575662E-5,668660.8,668660.8
6.229731E-8,15.69989,-1.063766E9,1349.987,1349.987,0.001503379,1.0,0.9128507,3.203257E-8,2.096376E-6,7.170245E-12,2.366041E-9,4.187897E-9,4.312933E-13,6.426498E-9,0.02851734,2.168226E-6,7.022265E-12,2.525026E-10,0.0421064,0.01652115,1.2114E-8,2.574026E-17,1.058161E-11,3.497508E-13,5.152085E-12,1.484882E-13,10.60766,9.575733E-5,668659.2,668659.2
8.507651E-7,15.6985,-9.649149E8,1349.829,1349.829,0.001503379,1.0,0.9128233,5.289964E-6,2.392171E-5,1.538234E-8,9.614537E-7,1.43599E-7,1.505273E-10,1.272553E-6,0.02851509,3.012481E-5,1.27428E-8,2.290049E-7,0.04210408,0.01649056,2.644535E-6,2.129746E-12,4.753219E-9,2.872977E-10,1.945454E-9,1.216629E-10,10.60736,9.57658E-5,668640.3,668640.3
3.085448E-6,15.6951,-8.433931E8,1349.437,1349.437,0.001503379,1.0,0.9127233,5.182771E-5,5.635616E-5,3.98034E-7,1.878669E-5,2.435716E-6,2.936416E-9,2.557321E-5,0.02849761,1.161654E-4,3.398864E-7,4.174798E-6,0.04206725,0.0163983,2.459293E-5,3.993688E-10,9.867833E-8,5.246518E-9,6.293624E-8,2.203975E-9,10.60657,9.57865E-5,668590.4,668590.4
1.0E-5,15.68749,-6.716932E8,1348.393,1348.393,0.001503379,1.0,0.9122749,2.907743E-4,7.758565E-5,3.915369E-6,1.95705E-4,2.745554E-5,6.865782E-8,2.658449E-4,0.02838784,3.984121E-4,3.801572E-6,4.075459E-5,0.04184466,0.01607419,7.738637E-5,1.918034E-8,1.081831E-6,5.369753E-8,1.925833E-6,2.213939E-8,10.60351,9.583296E-5,668397.2,668397.2
2.0E-5,15.68224,-3.97073E8,1347.359,1347.359,0.001503379,1.0,0.9115478,6.681263E-4,7.694922E-5,1.040537E-5,5.433096E-4,7.841208E-5,4.015105E-7,7.386561E-4,0.02828536,6.947081E-4,1.098876E-5,1.113325E-4,0.04149903,0.01559488,8.461778E-5,1.053884E-7,3.30681E-6,1.664072E-7,1.168936E-5,6.83797E-8,10.59892,9.586506E-5,668108.4,668108.4
3.0E-5,15.68068,-2.437738E8,1346.743,1346.743,0.001503379,1.0,0.9108615,0.001029953,7.356864E-5,1.648725E-5,8.741356E-4,1.27308E-4,9.618572E-7,0.001190876,0.0282822,8.645488E-4,1.862154E-5,1.784609E-4,0.04118206,0.01514404,7.92976E-5,2.404269E-7,5.774715E-6,3.132328E-7,2.774647E-5,1.298869E-7,10.59513,9.587462E-5,667869.4,667869.4
4.0E-5,15.68091,-1.595332E8,1346.353,1346.353,0.001503379,1.0,0.9102146,0.001375529,7.085901E-5,2.209529E-5,0.001182456,1.730543E-4,1.692924E-6,0.001614434,0.02833689,9.625228E-4,2.67252E-5,2.411443E-4,0.040885,0.01471828,7.517898E-5,4.131281E-7,8.329262E-6,4.97391E-7,4.601681E-5,2.088037E-7,10.59191,9.587323E-5,667666.2,667666.2
5.0E-5,15.68211,-1.103497E8,1346.09,1346.09,0.001503379,1.0,0.9095954,0.001708295,6.866966E-5,2.735051E-5,0.001474669,2.165856E-4,2.568727E-6,0.002017732,0.02842377,0.001020442,3.539686E-5,3.006673E-4,0.04060113,0.01431223,7.2155E-5,6.195047E-7,1.09261E-5,7.195569E-7,6.373758E-5,3.059531E-7,10.58903,9.586588E-5,667485.1,667485.1
6.0E-5,15.68386,-8.004945E7,1345.905,1345.905,0.001503379,1.0,0.9089975,0.0020304,6.678479E-5,3.232558E-5,0.001754511,2.584522E-4,3.571769E-6,0.002405664,0.02852916,0.001055306,4.459473E-5,3.577736E-4,0.04032707,0.01392269,6.97165E-5,8.568561E-7,1.354089E-5,9.780661E-7,7.955281E-5,4.210897E-7,10.58639,9.585516E-5,667318.4,667318.4
