Time_Soln#10 (sec),Volume_Soln#10 (cm3),Volumetric_heat_production_rate_Soln#10 (erg/cm3-sec),Surface_temperature_Soln#10 (K),Temperature_Soln#10 (K),Mass_Soln#10 (g),Pressure_Soln#10 (atm),Mole_fraction_H2_Soln#10 (),Mole_fraction_CH4_Soln#10 (),Mole_fraction_CH3_Soln#10 (),Mole_fraction_C2H6_Soln#10 (),Mole_fraction_C2H4_Soln#10 (),Mole_fraction_C2H2_Soln#10 (),Mole_fraction_C4H6_Soln#10 (),Mole_fraction_C6H6_Soln#10 (),Mole_fraction_C10H8_Soln#10 (),Mole_fraction_C7H8_Soln#10 (),Mole_fraction_C7H7_Soln#10 (),Mole_fraction_STILB_Soln#10 (),Mole_fraction_C6H5C2H_Soln#10 (),Mole_fraction_C6H5C2H3_Soln#10 (),Mole_fraction_C6H5C2H5_Soln#10 (),Mole_fraction_BIPHENYL_Soln#10 (),Mole_fraction_C14H10_Soln#10 (),Mole_fraction_C16H10_Soln#10 (),Mole_fraction_C6H5C2H4C6H5_Soln#10 (),Mole_fraction_BIN1A_Soln#10 (),Molecular_weight_Soln#10 (g/mole),Mass_density_Soln#10 (g/cm3),Unburned_hydrocarbons_Soln#10 (ppm),Volatile_organic_compounds_Soln#10 (ppm)
0.0,15.7,-5.073927E9,1450.0,1450.0,0.001399698,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,8.915272E-5,668660.8,668660.8
1.576936E-8,15.69987,-5.061505E9,1449.983,1449.983,0.001399698,1.0,0.9128502,1.455066E-8,2.684955E-6,1.91301E-12,1.322701E-9,6.022514E-9,6.71558E-13,7.12145E-9,1.018987E-18,0.02851727,2.787462E-6,2.3088E-12,1.382529E-10,0.04210645,0.01652049,1.221119E-17,4.925906E-12,1.079276E-13,2.523217E-12,4.581989E-14,10.60765,8.915347E-5,668658.7,668658.7
2.526925E-7,15.69792,-4.882544E9,1449.738,1449.738,0.001399698,1.0,0.9128104,3.528596E-6,3.969803E-5,6.826791E-9,5.017218E-7,1.409144E-7,2.405424E-10,6.30436E-7,8.639827E-15,0.02851406,4.483367E-5,3.420028E-9,1.427232E-7,0.0421067,0.01647467,4.436634E-13,2.122624E-9,1.066222E-10,1.082804E-9,4.511965E-11,10.60717,8.916453E-5,668628.5,668628.5
1.726112E-6,15.68723,-4.224927E9,1448.349,1448.349,0.001399698,1.0,0.9124946,1.222263E-4,1.749065E-4,1.151654E-6,4.704986E-5,7.313485E-6,2.050852E-8,6.27847E-5,4.951461E-11,0.02846031,3.228075E-4,6.879465E-7,1.293089E-5,0.0420316,0.01617613,2.447581E-9,2.337952E-7,9.765533E-9,1.778755E-7,4.046479E-9,10.60423,8.922528E-5,668443.1,668443.1
6.540666E-6,15.66906,-2.078713E9,1445.243,1445.243,0.001399698,1.0,0.9110903,8.76811E-4,2.478193E-4,1.441851E-5,5.78736E-4,1.032806E-4,5.010149E-7,8.048679E-4,9.267694E-9,0.02819972,0.001145794,9.902113E-6,1.503382E-4,0.04144474,0.01512475,1.579373E-7,3.285665E-6,1.341663E-7,6.889294E-6,5.40497E-8,10.59376,8.932875E-5,667782.8,667782.8
1.0E-5,15.66535,-1.284034E9,1444.064,1444.064,0.001399698,1.0,0.9101163,0.001439792,2.366401E-4,2.465772E-5,9.886706E-4,1.807565E-4,1.203112E-6,0.0013855,2.934213E-8,0.0281713,0.001505943,1.789645E-5,2.552682E-4,0.04103524,0.01442537,3.781951E-7,6.083535E-6,2.758789E-7,1.774942E-5,1.117693E-7,10.58763,8.934992E-5,667396.4,667396.4
2.0E-5,15.66693,-4.165449E8,1442.482,1442.482,0.001399698,1.0,0.9076878,0.002890508,2.041706E-4,4.82308E-5,0.001968686,3.689747E-4,4.005507E-6,0.002794995,1.466043E-7,0.02851014,0.001988178,4.207284E-5,5.076558E-4,0.04004435,0.01268812,1.233926E-6,1.437216E-5,9.592836E-7,5.62381E-5,3.985695E-7,10.57496,8.934089E-5,666597.8,666597.8
3.0E-5,15.67482,-1.288902E8,1441.96,1441.96,0.001399698,1.0,0.905605,0.004149556,1.820906E-4,6.594151E-5,0.002777587,5.279026E-4,7.462354E-6,0.003980946,3.590263E-7,0.02906102,0.002135424,6.823724E-5,7.180912E-4,0.03919794,0.01123066,2.318669E-6,2.268145E-5,2.04844E-6,8.482345E-5,8.723715E-7,10.56582,8.929597E-5,666021.4,666021.4
3.812439E-5,15.68259,-2.367013E7,1441.84,1441.84,0.001399698,1.0,0.9040825,0.00506921,1.675967E-4,7.749287E-5,0.003358996,6.445487E-4,1.05546E-5,0.004846263,6.062392E-7,0.02953752,0.002163021,8.983097E-5,8.706117E-4,0.03857023,0.01019446,3.325403E-6,2.93429E-5,3.180255E-6,9.80271E-5,1.382886E-6,10.5597,8.92517E-5,665636.0,665636.0
4.0E-5,15.68444,-7343803.0,1441.834,1441.834,0.001399698,1.0,0.903749,0.005270221,1.645371E-4,7.986952E-5,0.003485569,6.702336E-4,1.129276E-5,0.005036109,6.729028E-7,0.02964678,0.002163101,9.475389E-5,9.03959E-4,0.03843124,0.009971207,3.570786E-6,3.08635E-5,3.467786E-6,1.000331E-4,1.515295E-6,10.55841,8.924115E-5,665554.5,665554.6
