Time_Soln#11 (sec),Volume_Soln#11 (cm3),Volumetric_heat_production_rate_Soln#11 (erg/cm3-sec),Surface_temperature_Soln#11 (K),Temperature_Soln#11 (K),Mass_Soln#11 (g),Pressure_Soln#11 (atm),Mole_fraction_H2_Soln#11 (),Mole_fraction_CH4_Soln#11 (),Mole_fraction_CH3_Soln#11 (),Mole_fraction_C2H6_Soln#11 (),Mole_fraction_C2H4_Soln#11 (),Mole_fraction_C2H2_Soln#11 (),Mole_fraction_C4H6_Soln#11 (),Mole_fraction_C4H2_Soln#11 (),Mole_fraction_C6H6_Soln#11 (),Mole_fraction_C10H8_Soln#11 (),Mole_fraction_C7H8_Soln#11 (),Mole_fraction_C7H7_Soln#11 (),Mole_fraction_STILB_Soln#11 (),Mole_fraction_C6H5C2H_Soln#11 (),Mole_fraction_C6H5C2H3_Soln#11 (),Mole_fraction_C6H5C2H5_Soln#11 (),Mole_fraction_BIPHENYL_Soln#11 (),Mole_fraction_C14H10_Soln#11 (),Mole_fraction_C16H10_Soln#11 (),Mole_fraction_BIN1A_Soln#11 (),Molecular_weight_Soln#11 (g/mole),Mass_density_Soln#11 (g/cm3),Unburned_hydrocarbons_Soln#11 (ppm),Volatile_organic_compounds_Soln#11 (ppm)
0.0,15.7,-1.000823E10,1500.0,1500.0,0.001353041,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,10.60769,8.618096E-5,668660.8,668660.8
1.297951E-8,15.69979,-9.981018E9,1499.972,1499.972,0.001353041,1.0,0.9128485,2.32305E-8,4.460669E-6,3.509556E-12,2.431751E-9,1.090651E-8,1.959443E-12,8.617944E-14,1.282548E-8,3.243362E-18,0.0285171,4.670607E-6,3.775981E-12,3.449685E-10,0.04210656,0.01651846,2.578649E-17,8.217058E-12,2.084515E-13,8.848637E-14,10.60763,8.618211E-5,668657.3,668657.3
1.860599E-7,15.69705,-9.692102E9,1499.608,1499.608,0.001353041,1.0,0.9127897,4.546837E-6,5.957771E-5,9.121834E-9,6.640674E-7,2.18312E-7,5.11995E-10,8.763167E-11,8.281861E-7,1.667209E-14,0.02851184,6.705518E-5,3.760709E-9,2.081584E-7,0.04210764,0.01645074,6.541935E-13,2.662208E-9,1.256825E-10,5.311309E-11,10.60691,8.619717E-5,668612.0,668612.0
1.293775E-6,15.68143,-8.381775E9,1497.467,1497.467,0.001353041,1.0,0.9123207,1.669399E-4,2.763271E-4,1.684944E-6,6.367127E-5,1.071573E-5,4.391381E-8,2.137135E-8,8.38464E-5,8.509726E-11,0.02843185,4.835907E-4,8.32905E-7,1.936297E-5,0.04201779,0.01600335,4.377949E-9,3.090237E-7,1.196862E-8,4.914275E-9,10.60231,8.628299E-5,668321.9,668321.9
4.647129E-6,15.65803,-3.759902E9,1493.247,1493.247,0.001353041,1.0,0.9105112,0.001145225,4.000392E-4,2.007232E-5,7.016187E-4,1.369948E-4,7.848554E-7,2.794559E-7,9.873113E-4,1.338095E-8,0.02811849,0.001572495,1.121838E-5,2.030487E-4,0.0413152,0.01460459,2.456355E-7,4.000302E-6,1.543128E-7,6.138206E-8,10.58824,8.641198E-5,667434.9,667434.9
1.0E-5,15.6537,-1.313838E9,1490.67,1490.67,0.001353041,1.0,0.9079487,0.002711202,3.51812E-4,4.927571E-5,0.001700129,3.479694E-4,3.173983E-6,7.174036E-7,0.002447123,1.005286E-7,0.02823908,0.002389118,3.154125E-5,4.888241E-4,0.04028521,0.01271815,1.052946E-6,1.150185E-5,6.240465E-7,2.522744E-7,10.57289,8.643589E-5,666467.4,666467.4
2.0E-5,15.66578,-1.946823E8,1489.345,1489.345,0.001353041,1.0,0.9041745,0.005084844,2.801008E-4,8.477756E-5,0.003083261,6.511409E-4,8.830556E-6,1.440437E-6,0.004534263,4.944678E-7,0.0291531,0.002820689,7.137934E-5,8.906971E-4,0.03879483,0.01002222,3.042222E-6,2.548497E-5,2.397686E-6,9.995243E-7,10.55534,8.636924E-5,665361.4,665361.4
2.411924E-5,15.67271,-2.978668E7,1489.252,1489.252,0.001353041,1.0,0.9028554,0.005914382,2.583866E-4,9.496766E-5,0.003554328,7.579298E-4,1.133821E-5,1.738062E-6,0.005262352,7.521884E-7,0.02957674,0.002851732,8.776745E-5,0.001029482,0.03826262,0.009116712,3.977271E-6,3.11348E-5,3.420463E-6,1.446872E-6,10.55002,8.633104E-5,665025.7,665025.7
2.689353E-5,15.67752,4.325691E7,1489.257,1489.257,0.001353041,1.0,0.9020259,0.00643447,2.452383E-4,1.008045E-4,0.003849111,8.257981E-4,1.304862E-5,1.943065E-6,0.005722521,9.575699E-7,0.0298577,0.002850857,9.8514E-5,0.001116848,0.03792225,0.008558947,4.633831E-6,3.488665E-5,4.185183E-6,1.788868E-6,10.54682,8.630453E-5,664823.7,664823.7
2.861849E-5,15.68053,7.80341E7,1489.28,1489.28,0.001353041,1.0,0.9015317,0.006743543,2.375561E-4,1.040742E-4,0.004024413,8.665567E-4,1.411576E-5,2.072935E-6,0.005997854,1.098024E-6,0.03002888,0.002844038,1.05038E-4,0.001168993,0.03771702,0.008231209,5.051122E-6,3.719532E-5,4.687576E-6,2.016939E-6,10.54495,8.628798E-5,664706.4,664706.4
2.89201E-5,15.68105,8.339202E7,1489.285,1489.285,0.001353041,1.0,0.9014469,0.00679651,2.362481E-4,1.046198E-4,0.004054478,8.735771E-4,1.430245E-5,2.095852E-6,0.006045199,1.123577E-6,0.03005848,0.002842434,1.06165E-4,0.001177949,0.03768161,0.008175326,5.124728E-6,3.7597E-5,4.777381E-6,2.057986E-6,10.54464,8.628509E-5,664686.4,664686.5
2.893764E-5,15.68108,8.36435E7,1489.285,1489.285,0.001353041,1.0,0.901442,0.006799582,2.361723E-4,1.046513E-4,0.004056221,8.739845E-4,1.431331E-5,2.097187E-6,0.006047946,1.125072E-6,0.0300602,0.002842338,1.062304E-4,0.001178469,0.03767956,0.008172089,5.129014E-6,3.762034E-5,4.782621E-6,2.060384E-6,10.54462,8.628492E-5,664685.3,664685.3
2.896534E-5,15.68113,8.424214E7,1489.286,1489.286,0.001353041,1.0,0.9014342,0.006804428,2.360528E-4,1.047009E-4,0.004058972,8.746274E-4,1.433045E-5,2.099295E-6,0.00605228,1.127435E-6,0.03006291,0.002842184,1.063336E-4,0.001179289,0.03767631,0.00816698,5.135784E-6,3.76572E-5,4.790899E-6,2.064172E-6,10.54459,8.628466E-5,664683.5,664683.5
2.943214E-5,15.68194,9.222766E7,1489.295,1489.295,0.001353041,1.0,0.901304,0.006885714,2.340507E-4,1.055287E-4,0.004105127,8.854253E-4,1.46194E-5,2.134907E-6,0.006125047,1.167632E-6,0.0301085,0.002839457,1.080684E-4,0.001193048,0.03762181,0.008081401,5.250099E-6,3.827754E-5,4.931123E-6,2.128451E-6,10.54411,8.628019E-5,664653.0,664653.0
2.949731E-5,15.68206,9.325536E7,1489.296,1489.296,0.001353041,1.0,0.9012859,0.006897004,2.337731E-4,1.056429E-4,0.004111539,8.86927E-4,1.465974E-5,2.139892E-6,0.006135163,1.173299E-6,0.03011484,0.002839056,1.083098E-4,0.001194961,0.03761423,0.008069531,5.266092E-6,3.836402E-5,4.950804E-6,2.137489E-6,10.54404,8.627956E-5,664648.8,664648.8
2.951304E-5,15.68209,9.354415E7,1489.296,1489.296,0.001353041,1.0,0.9012816,0.006899728,2.337061E-4,1.056704E-4,0.004113087,8.872895E-4,1.466948E-5,2.141096E-6,0.006137604,1.17467E-6,0.03011637,0.002838959,1.083681E-4,0.001195422,0.0376124,0.008066668,5.269955E-6,3.838491E-5,4.95556E-6,2.139674E-6,10.54402,8.627941E-5,664647.7,664647.8
2.957555E-5,15.68219,9.460927E7,1489.297,1489.297,0.001353041,1.0,0.9012642,0.006910539,2.334403E-4,1.057795E-4,0.004119227,8.887282E-4,1.470818E-5,2.145881E-6,0.006147294,1.180123E-6,0.03012245,0.002838568,1.085993E-4,0.001197254,0.03760513,0.008055305,5.285306E-6,3.846783E-5,4.97447E-6,2.148363E-6,10.54396,8.627881E-5,664643.7,664643.7
3.0E-5,15.68293,1.013739E8,1489.306,1489.306,0.001353041,1.0,0.9011472,0.006983545,2.316487E-4,1.065106E-4,0.004160705,8.984581E-4,1.497088E-5,2.178458E-6,0.006212795,1.217536E-6,0.03016358,0.002835781,1.101639E-4,0.001209631,0.03755596,0.007978683,5.389763E-6,3.903009E-5,5.103577E-6,2.2078E-6,10.54353,8.627476E-5,664616.5,664616.5
4.0E-5,15.69976,1.916781E8,1489.64,1489.64,0.001353041,1.0,0.8986283,0.008544018,1.941709E-4,1.20198E-4,0.005054536,0.001112512,2.109966E-5,2.989107E-6,0.007641689,2.259952E-6,0.0310624,0.002729039,1.443172E-4,0.00147823,0.03646583,0.006380268,7.927104E-6,5.190803E-5,8.403512E-6,3.782537E-6,10.53458,8.618226E-5,664052.7,664052.8
5.0E-5,15.71501,2.111838E8,1490.08,1490.08,0.001353041,1.0,0.8965012,0.009840587,1.638997E-4,1.287159E-4,0.005816256,0.001302082,2.698088E-5,3.895165E-6,0.008886543,3.590965E-6,0.03181516,0.002582595,1.730527E-4,0.001709837,0.03548737,0.005114779,1.05481E-5,6.403238E-5,1.20523E-5,5.641149E-6,10.52747,8.609866E-5,663604.5,663604.5
6.0E-5,15.72842,2.024406E8,1490.528,1490.528,0.001353041,1.0,0.8946886,0.01092452,1.390547E-4,1.338057E-4,0.006476074,0.001472136,3.250322E-5,4.905294E-6,0.00998584,5.174997E-6,0.03242854,0.002426095,1.96812E-4,0.001912246,0.03460051,0.004107056,1.318488E-5,7.539364E-5,1.58843E-5,7.715719E-6,10.52165,8.602522E-5,663237.6,663237.6
7.0E-5,15.74008,1.820466E8,1490.943,1490.943,0.001353041,1.0,0.8931324,0.01183497,1.185346E-4,1.365986E-4,0.007054612,0.001626073,3.762299E-5,6.02052E-6,0.01096627,6.977148E-6,0.03291956,0.002271923,2.163631E-4,0.002090858,0.03379155,0.003302016,1.579483E-5,8.602054E-5,1.978801E-5,9.950468E-6,10.51679,8.596152E-5,662931.0,662931.0
8.0E-5,15.75014,1.572584E8,1491.308,1491.308,0.001353041,1.0,0.8917871,0.01260306,1.015497E-4,1.378484E-4,0.007567025,0.001766459,4.233475E-5,7.237432E-6,0.01184791,8.965296E-6,0.03330657,0.002125584,2.324737E-4,0.002249735,0.03304988,0.002657675,1.835243E-5,9.596062E-5,2.368896E-5,1.229998E-5,10.51265,8.590664E-5,662670.1,662670.2
9.0E-5,15.75878,1.315438E8,1491.619,1491.619,0.001353041,1.0,0.8906159,0.01325413,8.74852E-5,1.380647E-4,0.008024951,0.001895336,4.665424E-5,8.550081E-6,0.0126466,1.111092E-5,0.03360641,0.001989588,2.458102E-4,0.002392079,0.03236676,0.002141324,2.084381E-5,1.052698E-4,2.753843E-5,1.47278E-5,10.50907,8.585951E-5,662444.7,662444.8
1.0E-4,15.7662,1.065923E8,1491.876,1491.876,0.001353041,1.0,0.889589,0.01380891,7.584344E-5,1.375936E-4,0.008437564,0.002014384,5.060819E-5,9.951162E-6,0.01337517,1.338935E-5,0.03383368,0.001864941,2.569226E-4,0.002520479,0.03173474,0.001727194,2.3263E-5,1.140071E-4,3.130594E-5,1.720528E-5,10.50594,8.581913E-5,662247.0,662247.0
1.1E-4,15.77255,8.323813E7,1492.08,1492.08,0.001353041,1.0,0.8886818,0.01428446,6.621434E-5,1.366707E-4,0.00881222,0.002125007,5.422837E-5,1.143277E-5,0.01404418,1.577971E-5,0.03400074,0.00175187,2.662536E-4,0.00263706,0.03114736,0.001394853,2.56093E-5,1.222307E-4,3.497394E-5,1.971047E-5,10.50315,8.578458E-5,662071.1,662071.1
1.2E-4,15.77798,6.186207E7,1492.236,1492.236,0.001353041,1.0,0.8878742,0.01469485,5.825696E-5,1.354564E-4,0.009154906,0.002228392,5.754785E-5,1.298692E-5,0.01466244,1.826475E-5,0.03411792,0.001650153,2.741557E-4,0.002743585,0.030599,0.001128031,2.788545E-5,1.299971E-4,3.853406E-5,2.222706E-5,10.50063,8.575504E-5,661912.4,661912.4
1.3E-4,15.78262,4.2619E7,1492.349,1492.349,0.001353041,1.0,0.8871495,0.01505166,5.168619E-5,1.340605E-4,0.009470546,0.002325552,6.059901E-5,1.460583E-5,0.01523734,2.083047E-5,0.03419381,0.0015593,2.809088E-4,0.002841528,0.03008474,9.137013E-4,3.009635E-5,1.373589E-4,4.198419E-5,2.474334E-5,10.49833,8.572981E-5,661767.4,661767.4
1.4E-4,15.78659,2.551112E7,1492.422,1492.422,0.001353041,1.0,0.8864939,0.01536446,4.626448E-5,1.325576E-4,0.00976321,0.002417351,6.341234E-5,1.628215E-5,0.01577513,2.34658E-5,0.03423556,0.001478653,2.86734E-4,0.002932124,0.02960027,7.414624E-4,3.224813E-5,1.443652E-4,4.532668E-5,2.725148E-5,10.4962,8.570825E-5,661633.4,661633.5
1.5E-4,15.78999,1.046229E7,1492.46,1492.46,0.001353041,1.0,0.885896,0.01564108,4.179387E-5,1.309984E-4,0.01003628,0.002504529,6.60158E-5,1.800902E-5,0.0162811,2.616223E-5,0.0342491,0.001407456,2.91806E-4,0.003016412,0.02914185,6.029887E-4,3.434756E-5,1.510608E-4,4.856666E-5,2.97466E-5,10.49422,8.568983E-5,661508.3,661508.3
1.6E-4,15.79289,-2642977.0,1492.468,1492.468,0.001353041,1.0,0.8853462,0.01588798,3.810963E-5,1.294173E-4,0.01029259,0.00258772,6.843464E-5,1.978021E-5,0.01675973,2.891338E-5,0.03423931,0.001344907,2.962632E-4,0.003095266,0.02870621,4.916116E-4,3.640157E-5,1.574863E-4,5.171104E-5,3.22262E-5,10.49235,8.567407E-5,661390.3,661390.3
