Time_Soln#13 (sec),Volume_Soln#13 (cm3),Volumetric_heat_production_rate_Soln#13 (erg/cm3-sec),Surface_temperature_Soln#13 (K),Temperature_Soln#13 (K),Mass_Soln#13 (g),Pressure_Soln#13 (atm),Mole_fraction_H2_Soln#13 (),Mole_fraction_CH4_Soln#13 (),Mole_fraction_CH3_Soln#13 (),Mole_fraction_C2H4_Soln#13 (),Mole_fraction_C2H2_Soln#13 (),Mole_fraction_C3H4-P_Soln#13 (),Mole_fraction_C4H4_Soln#13 (),Mole_fraction_C4H2_Soln#13 (),Mole_fraction_C6H6_Soln#13 (),Mole_fraction_C10H8_Soln#13 (),Mole_fraction_C7H8_Soln#13 (),Mole_fraction_C7H7_Soln#13 (),Mole_fraction_STILB_Soln#13 (),Mole_fraction_C6H5C2H_Soln#13 (),Mole_fraction_C6H5C2H3_Soln#13 (),Mole_fraction_C6H5C2H5_Soln#13 (),Mole_fraction_BIPHENYL_Soln#13 (),Mole_fraction_C14H10_Soln#13 (),Mole_fraction_C16H10_Soln#13 (),Mole_fraction_BIN1A_Soln#13 (),Molecular_weight_Soln#13 (g/mole),Mass_density_Soln#13 (g/cm3),Unburned_hydrocarbons_Soln#13 (ppm),Volatile_organic_compounds_Soln#13 (ppm)
0.0,15.7,-3.300507E10,1600.0,1600.0,0.001268476,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,10.60769,8.079465E-5,668660.8,668660.8
3.625951E-9,15.69982,-3.296011E10,1599.973,1599.973,0.001268476,1.0,0.9128486,8.385247E-9,4.285475E-6,1.305504E-9,1.264532E-8,8.870507E-15,3.164887E-12,1.442268E-13,1.340218E-8,1.75674E-18,0.02851703,4.559417E-6,1.200188E-12,2.844172E-10,0.0421066,0.01651861,1.024029E-17,3.109945E-12,1.0601E-13,4.500255E-14,10.60763,8.07956E-5,668657.4,668657.4
6.5252E-8,15.69673,-3.24209E10,1599.521,1599.521,0.001268476,1.0,0.9127771,2.635284E-6,7.432971E-5,3.730585E-7,2.634917E-7,2.00196E-11,1.017682E-9,1.297678E-10,5.570126E-7,1.177797E-14,0.0285094,8.185873E-5,1.13355E-9,1.424109E-7,0.0421104,0.01643517,1.42182E-13,1.289465E-9,6.029927E-11,2.547356E-11,10.60672,8.081148E-5,668599.7,668599.7
4.891094E-7,15.67685,-2.964357E10,1596.562,1596.562,0.001268476,1.0,0.9122245,1.254812E-4,4.378537E-4,3.648051E-5,7.242806E-6,5.568527E-9,5.871915E-8,4.020678E-8,4.434434E-5,2.696586E-11,0.02842642,6.123799E-4,3.256359E-7,1.371079E-5,0.04207794,0.01586585,1.493628E-9,1.593031E-7,6.031753E-9,2.464927E-9,10.60052,8.091395E-5,668209.2,668209.2
1.884686E-6,15.63589,-1.575594E10,1589.43,1589.43,0.001268476,1.0,0.9100501,0.001171322,8.599432E-4,5.971152E-4,1.314786E-4,2.112822E-7,8.360916E-7,9.491074E-7,8.418733E-4,9.566326E-9,0.02798829,0.002181687,7.901669E-6,2.129701E-4,0.0414417,0.01404012,2.299376E-7,3.27601E-6,1.12675E-7,4.344557E-8,10.58082,8.112593E-5,666967.3,666967.3
4.638849E-6,15.62285,-4.202933E9,1584.231,1584.231,0.001268476,1.0,0.9062098,0.003591209,8.052675E-4,0.0019583,4.741571E-4,1.671295E-6,3.763246E-6,3.543476E-6,0.002941587,1.645528E-7,0.0279014,0.003732468,3.211986E-5,6.908659E-4,0.03993079,0.01114086,1.664415E-6,1.33016E-5,6.754458E-7,2.61876E-7,10.55501,8.119365E-5,665340.2,665340.2
7.503211E-6,15.63063,-1.372249E9,1582.604,1582.604,0.001268476,1.0,0.9030923,0.005676298,6.628316E-4,0.003029591,7.602564E-4,3.956092E-6,7.483349E-6,6.096796E-6,0.004680336,5.853182E-7,0.02840071,0.004296899,5.763817E-5,0.001073036,0.038683,0.008923908,3.566006E-6,2.384273E-5,1.857435E-6,7.256349E-7,10.53892,8.115324E-5,664326.1,664326.1
8.273738E-6,15.63363,-9.854652E8,1582.401,1582.401,0.001268476,1.0,0.9023617,0.0061661,6.306026E-4,0.003274821,8.278205E-4,4.62902E-6,8.528172E-6,6.781998E-6,0.005088116,7.493904E-7,0.02856548,0.004367749,6.432211E-5,0.001161603,0.03838633,0.008422559,4.107858E-6,2.662452E-5,2.277914E-6,8.922167E-7,10.53555,8.113766E-5,664113.4,664113.4
8.707414E-6,15.6354,-8.041309E8,1582.314,1582.314,0.001268476,1.0,0.9019671,0.006430405,6.135213E-4,0.003406679,8.645018E-4,5.014132E-6,9.120296E-6,7.17031E-6,0.005308866,8.515789E-7,0.02866027,0.00439781,6.803549E-5,0.001209405,0.03822489,0.0081549,4.416818E-6,2.817973E-5,2.532115E-6,9.934343E-7,10.53378,8.112848E-5,664001.8,664001.8
8.796262E-6,15.63577,-7.695717E8,1582.298,1582.298,0.001268476,1.0,0.9018876,0.006483589,6.101098E-4,0.003433184,8.719056E-4,5.093507E-6,9.241881E-6,7.250165E-6,0.005353364,8.733941E-7,0.0286798,0.004403197,6.879155E-5,0.001219029,0.03819227,0.008101285,4.480435E-6,2.84974E-5,2.585699E-6,1.014822E-6,10.53342,8.112657E-5,663979.6,663979.6
8.801799E-6,15.63579,-7.675708E8,1582.297,1582.297,0.001268476,1.0,0.9018827,0.006486893,6.098981E-4,0.00343483,8.723659E-4,5.098459E-6,9.249462E-6,7.255145E-6,0.00535613,8.747636E-7,0.02868102,0.004403524,6.883862E-5,0.001219627,0.03819024,0.008097957,4.484403E-6,2.851719E-5,2.589055E-6,1.016162E-6,10.5334,8.112645E-5,663978.2,663978.2
8.824498E-6,15.63588,-7.589348E8,1582.293,1582.293,0.001268476,1.0,0.9018624,0.006500423,6.090318E-4,0.003441572,8.742509E-4,5.118765E-6,9.280541E-6,7.275567E-6,0.005367455,8.803908E-7,0.02868602,0.004404855,6.903149E-5,0.001222075,0.03818194,0.008084332,4.500675E-6,2.85983E-5,2.602836E-6,1.021665E-6,10.53331,8.112596E-5,663972.6,663972.6
9.023499E-6,15.63671,-6.857744E8,1582.261,1582.261,0.001268476,1.0,0.9016865,0.006618155,6.015163E-4,0.003500214,8.906762E-4,5.297188E-6,9.553215E-6,7.454919E-6,0.005466086,9.305574E-7,0.0287299,0.004415852,7.071767E-5,0.00124339,0.03810953,0.007965997,4.643611E-6,2.930843E-5,2.725035E-6,1.070521E-6,10.53254,8.112165E-5,663923.7,663923.8
9.034573E-6,15.63676,-6.818574E8,1582.259,1582.259,0.001268476,1.0,0.9016767,0.006624661,6.011022E-4,0.003503453,8.91585E-4,5.307138E-6,9.5684E-6,7.464918E-6,0.005471541,9.333933E-7,0.02873234,0.004416429,7.081126E-5,0.001244568,0.03810552,0.007959469,4.65158E-6,2.93479E-5,2.731908E-6,1.073272E-6,10.53249,8.112141E-5,663921.1,663921.1
9.062718E-6,15.63688,-6.716702E8,1582.255,1582.255,0.001268476,1.0,0.9016521,0.006641171,6.000518E-4,0.003511674,8.938922E-4,5.332435E-6,9.606998E-6,7.490338E-6,0.005485386,9.406227E-7,0.02873856,0.004417878,7.104897E-5,0.001247559,0.03809534,0.00794291,4.671841E-6,2.944819E-5,2.749413E-6,1.080279E-6,10.53239,8.11208E-5,663914.2,663914.3
1.0E-5,15.64089,-3.798565E8,1582.146,1582.146,0.001268476,1.0,0.9008547,0.007173692,5.665884E-4,0.003776663,9.688117E-4,6.181636E-6,1.089534E-5,8.344585E-6,0.005933819,1.19855E-6,0.02894614,0.004453911,7.886238E-5,0.001344219,0.03776431,0.007413089,5.351737E-6,3.27694E-5,3.359713E-6,1.325831E-6,10.52896,8.110002E-5,663698.3,663698.3
1.402043E-5,15.65844,2.802156E8,1582.155,1582.155,0.001268476,1.0,0.8978975,0.009128938,4.49546E-4,0.00475653,0.001255911,9.897104E-6,1.640971E-5,1.224114E-5,0.007628231,2.679404E-6,0.02980079,0.004424156,1.097364E-4,0.001706252,0.03648517,0.005543047,8.344889E-6,4.658411E-5,6.494659E-6,2.62679E-6,10.51722,8.10091E-5,662958.2,662958.3
