Time_Soln#14 (sec),Volume_Soln#14 (cm3),Volumetric_heat_production_rate_Soln#14 (erg/cm3-sec),Surface_temperature_Soln#14 (K),Temperature_Soln#14 (K),Mass_Soln#14 (g),Pressure_Soln#14 (atm),Mole_fraction_H2_Soln#14 (),Mole_fraction_CH4_Soln#14 (),Mole_fraction_CH3_Soln#14 (),Mole_fraction_C2H4_Soln#14 (),Mole_fraction_C2H2_Soln#14 (),Mole_fraction_C3H4-P_Soln#14 (),Mole_fraction_C4H4_Soln#14 (),Mole_fraction_C4H2_Soln#14 (),Mole_fraction_C6H6_Soln#14 (),Mole_fraction_C10H8_Soln#14 (),Mole_fraction_C7H8_Soln#14 (),Mole_fraction_C7H7_Soln#14 (),Mole_fraction_C6H5C2H_Soln#14 (),Mole_fraction_C6H5C2H3_Soln#14 (),Mole_fraction_C6H5C2H5_Soln#14 (),Mole_fraction_BIPHENYL_Soln#14 (),Mole_fraction_C14H10_Soln#14 (),Mole_fraction_C16H10_Soln#14 (),Mole_fraction_BIN1B_Soln#14 (),Mole_fraction_BIN1A_Soln#14 (),Molecular_weight_Soln#14 (g/mole),Mass_density_Soln#14 (g/cm3),Unburned_hydrocarbons_Soln#14 (ppm),Volatile_organic_compounds_Soln#14 (ppm)
0.0,15.7,-5.57206E10,1650.0,1650.0,0.001230037,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,7.834633E-5,668660.8,668660.8
4.0283E-9,15.69967,-5.561466E10,1649.948,1649.948,0.001230037,1.0,0.9128447,2.03148E-8,8.172268E-6,3.291647E-9,2.697618E-8,5.779159E-14,1.496237E-11,7.676109E-13,2.880249E-8,1.010842E-17,0.02851655,8.780014E-6,1.149835E-9,0.04210694,0.01651406,3.607909E-17,7.827611E-12,3.681047E-13,1.734572E-22,1.562289E-13,10.60758,7.8348E-5,668654.2,668654.2
7.838436E-8,15.69357,-5.434997E10,1649.009,1649.009,0.001230037,1.0,0.9126944,7.401547E-6,1.506793E-4,1.193237E-6,6.616076E-7,1.535339E-10,5.615755E-9,9.687055E-10,1.577627E-6,9.119347E-14,0.02849861,1.698221E-4,5.330565E-7,0.04211522,0.01634037,1.317461E-12,4.093493E-9,1.956619E-10,6.236671E-17,8.224984E-11,10.60566,7.837844E-5,668533.0,668533.0
4.25897E-7,15.66721,-4.89418E10,1644.87,1644.87,0.001230037,1.0,0.9119155,1.849916E-4,6.440499E-4,5.5272E-5,1.196192E-5,1.623027E-8,1.651603E-7,1.165587E-7,6.685102E-5,6.812047E-11,0.028371,9.084233E-4,2.274427E-5,0.04207545,0.01554766,3.097495E-9,2.403093E-7,8.872576E-9,3.488758E-13,3.572956E-9,10.59683,7.851028E-5,667976.7,667976.7
1.679565E-6,15.61342,-2.196524E10,1634.791,1634.791,0.001230037,1.0,0.908784,0.001724867,0.001215715,8.557371E-4,2.073279E-4,5.687884E-7,2.251958E-6,2.647033E-6,0.001235608,2.398539E-8,0.0277468,0.003099987,3.345986E-4,0.04117027,0.01293428,4.551116E-7,4.910363E-6,1.714056E-7,2.689905E-10,6.457971E-8,10.56819,7.878076E-5,666170.8,666170.8
4.700958E-6,15.60729,-3.281237E9,1628.327,1628.327,0.001230037,1.0,0.9028017,0.005668099,9.945249E-4,0.002902163,7.86844E-4,4.989217E-6,1.115931E-5,1.109723E-5,0.004589336,6.225293E-7,0.02783066,0.00503698,0.001130416,0.03874623,0.008596663,3.689811E-6,2.220747E-5,1.509246E-6,7.407549E-9,5.708404E-7,10.53054,7.881173E-5,663797.6,663797.6
6.621858E-6,15.6187,-1.02921E9,1627.451,1627.451,0.001230037,1.0,0.9000029,0.007589585,8.191175E-4,0.003831003,0.001072402,8.724726E-6,1.755036E-5,1.649E-5,0.006217763,1.565524E-6,0.02830951,0.005318355,0.001500853,0.03755196,0.006761288,6.130495E-6,3.298639E-5,3.157318E-6,1.737112E-8,1.199062E-6,10.51718,7.875414E-5,662955.7,662955.7
7.352127E-6,15.62345,-5.73355E8,1627.318,1627.318,0.001230037,1.0,0.8990777,0.008220998,7.633438E-4,0.004134847,0.001169338,1.020453E-5,2.000174E-5,1.861154E-5,0.006763823,2.049092E-6,0.02850299,0.005349063,0.001623632,0.03714456,0.006184144,7.081802E-6,3.697852E-5,3.927401E-6,2.231507E-8,1.496386E-6,10.51313,7.873023E-5,662700.4,662700.4
7.591123E-6,15.62501,-4.522816E8,1627.29,1627.29,0.001230037,1.0,0.8987889,0.008417379,7.462292E-4,0.004229541,0.001199936,1.069256E-5,2.080309E-5,1.931763E-5,0.006935333,2.222324E-6,0.02856604,0.005352901,0.001662063,0.03701576,0.006007302,7.39473E-6,3.82723E-5,4.194688E-6,2.4078E-8,1.600237E-6,10.5119,7.872236E-5,662622.7,662622.7
7.696229E-6,15.62569,-4.029341E8,1627.28,1627.28,0.001230037,1.0,0.898664,0.008502222,7.388693E-4,0.004270496,0.001213229,1.090764E-5,2.11552E-5,1.963014E-5,0.007009707,2.300834E-6,0.02859366,0.00535374,0.00167871,0.03695977,0.005931298,7.532545E-6,3.883928E-5,4.314504E-6,2.487634E-8,1.646902E-6,10.51137,7.87189E-5,662589.3,662589.3
7.710069E-6,15.62578,-3.964746E8,1627.278,1627.278,0.001230037,1.0,0.8986477,0.008513326,7.379076E-4,0.004275858,0.001214972,1.093597E-5,2.120155E-5,1.967138E-5,0.007019453,2.311278E-6,0.02859729,0.005353814,0.00168089,0.03695243,0.005921369,7.5507E-6,3.891385E-5,4.330382E-6,2.498251E-8,1.653092E-6,10.5113,7.871844E-5,662585.0,662585.0
