Time_Soln#15 (sec),Volume_Soln#15 (cm3),Volumetric_heat_production_rate_Soln#15 (erg/cm3-sec),Surface_temperature_Soln#15 (K),Temperature_Soln#15 (K),Mass_Soln#15 (g),Pressure_Soln#15 (atm),Mole_fraction_H2_Soln#15 (),Mole_fraction_H_Soln#15 (),Mole_fraction_CH4_Soln#15 (),Mole_fraction_CH3_Soln#15 (),Mole_fraction_C2H4_Soln#15 (),Mole_fraction_C2H2_Soln#15 (),Mole_fraction_C4H4_Soln#15 (),Mole_fraction_C4H2_Soln#15 (),Mole_fraction_C6H6_Soln#15 (),Mole_fraction_C10H8_Soln#15 (),Mole_fraction_C7H8_Soln#15 (),Mole_fraction_C7H7_Soln#15 (),Mole_fraction_C6H5C2H_Soln#15 (),Mole_fraction_C6H5C2H3_Soln#15 (),Mole_fraction_C6H5C2H5_Soln#15 (),Mole_fraction_BIPHENYL_Soln#15 (),Mole_fraction_C14H10_Soln#15 (),Mole_fraction_C16H10_Soln#15 (),Mole_fraction_BIN1B_Soln#15 (),Mole_fraction_BIN1A_Soln#15 (),Molecular_weight_Soln#15 (g/mole),Mass_density_Soln#15 (g/cm3),Unburned_hydrocarbons_Soln#15 (ppm),Volatile_organic_compounds_Soln#15 (ppm)
0.0,15.7,-9.006918E10,1700.0,1700.0,0.00119386,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,7.604203E-5,668660.8,668660.8
2.430996E-9,15.69968,-8.994068E10,1699.948,1699.948,0.00119386,1.0,0.9128447,7.116803E-7,1.389312E-8,8.116588E-6,2.768398E-9,2.99536E-8,1.911732E-11,1.025077E-12,3.111399E-8,8.848496E-18,0.02851648,8.781634E-6,1.27247E-9,0.04210701,0.01651404,2.593897E-17,5.471669E-12,3.503053E-13,9.081983E-23,1.48678E-13,10.60758,7.604357E-5,668654.1,668654.1
4.324117E-8,15.6944,-8.838048E10,1699.092,1699.092,0.00119386,1.0,0.9127091,1.400124E-5,4.280453E-6,1.392361E-4,6.621674E-7,6.167438E-7,5.982475E-9,7.767755E-10,1.076958E-6,5.231877E-14,0.02849943,1.551853E-4,3.677272E-7,0.04211694,0.01635575,3.562724E-13,2.138776E-9,1.163775E-10,1.564658E-17,4.899151E-11,10.60581,7.606918E-5,668542.4,668542.4
2.138874E-7,15.67332,-8.285991E10,1695.652,1695.652,0.00119386,1.0,0.9121095,9.469669E-5,9.440491E-5,5.943106E-4,2.256099E-5,6.177263E-6,1.428052E-7,6.676533E-8,2.583986E-5,1.499544E-11,0.0284089,7.515738E-4,1.056798E-5,0.04212436,0.01571259,4.770883E-10,8.857703E-8,3.592101E-9,3.845493E-14,1.462151E-9,10.59857,7.617145E-5,668085.9,668085.9
1.046641E-6,15.60368,-4.54486E10,1682.983,1682.983,0.00119386,1.0,0.9088947,4.272751E-4,0.00144646,0.001540895,6.482507E-4,1.645854E-4,2.96887E-6,3.511076E-6,9.17775E-4,1.491219E-8,0.02770698,0.003241753,2.799303E-4,0.04143848,0.01290449,2.967551E-7,3.571531E-6,1.206156E-7,1.213498E-10,4.472505E-8,10.56632,7.651141E-5,666053.5,666053.5
1.544808E-6,15.58672,-2.811308E10,1678.76,1678.76,0.00119386,1.0,0.9070769,4.604221E-4,0.002506467,0.001640864,0.001210258,3.254209E-4,5.762596E-6,7.11631E-6,0.001808169,6.74066E-8,0.02739983,0.004250138,5.179966E-4,0.04077322,0.01150039,8.916278E-7,7.375443E-6,2.728356E-7,6.254247E-10,1.002641E-7,10.55128,7.659467E-5,665105.5,665105.5
1.680532E-6,15.58414,-2.468479E10,1677.921,1677.921,0.00119386,1.0,0.90661,4.590943E-4,0.002798373,0.001642318,0.001363625,3.70997E-4,6.605985E-6,8.160419E-6,0.002059119,9.156468E-8,0.02734415,0.004466799,5.82938E-4,0.04058862,0.01115263,1.0977E-6,8.504597E-6,3.263066E-7,8.625551E-10,1.198682E-7,10.54776,7.660735E-5,664883.0,664883.0
1.769272E-6,15.5828,-2.269508E10,1677.428,1677.428,0.00119386,1.0,0.9063114,4.569281E-4,0.002988384,0.00163934,0.001462766,4.007688E-4,7.172075E-6,8.84986E-6,0.002222867,1.100284E-7,0.02731363,0.004596941,6.249438E-4,0.04046858,0.01093272,1.240327E-6,9.255231E-6,3.643247E-7,1.043471E-9,1.338223E-7,10.54556,7.661394E-5,664744.9,664744.9
2.146494E-6,15.57948,-1.604893E10,1675.733,1675.733,0.00119386,1.0,0.9050989,4.40912E-4,0.00378182,0.001601977,0.001870265,5.254348E-4,9.684662E-6,1.181306E-5,0.002907428,2.14417E-7,0.02722913,0.00506217,7.979569E-4,0.03996898,0.01005894,1.902794E-6,1.251484E-5,5.547858E-7,2.049814E-9,2.037701E-7,10.53716,7.663029E-5,664214.9,664214.9
2.223441E-6,15.57917,-1.498757E10,1675.453,1675.453,0.00119386,1.0,0.9048625,4.368657E-4,0.003939948,0.001590835,0.001950221,5.503002E-4,1.021489E-5,1.242094E-5,0.003043785,2.412481E-7,0.02721971,0.005141772,8.319912E-4,0.03986972,0.009891996,2.047108E-6,1.318816E-5,5.99671E-7,2.303135E-9,2.202443E-7,10.5356,7.663179E-5,664116.9,664116.9
2.382488E-6,15.57885,-1.304175E10,1674.931,1674.931,0.00119386,1.0,0.9043848,4.281277E-4,0.004262091,0.001565324,0.002111884,6.009608E-4,1.132637E-5,1.367901E-5,0.003321415,3.030438E-7,0.02720725,0.00529229,9.009119E-4,0.03966774,0.009558065,2.353286E-6,1.458438E-5,6.991889E-7,2.878462E-9,2.567411E-7,10.53254,7.663338E-5,663923.7,663923.7
2.957499E-6,15.58016,-8.076916E9,1673.537,1673.537,0.00119386,1.0,0.9027738,3.957168E-4,0.005368625,0.001457439,0.00265611,7.752316E-4,1.548088E-5,1.823718E-5,0.00427416,6.027243E-7,0.02722474,0.005706276,0.001134146,0.03897428,0.008463555,3.528463E-6,1.964333E-5,1.137324E-6,5.536571E-9,4.169201E-7,10.52288,7.662693E-5,663315.1,663315.1
3.07465E-6,15.58076,-7.35295E9,1673.325,1673.325,0.00119386,1.0,0.902466,3.893445E-4,0.005582446,0.001434175,0.002759601,8.090242E-4,1.63471E-5,1.916789E-5,0.004458382,6.792389E-7,0.0272375,0.005770232,0.001178737,0.03883991,0.008259953,3.77781E-6,2.067095E-5,1.241869E-6,6.187799E-9,4.550432E-7,10.52114,7.662398E-5,663205.5,663205.6
3.088008E-6,15.58083,-7.275059E9,1673.302,1673.302,0.00119386,1.0,0.9024314,3.886266E-4,0.005606576,0.001431516,0.002771252,8.128416E-4,1.644621E-5,1.927408E-5,0.004479179,6.883079E-7,0.02723911,0.005777154,0.001183762,0.03882473,0.008237118,3.806411E-6,2.0788E-5,1.254119E-6,6.26439E-9,4.595086E-7,10.52095,7.662362E-5,663193.3,663193.3
3.12157E-6,15.58102,-7.083515E9,1673.245,1673.245,0.00119386,1.0,0.9023446,3.868313E-4,0.005666968,0.001424832,0.002800385,8.223998E-4,1.669549E-5,1.954095E-5,0.004531241,7.114145E-7,0.02724329,0.005794216,0.001196332,0.03878673,0.008180093,3.878418E-6,2.108194E-5,1.285201E-6,6.458979E-9,4.708368E-7,10.52047,7.662269E-5,663162.8,663162.8
