Time_Soln#19 (sec),Volume_Soln#19 (cm3),Volumetric_heat_production_rate_Soln#19 (erg/cm3-sec),Surface_temperature_Soln#19 (K),Temperature_Soln#19 (K),Mass_Soln#19 (g),Pressure_Soln#19 (atm),Mole_fraction_H2_Soln#19 (),Mole_fraction_H_Soln#19 (),Mole_fraction_CH4_Soln#19 (),Mole_fraction_CH3_Soln#19 (),Mole_fraction_C2H4_Soln#19 (),Mole_fraction_C2H2_Soln#19 (),Mole_fraction_C3H4-P_Soln#19 (),Mole_fraction_C4H2_Soln#19 (),Mole_fraction_C6H6_Soln#19 (),Mole_fraction_C10H8_Soln#19 (),Mole_fraction_C7H8_Soln#19 (),Mole_fraction_C7H7_Soln#19 (),Mole_fraction_BENZYNE_Soln#19 (),Mole_fraction_C6H5C2H_Soln#19 (),Mole_fraction_C6H5C2H3_Soln#19 (),Mole_fraction_C6H5C2H5_Soln#19 (),Mole_fraction_C12H8_Soln#19 (),Mole_fraction_BIPHENYL_Soln#19 (),Mole_fraction_C14H10_Soln#19 (),Mole_fraction_BIN1B_Soln#19 (),Molecular_weight_Soln#19 (g/mole),Mass_density_Soln#19 (g/cm3),Unburned_hydrocarbons_Soln#19 (ppm),Volatile_organic_compounds_Soln#19 (ppm)
0.0,15.7,-4.257482E11,1900.0,1900.0,0.00106819,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,10.60769,6.80376E-5,668660.8,668660.8
5.274587E-10,15.69971,-4.255765E11,1899.942,1899.942,0.00106819,1.0,0.9128437,9.681356E-7,5.412826E-9,8.98037E-6,3.063806E-9,5.416018E-8,8.128364E-13,3.526313E-12,5.404177E-8,1.312141E-17,0.02851627,9.774698E-6,3.963102E-10,2.838062E-9,0.04210755,0.01651242,3.006486E-19,1.256531E-17,2.320723E-12,3.183109E-23,10.60756,6.803886E-5,668652.8,668652.8
1.305436E-8,15.69289,-4.193055E11,1898.583,1898.583,0.00106819,1.0,0.9126294,2.668246E-5,3.241105E-6,2.166462E-4,4.756839E-7,1.560665E-6,7.776304E-10,3.882853E-9,1.652076E-6,1.651357E-13,0.02848767,2.38895E-4,2.392797E-7,1.131745E-6,0.04213615,0.01625187,4.282985E-15,1.660644E-13,1.540566E-9,1.006082E-17,10.60458,6.806843E-5,668465.0,668465.0
7.234054E-8,15.66217,-3.868638E11,1892.457,1892.457,0.00106819,1.0,0.9116122,1.837181E-4,9.10982E-5,0.001066715,1.718159E-5,1.202905E-5,5.635104E-8,3.288777E-7,2.231329E-5,3.911733E-11,0.0283362,0.001253409,6.950356E-6,1.770773E-5,0.04223607,0.01509541,6.785743E-13,1.858692E-10,6.424623E-8,1.646547E-14,10.59109,6.820192E-5,667614.9,667614.9
3.690175E-7,15.54595,-2.511361E11,1868.39,1868.39,0.00106819,1.0,0.9067332,0.001037782,0.001600414,0.003224666,5.394334E-4,2.13878E-4,2.920562E-6,2.225405E-5,7.447099E-4,3.630449E-8,0.02718546,0.005100933,1.289553E-4,3.547659E-4,0.04183518,0.01068121,1.307843E-10,2.130853E-7,2.924316E-6,5.913398E-11,10.53457,6.87118E-5,664051.9,664051.9
5.162489E-7,15.50968,-1.93751E11,1860.06,1860.06,0.00106819,1.0,0.9045409,0.001278154,0.002644537,0.003608097,9.959778E-4,4.092431E-4,6.039314E-6,4.579454E-5,0.001490519,1.542391E-7,0.02652378,0.00640959,2.096017E-4,6.347177E-4,0.04122647,0.009090414,7.281862E-10,7.223913E-7,6.016685E-6,3.087702E-10,10.51214,6.887251E-5,662637.7,662637.7
5.248282E-7,15.50794,-1.907166E11,1859.639,1859.639,0.00106819,1.0,0.9044186,0.001288074,0.002707549,0.00362277,0.001024593,4.220107E-4,6.254097E-6,4.734689E-5,0.001539571,1.653866E-7,0.02648616,0.006475218,2.142745E-4,6.521522E-4,0.04118614,0.009007069,7.963888E-10,7.639807E-7,6.223482E-6,3.339742E-10,10.51094,6.888023E-5,662562.1,662562.1
5.610182E-7,15.50101,-1.78331E11,1857.937,1857.937,0.00106819,1.0,0.9039094,0.001325605,0.002974839,0.003677241,0.001146841,4.771813E-4,7.199207E-6,5.407126E-5,0.00175175,2.189885E-7,0.02632946,0.006740094,2.338266E-4,7.265397E-4,0.04101171,0.008665694,1.146077E-9,9.542351E-7,7.122679E-6,4.572601E-10,10.50601,6.8911E-5,662251.3,662251.3
6.675599E-7,15.48412,-1.458209E11,1853.547,1853.547,0.00106819,1.0,0.9024713,0.001400872,0.003769476,0.003778188,0.00151601,6.495412E-4,1.033964E-5,7.525974E-5,0.002415821,4.489418E-7,0.02589058,0.007414879,2.893051E-4,9.504874E-4,0.04046713,0.007749132,2.959908E-9,1.650685E-6,9.985637E-6,1.008873E-9,10.49262,6.898618E-5,661407.5,661407.5
6.78521E-7,15.48265,-1.42809E11,1853.144,1853.144,0.00106819,1.0,0.9023284,0.001406068,0.003851427,0.003784297,0.00155439,6.679297E-4,1.069227E-5,7.753794E-5,0.002486695,4.79617E-7,0.02584756,0.007476023,2.947982E-4,9.737283E-4,0.04040918,0.007661752,3.232435E-9,1.733499E-6,1.029559E-5,1.084088E-9,10.49133,6.899274E-5,661326.4,661326.4
8.072041E-7,15.46851,-1.117966E11,1848.99,1848.99,0.00106819,1.0,0.9007178,0.001440293,0.004808452,0.003809796,0.002004039,8.895156E-4,1.522145E-5,1.053069E-4,0.003339715,9.568062E-7,0.02537408,0.008092241,3.55839E-4,0.001245726,0.03971448,0.006720842,8.117256E-9,2.847963E-6,1.409472E-5,2.27393E-9,10.47739,6.905581E-5,660447.3,660447.3
8.143288E-7,15.46788,-1.102999E11,1848.789,1848.789,0.00106819,1.0,0.9006321,0.001440988,0.004860969,0.003809069,0.002028728,9.020011E-4,1.549234E-5,1.068906E-4,0.003387686,9.901028E-7,0.02534958,0.008121314,3.590272E-4,0.001260653,0.03967555,0.006672988,8.495017E-9,2.916821E-6,1.431223E-5,2.357694E-9,10.47667,6.905864E-5,660402.3,660402.3
8.364702E-7,15.466,-1.057853E11,1848.179,1848.179,0.00106819,1.0,0.9003681,0.001442498,0.005023742,0.003805603,0.002105224,9.408914E-4,1.6347E-5,1.118379E-4,0.003537017,1.098578E-6,0.02527454,0.00820858,3.688058E-4,0.001306901,0.03955446,0.00652689,9.753092E-9,3.135226E-6,1.499204E-5,2.630874E-9,10.47449,6.906702E-5,660264.7,660264.7
8.841188E-7,15.46239,-9.67437E10,1846.951,1846.951,0.00106819,1.0,0.8998112,0.001442733,0.005371542,0.003792397,0.002268484,0.001024927,1.825064E-5,1.226054E-4,0.003859186,1.358698E-6,0.02511874,0.00838119,3.891875E-4,0.001405613,0.03929363,0.00622546,1.292473E-8,3.627033E-6,1.647292E-5,3.28698E-9,10.46997,6.908314E-5,659979.9,659979.9
9.271019E-7,15.45959,-8.932198E10,1845.933,1845.933,0.00106819,1.0,0.8993217,0.001439945,0.005682023,0.003774551,0.002413922,0.001100959,2.003976E-5,1.324422E-4,0.00414998,1.625813E-6,0.02498463,0.008520377,4.068168E-4,0.001493573,0.03905864,0.005967813,1.637703E-8,4.094435E-6,1.782658E-5,3.961046E-9,10.46609,6.909566E-5,659735.5,659735.5
9.399701E-7,15.45883,-8.72286E10,1845.643,1845.643,0.00106819,1.0,0.8991775,0.001438627,0.005774308,0.003768218,0.002457084,0.001123736,2.05883E-5,1.354078E-4,0.004236953,1.712089E-6,0.02494564,0.008559146,4.119562E-4,0.001519683,0.03898843,0.005893213,1.752991E-8,4.238538E-6,1.823469E-5,4.178669E-9,10.46497,6.909905E-5,659664.5,659664.5
9.567028E-7,15.45789,-8.458888E10,1845.277,1845.277,0.00106819,1.0,0.8989915,0.001436623,0.005893838,0.003759371,0.00251294,0.001153352,2.130997E-5,1.392766E-4,0.004349938,1.8286E-6,0.0248957,0.008607701,4.185481E-4,0.001553478,0.03889726,0.005797844,1.911288E-8,4.428584E-6,1.876705E-5,4.472419E-9,10.46353,6.910325E-5,659573.7,659573.7
9.638191E-7,15.45751,-8.349454E10,1845.125,1845.125,0.00106819,1.0,0.8989129,0.001435674,0.005944505,0.003755401,0.002536599,0.001165946,2.161981E-5,1.409264E-4,0.004397945,1.879694E-6,0.02487473,0.008627711,4.213199E-4,0.001567795,0.03885854,0.00575785,1.981638E-8,4.510331E-6,1.899404E-5,4.60118E-9,10.46292,6.910496E-5,659535.5,659535.6
9.714946E-7,15.4571,-8.23329E10,1844.963,1844.963,0.00106819,1.0,0.8988285,0.001434589,0.00599904,0.003750989,0.002562052,0.001179527,2.195587E-5,1.427085E-4,0.00444969,1.93582E-6,0.02485228,0.008648882,4.242889E-4,0.001583198,0.03881681,0.005715079,2.059532E-8,4.599089E-6,1.92392E-5,4.742576E-9,10.46228,6.910676E-5,659494.7,659494.7
9.741587E-7,15.45697,-8.193366E10,1844.907,1844.907,0.00106819,1.0,0.8987993,0.001434198,0.006017941,0.003749426,0.002570871,0.00118424,2.207298E-5,1.433277E-4,0.004467642,1.955554E-6,0.02484453,0.00865613,4.253144E-4,0.001588536,0.03880234,0.005700323,2.087073E-8,4.630041E-6,1.932439E-5,4.792279E-9,10.46205,6.910737E-5,659480.6,659480.6
9.924361E-7,15.45606,-7.925695E10,1844.532,1844.532,0.00106819,1.0,0.8986001,0.001431322,0.006147214,0.003738275,0.002631144,0.001216562,2.288276E-5,1.475849E-4,0.004590664,2.09449E-6,0.02479193,0.008704482,4.3228E-4,0.00162502,0.03870318,0.005600313,2.283155E-8,4.844357E-6,1.990991E-5,5.14202E-9,10.46054,6.911141E-5,659385.0,659385.0
1.007127E-6,15.45538,-7.717976E10,1844.239,1844.239,0.00106819,1.0,0.8984414,0.001428779,0.006250614,0.003728799,0.002679302,0.001242521,2.354144E-5,1.510175E-4,0.004689355,2.210645E-6,0.02475036,0.008741665,4.377926E-4,0.001654177,0.03862367,0.005521437,2.449866E-8,5.019024E-6,2.038187E-5,5.43414E-9,10.45934,6.911446E-5,659309.5,659309.5
1.017463E-6,15.45492,-7.575778E10,1844.038,1844.038,0.00106819,1.0,0.8983306,0.00142687,0.006323078,0.00372186,0.002713022,0.001260771,2.400917E-5,1.534384E-4,0.004758676,2.294903E-6,0.02472151,0.008766914,4.416238E-4,0.001674597,0.03856784,0.005466765,2.572374E-8,5.143225E-6,2.071462E-5,5.64587E-9,10.45851,6.911651E-5,659257.1,659257.1
1.359378E-6,15.44749,-4.275125E10,1839.048,1839.048,0.00106819,1.0,0.8949901,0.00133228,0.008578149,0.00341219,0.003750211,0.001851397,4.10988E-5,2.354155E-4,0.006968587,6.29762E-6,0.02391518,0.009273557,5.499947E-4,0.002305009,0.03679187,0.003970663,9.353967E-8,9.71333E-6,3.188445E-5,1.553252E-8,10.43523,6.914975E-5,657789.6,657789.6
1.367579E-6,15.44745,-4.221916E10,1838.96,1838.96,0.00106819,1.0,0.894917,0.001329621,0.008628667,0.003403602,0.003773193,0.001865149,4.154097E-5,2.374161E-4,0.007019147,6.42413E-6,0.02389881,0.00927942,5.522196E-4,0.002319042,0.03675126,0.00394113,9.589709E-8,9.831541E-6,3.215377E-5,1.584025E-8,10.43475,6.914994E-5,657759.7,657759.8
1.377231E-6,15.4474,-4.160476E10,1838.856,1838.856,0.00106819,1.0,0.8948315,0.001326484,0.0086879,0.003393462,0.003800127,0.001881304,4.206293E-5,2.397721E-4,0.007078486,6.574913E-6,0.0238797,0.00928602,5.54819E-4,0.002335492,0.03670359,0.003906699,9.871932E-8,9.971052E-6,3.247069E-5,1.620671E-8,10.4342,6.915015E-5,657724.8,657724.8
1.39028E-6,15.44735,-4.079427E10,1838.72,1838.72,0.00106819,1.0,0.8947164,0.00132223,0.008767578,0.003379694,0.003836337,0.001903092,4.277141E-5,2.429601E-4,0.007158409,6.782195E-6,0.02385412,0.009294412,5.582993E-4,0.002357614,0.03663937,0.003860733,1.026218E-7,1.016035E-5,3.289909E-5,1.670994E-8,10.43346,6.915039E-5,657678.1,657678.1
1.47424E-6,15.44725,-3.608089E10,1837.898,1837.898,0.00106819,1.0,0.8939938,0.001294621,0.00927007,0.003289963,0.004064199,0.002041923,4.73981E-5,2.635421E-4,0.007664923,8.204412E-6,0.02369595,0.009335641,5.798694E-4,0.002497021,0.03623225,0.003579226,1.300006E-7,1.139471E-5,3.565303E-5,2.014816E-8,10.42887,6.915086E-5,657388.9,657388.9
1.477649E-6,15.44725,-3.590709E10,1837.867,1837.867,0.00106819,1.0,0.8939651,0.001293495,0.009290094,0.003286288,0.004073263,0.002047509,4.758832E-5,2.643801E-4,0.007685199,8.265437E-6,0.02368976,0.009336871,5.80716E-4,0.002502573,0.03621595,0.003568303,1.311973E-7,1.144539E-5,3.576472E-5,2.029516E-8,10.42869,6.915085E-5,657377.6,657377.6
1.49009E-6,15.44727,-3.528186E10,1837.754,1837.754,0.00106819,1.0,0.8938607,0.001289384,0.009362933,0.003272861,0.004106223,0.002067861,4.828411E-5,2.674406E-4,0.00775901,8.490367E-6,0.02366728,0.009341078,5.837876E-4,0.002522769,0.03615659,0.003528761,1.356226E-7,1.163069E-5,3.617226E-5,2.083667E-8,10.42804,6.915077E-5,657336.5,657336.5
1.491434E-6,15.44727,-3.521525E10,1837.742,1837.742,0.00106819,1.0,0.8938495,0.00128894,0.009370779,0.003271409,0.004109772,0.002070056,4.835941E-5,2.677713E-4,0.007766965,8.514867E-6,0.02366487,0.009341508,5.841178E-4,0.002524944,0.03615019,0.003524519,1.36106E-7,1.165074E-5,3.621627E-5,2.089562E-8,10.42797,6.915076E-5,657332.1,657332.1
1.492748E-6,15.44727,-3.515055E10,1837.73,1837.73,0.00106819,1.0,0.8938385,0.001288506,0.009378442,0.003269991,0.004113239,0.002072201,4.843303E-5,2.680946E-4,0.007774737,8.53885E-6,0.02366251,0.009341922,5.844401E-4,0.002527068,0.03614394,0.003520379,1.365794E-7,1.167034E-5,3.625929E-5,2.095332E-8,10.4279,6.915075E-5,657327.8,657327.8
1.49513E-6,15.44728,-3.503309E10,1837.709,1837.709,0.00106819,1.0,0.8938186,0.001287719,0.00939233,0.003267416,0.004119521,0.002076091,4.856663E-5,2.68681E-4,0.007788825,8.582451E-6,0.02365824,0.009342662,5.850239E-4,0.002530919,0.0361326,0.003512884,1.374407E-7,1.170591E-5,3.633731E-5,2.105821E-8,10.42777,6.915073E-5,657320.0,657320.0
1.552732E-6,15.44746,-3.237446E10,1837.215,1837.215,0.00106819,1.0,0.8933447,0.001268698,0.009723723,0.003205029,0.004269263,0.00216951,5.182139E-5,2.828851E-4,0.008125999,9.675271E-6,0.02355739,0.009355926,5.988267E-4,0.00262278,0.03586129,0.003337175,1.592878E-7,1.257137E-5,3.822142E-5,2.36812E-8,10.42485,6.914991E-5,657135.4,657135.4
1.592468E-6,15.44766,-3.071949E10,1836.895,1836.895,0.00106819,1.0,0.8930252,0.001255622,0.009947564,0.003161933,0.004370257,0.002233289,5.409229E-5,2.927114E-4,0.008354845,1.047149E-5,0.02349029,0.009360316,6.080226E-4,0.002684826,0.03567701,0.003221745,1.754905E-7,1.317405E-5,3.95186E-5,2.558609E-8,10.4229,6.914902E-5,657012.6,657012.6
1.603416E-6,15.44772,-3.02875E10,1836.81,1836.81,0.00106819,1.0,0.8929383,0.001252031,0.01000855,0.003150065,0.004397755,0.002250765,5.472144E-5,2.954226E-4,0.008417353,1.0697E-5,0.02347215,0.009360879,6.105113E-4,0.002701732,0.03562665,0.003190746,1.801202E-7,1.334084E-5,3.987559E-5,2.612476E-8,10.42237,6.914873E-5,656979.4,656979.4
1.607094E-6,15.44774,-3.014416E10,1836.782,1836.782,0.00106819,1.0,0.8929091,0.001250825,0.01002898,0.003146078,0.004406963,0.002256627,5.493316E-5,2.963339E-4,0.008438305,1.077336E-5,0.02346608,0.009361008,6.113433E-4,0.002707395,0.03560977,0.003180405,1.816918E-7,1.339695E-5,3.99955E-5,2.630708E-8,10.4222,6.914863E-5,656968.3,656968.3
1.620807E-6,15.44783,-2.96216E10,1836.677,1836.677,0.00106819,1.0,0.892801,0.001246337,0.01010483,0.003131226,0.004441149,0.002278439,5.57238E-5,2.997327E-4,0.008516168,1.106064E-5,0.02344361,0.009361225,6.144259E-4,0.002728422,0.03554702,0.003142196,1.876218E-7,1.360641E-5,4.044228E-5,2.699268E-8,10.42154,6.914823E-5,656927.2,656927.2
1.623624E-6,15.44785,-2.951536E10,1836.656,1836.656,0.00106819,1.0,0.8927789,0.001245416,0.01012036,0.003128175,0.004448147,0.002282913,5.588655E-5,3.004314E-4,0.008532124,1.112018E-5,0.02343902,0.00936122,6.150558E-4,0.002732728,0.03553416,0.003134408,1.888543E-7,1.364952E-5,4.053406E-5,2.713472E-8,10.42141,6.914815E-5,656918.8,656918.8
1.625503E-6,15.44786,-2.944534E10,1836.642,1836.642,0.00106819,1.0,0.8927642,0.001244802,0.0101307,0.003126142,0.004452807,0.002285895,5.59951E-5,3.008973E-4,0.008542752,1.115998E-5,0.02343597,0.009361206,6.154751E-4,0.002735596,0.0355256,0.003129228,1.896786E-7,1.367826E-5,4.059524E-5,2.722964E-8,10.42132,6.914809E-5,656913.2,656913.2
1.629228E-6,15.44789,-2.930709E10,1836.614,1836.614,0.00106819,1.0,0.892735,0.001243585,0.01015118,0.003122111,0.004462037,0.002291803,5.621048E-5,3.018214E-4,0.00856381,1.123912E-5,0.02342992,0.009361157,6.163049E-4,0.002741276,0.03550862,0.003118985,1.913196E-7,1.373529E-5,4.071654E-5,2.741838E-8,10.42115,6.914798E-5,656902.2,656902.2
