Time_Soln#31 (sec),Volume_Soln#31 (cm3),Volumetric_heat_production_rate_Soln#31 (erg/cm3-sec),Surface_temperature_Soln#31 (K),Temperature_Soln#31 (K),Mass_Soln#31 (g),Pressure_Soln#31 (atm),Mole_fraction_H2_Soln#31 (),Mole_fraction_H_Soln#31 (),Mole_fraction_CH4_Soln#31 (),Mole_fraction_CH3_Soln#31 (),Mole_fraction_C2H4_Soln#31 (),Mole_fraction_C2H2_Soln#31 (),Mole_fraction_C3H4-P_Soln#31 (),Mole_fraction_C3H4-A_Soln#31 (),Mole_fraction_C3H3_Soln#31 (),Mole_fraction_C4H4_Soln#31 (),Mole_fraction_C4H2_Soln#31 (),Mole_fraction_C6H6_Soln#31 (),Mole_fraction_C10H8_Soln#31 (),Mole_fraction_C7H8_Soln#31 (),Mole_fraction_C7H7_Soln#31 (),Mole_fraction_BENZYNE_Soln#31 (),Mole_fraction_C6H5C2H_Soln#31 (),Mole_fraction_C6H5C2H3_Soln#31 (),Mole_fraction_C6H5C2H5_Soln#31 (),Mole_fraction_BIN1B_Soln#31 (),Molecular_weight_Soln#31 (g/mole),Mass_density_Soln#31 (g/cm3),Unburned_hydrocarbons_Soln#31 (ppm),Volatile_organic_compounds_Soln#31 (ppm)
0.0,15.7,-9.561231E12,2500.0,2500.0,8.118247E-4,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,10.60769,5.170858E-5,668660.8,668660.8
1.538548E-11,15.69986,-9.564273E12,2499.953,2499.953,8.118247E-4,1.0,0.9128466,3.051816E-6,2.121887E-10,3.864263E-6,3.920261E-9,1.182851E-7,2.592035E-11,4.390807E-15,1.680937E-10,1.531509E-10,5.454526E-12,1.178267E-7,2.031989E-17,0.02851686,3.992195E-6,1.760046E-10,2.857501E-9,0.04210629,0.01651621,5.745297E-24,10.60758,5.170902E-5,668653.9,668653.9
3.766852E-10,15.69669,-9.583027E12,2498.842,2498.842,8.118247E-4,1.0,0.9127007,7.657143E-5,1.258363E-7,9.395581E-5,1.310895E-7,3.168912E-6,1.53833E-8,8.02823E-12,9.956691E-8,9.056658E-8,6.987144E-9,2.897465E-6,2.983425E-13,0.02850285,9.69879E-5,1.043187E-7,1.668016E-6,0.04210633,0.01634552,1.791158E-18,10.60501,5.171947E-5,668491.9,668491.9
1.874452E-9,15.68372,-9.534328E12,2494.245,2494.245,8.118247E-4,1.0,0.9120776,4.01991E-4,3.040087E-6,4.544463E-4,1.586368E-6,2.134829E-5,3.735542E-7,7.442441E-10,2.390905E-6,2.161765E-6,5.10211E-7,1.485765E-5,4.255366E-11,0.02844173,4.676644E-4,2.515406E-6,3.780683E-5,0.04209949,0.01566266,9.971209E-16,10.59425,5.176225E-5,667814.1,667814.1
9.742938E-9,15.61984,-8.833102E12,2470.969,2470.969,8.118247E-4,1.0,0.9086484,0.002296188,7.257064E-5,0.002054179,3.688177E-5,2.451295E-4,9.339185E-6,9.216357E-8,5.600544E-5,4.818385E-5,3.68632E-5,1.018149E-4,8.126939E-9,0.0280397,0.002088425,5.958719E-5,6.711577E-4,0.04188386,0.01264095,4.704032E-13,10.53831,5.197394E-5,664287.8,664287.8
1.142316E-8,15.60704,-8.635316E12,2466.271,2466.271,8.118247E-4,1.0,0.9079286,0.002691161,9.72876E-5,0.002342519,5.026803E-5,3.148168E-4,1.26483E-5,1.466729E-7,7.489989E-5,6.363511E-5,5.320432E-5,1.265825E-4,1.334485E-8,0.02793751,0.002376568,7.974135E-5,8.505623E-4,0.04180732,0.01209975,8.228348E-13,10.5269,5.201655E-5,663568.2,663568.2
1.292568E-8,15.59584,-8.454323E12,2462.162,2462.162,8.118247E-4,1.0,0.9072966,0.003033485,1.218451E-4,0.002587222,6.381944E-5,3.818761E-4,1.597779E-5,2.102343E-7,9.362035E-5,7.864281E-5,7.014896E-5,1.504638E-4,1.953108E-8,0.02784192,0.002620071,9.969847E-5,0.00101493,0.04173183,0.01164191,1.264516E-12,10.51691,5.205394E-5,662938.8,662938.8
1.345582E-8,15.59193,-8.390042E12,2460.733,2460.733,8.118247E-4,1.0,0.9070765,0.003151527,1.310327E-4,0.002670771,6.894174E-5,4.064943E-4,1.72324E-5,2.363039E-7,1.006116E-4,8.417759E-5,7.662298E-5,1.592599E-4,2.208775E-8,0.0278073,0.00270298,1.071473E-4,0.001073413,0.04170373,0.01148595,1.453028E-12,10.51344,5.206697E-5,662720.0,662720.0
1.425935E-8,15.58607,-8.29252E12,2458.589,2458.589,8.118247E-4,1.0,0.906746,0.003327551,1.454559E-4,0.002794756,7.703221E-5,4.446813E-4,1.921051E-5,2.796643E-7,1.115733E-4,9.278434E-5,8.690429E-5,1.729423E-4,2.635783E-8,0.02775398,0.002825787,1.188213E-4,0.001162291,0.04165976,0.01125488,1.774552E-12,10.50823,5.208656E-5,662391.7,662391.7
1.580439E-8,15.57496,-8.105627E12,2454.538,2454.538,8.118247E-4,1.0,0.9061213,0.003655828,1.748017E-4,0.003024577,9.365125E-5,5.208213E-4,2.326279E-5,3.767962E-7,1.338256E-4,1.100058E-4,1.081787E-4,2.003753E-4,3.598164E-8,0.02764877,0.003052668,1.424971E-4,0.00133328,0.04157088,0.01082785,2.525705E-12,10.4984,5.212371E-5,661771.8,661771.8
