Time_Soln#2 (sec),Volume_Soln#2 (cm3),Volumetric_heat_production_rate_Soln#2 (erg/cm3-sec),Surface_temperature_Soln#2 (K),Temperature_Soln#2 (K),Mass_Soln#2 (g),Pressure_Soln#2 (atm),Mole_fraction_H2_Soln#2 (),Mole_fraction_CH4_Soln#2 (),Mole_fraction_CH3_Soln#2 (),Mole_fraction_C2H6_Soln#2 (),Mole_fraction_C2H4_Soln#2 (),Mole_fraction_C2H3_Soln#2 (),Mole_fraction_C2H2_Soln#2 (),Mole_fraction_C6H6_Soln#2 (),Mole_fraction_C7H8_Soln#2 (),Mole_fraction_C7H7_Soln#2 (),Mole_fraction_STILB_Soln#2 (),Mole_fraction_C6H5C2H_Soln#2 (),Mole_fraction_C6H5C2H3_Soln#2 (),Mole_fraction_C6H5C2H5_Soln#2 (),Mole_fraction_C6H5CHCH3_Soln#2 (),Mole_fraction_C6H5CH2C6H5_Soln#2 (),Mole_fraction_C14H10_Soln#2 (),Mole_fraction_C16H10_Soln#2 (),Mole_fraction_C6H5C2H4C6H5_Soln#2 (),Mole_fraction_C6H5C2H4_Soln#2 (),Molecular_weight_Soln#2 (g/mole),Mass_density_Soln#2 (g/cm3),Unburned_hydrocarbons_Soln#2 (ppm),Volatile_organic_compounds_Soln#2 (ppm)
0.0,15.7,-916319.4,1050.0,1050.0,0.001932916,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.231157E-4,668660.8,668660.8
7.119975E-6,15.69982,-668874.3,1049.999,1049.999,0.001932916,1.0,0.9128525,6.151187E-8,1.120261E-7,2.561985E-10,1.182892E-8,2.50387E-9,7.222338E-10,1.854139E-8,0.02851744,1.772271E-7,3.703165E-10,9.926769E-10,0.04210624,0.01652335,4.086129E-8,3.018165E-11,6.955772E-11,2.220702E-11,9.088352E-12,1.050369E-9,10.60769,1.231158E-4,668660.7,668660.7
1.0E-5,15.69982,-608925.9,1049.999,1049.999,0.001932916,1.0,0.9128525,1.097965E-7,1.357339E-7,6.119318E-10,2.32187E-8,3.682782E-9,1.311902E-9,3.51989E-8,0.02851742,2.520227E-7,7.35969E-10,2.121688E-9,0.04210619,0.01652328,7.568077E-8,5.935892E-11,1.372024E-10,4.72845E-11,1.844201E-11,1.857264E-9,10.60768,1.231158E-4,668660.7,668660.7
2.0E-5,15.69981,-504952.3,1049.998,1049.998,0.001932916,1.0,0.9128521,3.244574E-7,1.754627E-7,2.946669E-9,8.173327E-8,6.221151E-9,4.26247E-9,1.160866E-7,0.02851738,5.175996E-7,2.609098E-9,8.117269E-9,0.04210597,0.01652301,2.371882E-7,2.051181E-10,4.911723E-10,1.801365E-10,8.006846E-11,4.974195E-9,10.60768,1.231159E-4,668660.6,668660.6
3.0E-5,15.6998,-471376.2,1049.997,1049.997,0.001932916,1.0,0.9128518,5.703877E-7,1.877562E-7,6.386045E-9,1.572588E-7,7.377573E-9,7.967712E-9,2.171168E-7,0.02851732,7.856758E-7,5.042847E-9,1.581041E-8,0.04210571,0.01652274,4.276213E-7,3.90701E-10,9.752794E-10,3.504539E-10,1.948612E-10,7.705264E-9,10.60768,1.23116E-4,668660.6,668660.6
4.0E-5,15.69979,-458814.7,1049.996,1049.996,0.001932916,1.0,0.9128515,8.264552E-7,1.921293E-7,1.039308E-8,2.42338E-7,8.077864E-9,1.205504E-8,3.296923E-7,0.02851727,1.052743E-6,7.805536E-9,2.435816E-8,0.04210543,0.01652247,6.286985E-7,5.995413E-10,1.558409E-9,5.396676E-10,3.737979E-10,9.830574E-9,10.60768,1.23116E-4,668660.5,668660.5
5.0E-5,15.69978,-452565.9,1049.996,1049.996,0.001932916,1.0,0.9128511,1.086557E-6,1.941931E-7,1.474294E-8,3.344283E-7,8.638315E-9,1.640936E-8,4.510302E-7,0.02851722,1.317755E-6,1.081102E-8,3.350386E-8,0.04210514,0.01652219,8.347761E-7,8.259157E-10,2.22972E-9,7.421249E-10,6.278837E-10,1.147217E-8,10.60768,1.231161E-4,668660.5,668660.5
6.0E-5,15.69977,-448226.0,1049.995,1049.995,0.001932916,1.0,0.9128508,1.348892E-6,1.955956E-7,1.935631E-8,4.326249E-7,9.156396E-9,2.099527E-8,5.801669E-7,0.02851716,1.580406E-6,1.40255E-8,4.316861E-8,0.04210484,0.01652192,1.044019E-6,1.067637E-9,2.98488E-9,9.560899E-10,9.678756E-10,1.278182E-8,10.60768,1.231162E-4,668660.4,668660.4
7.0E-5,15.69976,-444526.4,1049.994,1049.994,0.001932916,1.0,0.9128504,1.61295E-6,1.968018E-7,2.420708E-8,5.365851E-7,9.661936E-9,2.580214E-8,7.167485E-7,0.02851711,1.840619E-6,1.743476E-8,5.332875E-8,0.04210453,0.01652164,1.25579E-6,1.323783E-9,3.821825E-9,1.181044E-9,1.404226E-9,1.387718E-8,10.60768,1.231163E-4,668660.4,668660.4
8.0E-5,15.69975,-441078.0,1049.993,1049.993,0.001932916,1.0,0.91285,1.87858E-6,1.979483E-7,2.928737E-8,6.461655E-7,1.016369E-8,3.082689E-8,8.606302E-7,0.02851706,2.098388E-6,2.103226E-8,6.397727E-8,0.04210422,0.01652136,1.469815E-6,1.593914E-9,4.739328E-9,1.416835E-9,1.947073E-9,1.483784E-8,10.60768,1.231163E-4,668660.3,668660.3
