Time_Soln#3 (sec),Volume_Soln#3 (cm3),Volumetric_heat_production_rate_Soln#3 (erg/cm3-sec),Surface_temperature_Soln#3 (K),Temperature_Soln#3 (K),Mass_Soln#3 (g),Pressure_Soln#3 (atm),Mole_fraction_H2_Soln#3 (),Mole_fraction_CH4_Soln#3 (),Mole_fraction_CH3_Soln#3 (),Mole_fraction_C2H6_Soln#3 (),Mole_fraction_C2H4_Soln#3 (),Mole_fraction_C2H2_Soln#3 (),Mole_fraction_C6H6_Soln#3 (),Mole_fraction_C7H8_Soln#3 (),Mole_fraction_C7H7_Soln#3 (),Mole_fraction_STILB_Soln#3 (),Mole_fraction_C6H5C2H_Soln#3 (),Mole_fraction_C6H5C2H3_Soln#3 (),Mole_fraction_C6H5C2H5_Soln#3 (),Mole_fraction_C6H5CHCH3_Soln#3 (),Mole_fraction_FLUORENE_Soln#3 (),Mole_fraction_C6H5CH2C6H5_Soln#3 (),Mole_fraction_C14H10_Soln#3 (),Mole_fraction_C16H10_Soln#3 (),Mole_fraction_C6H5C2H4C6H5_Soln#3 (),Mole_fraction_NPBENZ_Soln#3 (),Molecular_weight_Soln#3 (g/mole),Mass_density_Soln#3 (g/cm3),Unburned_hydrocarbons_Soln#3 (ppm),Volatile_organic_compounds_Soln#3 (ppm)
0.0,15.7,-4222013.0,1100.0,1100.0,0.001845056,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.175195E-4,668660.8,668660.8
2.201928E-6,15.69971,-3720395.0,1099.999,1099.999,0.001845056,1.0,0.9128525,4.19339E-8,2.076814E-7,6.871686E-11,6.182142E-9,6.536533E-10,9.845407E-9,0.02851744,2.525508E-7,1.452613E-10,5.384499E-10,0.04210628,0.01652326,2.411349E-8,7.653478E-12,1.320951E-11,3.355593E-11,6.267917E-12,5.704723E-12,1.198281E-14,10.60768,1.175196E-4,668660.6,668660.6
1.0E-5,15.69966,-2679199.0,1099.994,1099.994,0.001845056,1.0,0.9128514,6.059977E-7,5.577997E-7,3.780784E-9,1.427516E-7,9.364677E-9,2.06575E-7,0.02851731,1.202843E-6,4.139457E-9,1.701516E-8,0.04210577,0.01652225,4.269029E-7,2.06867E-10,3.570386E-10,8.385655E-10,1.936956E-10,1.501624E-10,2.970187E-12,10.60768,1.1752E-4,668660.2,668660.2
2.0E-5,15.69961,-2327259.0,1099.99,1099.99,0.001845056,1.0,0.9128499,1.697683E-6,6.756584E-7,1.563694E-8,4.859097E-7,3.022787E-8,6.666233E-7,0.02851706,2.470952E-6,1.425768E-8,5.732433E-8,0.04210467,0.0165209,1.250929E-6,6.955258E-10,1.200173E-9,2.934818E-9,6.510522E-10,7.484827E-10,2.394978E-11,10.60767,1.175204E-4,668659.9,668659.9
3.0E-5,15.69956,-2253825.0,1099.986,1099.986,0.001845056,1.0,0.9128482,2.898618E-6,7.065218E-7,3.155552E-8,9.292983E-7,5.642965E-8,1.249571E-6,0.02851677,3.746605E-6,2.739844E-8,1.078925E-7,0.04210341,0.01651953,2.165249E-6,1.324381E-9,2.284563E-9,5.847948E-9,1.224803E-9,2.02848E-9,7.08252E-11,10.60767,1.175207E-4,668659.5,668659.5
4.0E-5,15.69951,-2237142.0,1099.983,1099.983,0.001845056,1.0,0.9128465,4.134026E-6,7.199549E-7,4.992296E-8,1.444165E-6,8.632051E-8,1.923377E-6,0.02851648,5.01674E-6,4.270391E-8,1.656679E-7,0.04210206,0.01651814,3.10152E-6,2.055396E-9,3.544195E-9,9.460578E-9,1.880567E-9,4.226762E-9,1.470025E-10,10.60766,1.175211E-4,668659.2,668659.2
5.0E-5,15.69947,-2231438.0,1099.979,1099.979,0.001845056,1.0,0.9128446,5.388839E-6,7.298906E-7,7.035459E-8,2.023348E-6,1.195429E-7,2.680262E-6,0.02851617,6.278217E-6,5.994488E-8,2.299942E-7,0.04210064,0.01651673,4.044601E-6,2.878527E-9,4.961393E-9,1.374036E-8,2.611003E-9,7.574861E-9,2.563299E-10,10.60766,1.175214E-4,668658.8,668658.8
6.0E-5,15.69942,-2227361.0,1099.975,1099.975,0.001845056,1.0,0.9128427,6.660022E-6,7.390921E-7,9.276396E-8,2.66497E-6,1.560173E-7,3.518202E-6,0.02851585,7.530011E-6,7.90568E-8,3.007242E-7,0.04209916,0.0165153,4.990767E-6,3.790975E-9,6.530959E-9,1.867619E-8,3.414524E-9,1.229804E-8,4.030872E-10,10.60765,1.175217E-4,668658.5,668658.5
7.0E-5,15.69938,-2222938.0,1099.971,1099.971,0.001845056,1.0,0.9128407,7.946922E-6,7.481222E-7,1.171291E-7,3.368449E-6,1.957221E-7,4.436562E-6,0.02851552,8.771561E-6,1.00019E-7,3.778166E-7,0.04209762,0.01651385,5.938756E-6,4.791868E-9,8.250986E-9,2.426234E-8,4.290738E-9,1.861496E-8,5.916603E-10,10.60764,1.175221E-4,668658.1,668658.1
8.0E-5,15.69933,-2217756.0,1099.968,1099.968,0.001845056,1.0,0.9128387,9.249369E-6,7.570954E-7,1.434413E-7,4.133529E-6,2.386479E-7,5.435045E-6,0.02851518,1.000242E-5,1.228226E-7,4.612518E-7,0.04209602,0.01651239,6.887873E-6,5.880856E-9,1.012042E-8,3.049443E-8,5.239498E-9,2.673747E-8,8.264022E-10,10.60764,1.175224E-4,668657.7,668657.7
