Time_Soln#4 (sec),Volume_Soln#4 (cm3),Volumetric_heat_production_rate_Soln#4 (erg/cm3-sec),Surface_temperature_Soln#4 (K),Temperature_Soln#4 (K),Mass_Soln#4 (g),Pressure_Soln#4 (atm),Mole_fraction_H2_Soln#4 (),Mole_fraction_CH4_Soln#4 (),Mole_fraction_CH3_Soln#4 (),Mole_fraction_C2H6_Soln#4 (),Mole_fraction_C2H4_Soln#4 (),Mole_fraction_C2H2_Soln#4 (),Mole_fraction_C4H6_Soln#4 (),Mole_fraction_C6H6_Soln#4 (),Mole_fraction_C7H8_Soln#4 (),Mole_fraction_C7H7_Soln#4 (),Mole_fraction_STILB_Soln#4 (),Mole_fraction_C6H5C2H_Soln#4 (),Mole_fraction_C6H5C2H3_Soln#4 (),Mole_fraction_C6H5C2H5_Soln#4 (),Mole_fraction_C6H5CHCH3_Soln#4 (),Mole_fraction_FLUORENE_Soln#4 (),Mole_fraction_C6H5CH2C6H5_Soln#4 (),Mole_fraction_C14H10_Soln#4 (),Mole_fraction_C6H5C2H4C6H5_Soln#4 (),Mole_fraction_NPBENZ_Soln#4 (),Molecular_weight_Soln#4 (g/mole),Mass_density_Soln#4 (g/cm3),Unburned_hydrocarbons_Soln#4 (ppm),Volatile_organic_compounds_Soln#4 (ppm)
0.0,15.7,-1.634398E7,1150.0,1150.0,0.001764836,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.1241E-4,668660.8,668660.8
7.042735E-7,15.69998,-1.563728E7,1149.998,1149.998,0.001764836,1.0,0.9128524,2.332826E-8,2.953882E-7,1.432923E-11,2.509075E-9,6.329387E-10,2.953668E-14,3.892669E-9,0.02851744,3.211464E-7,3.213754E-11,2.001503E-10,0.0421063,0.01652318,1.058776E-8,1.871438E-12,3.23018E-12,1.140739E-11,3.022774E-12,2.139549E-15,10.60768,1.124101E-4,668660.6,668660.6
6.266402E-6,15.69984,-1.124342E7,1149.985,1149.985,0.001764836,1.0,0.9128496,1.316545E-6,1.59243E-6,6.617706E-9,3.040768E-7,2.402392E-8,3.084703E-12,4.395889E-7,0.02851712,3.006386E-6,7.955653E-9,4.28515E-8,0.04210523,0.01652027,8.973193E-7,4.295371E-10,7.418116E-10,1.763063E-9,3.798878E-10,8.958083E-12,10.60766,1.124111E-4,668659.2,668659.2
1.0E-5,15.69976,-1.011609E7,1149.978,1149.978,0.001764836,1.0,0.9128473,2.77112E-6,1.929475E-6,1.862537E-8,7.497512E-7,5.720828E-8,8.094894E-12,1.046468E-6,0.02851676,4.900359E-6,1.999058E-8,1.035794E-7,0.04210385,0.01651823,1.951637E-6,1.061554E-9,1.833576E-9,4.373494E-9,1.172583E-9,3.994004E-11,10.60765,1.124117E-4,668658.5,668658.5
2.0E-5,15.69957,-9394666.0,1149.962,1149.962,0.001764836,1.0,0.9128406,7.400465E-6,2.227063E-6,6.935009E-8,2.552715E-6,1.885436E-7,3.584529E-11,3.431188E-6,0.02851553,1.01046E-5,6.880099E-8,3.385051E-7,0.04209912,0.0165126,5.282466E-6,3.598365E-9,6.214902E-9,1.544105E-8,6.986062E-9,2.925375E-10,10.60762,1.12413E-4,668656.8,668656.8
3.0E-5,15.69939,-9439449.0,1149.945,1149.945,0.001764836,1.0,0.9128331,1.238171E-5,2.31756E-6,1.373611E-7,5.005227E-6,3.639726E-7,9.202402E-11,6.645548E-6,0.02851406,1.537218E-5,1.353356E-7,6.497134E-7,0.0420937,0.01650678,8.709983E-6,7.046333E-9,1.216385E-8,3.149664E-8,2.105959E-8,8.649306E-10,10.60759,1.124143E-4,668655.0,668655.0
4.0E-5,15.69921,-9542193.0,1149.929,1149.929,0.001764836,1.0,0.9128249,1.752072E-5,2.379989E-6,2.193692E-7,8.02168E-6,5.774881E-7,1.897315E-10,1.059062E-5,0.02851239,2.064851E-5,2.172432E-7,1.027517E-6,0.04208783,0.01650078,1.205875E-5,1.128934E-8,1.947159E-8,5.220129E-8,4.70301E-8,1.845317E-9,10.60756,1.124156E-4,668653.0,668653.0
5.0E-5,15.69903,-9613847.0,1149.912,1149.912,0.001764836,1.0,0.9128161,2.278884E-5,2.437001E-6,3.145372E-7,1.157443E-5,8.272521E-7,3.450053E-10,1.523246E-5,0.02851056,2.590612E-5,3.137646E-7,1.468776E-6,0.04208154,0.01649462,1.530674E-5,1.628946E-8,2.806216E-8,7.743863E-8,8.844956E-8,3.321748E-9,10.60753,1.124169E-4,668650.8,668650.8
6.0E-5,15.69886,-9645492.0,1149.895,1149.895,0.001764836,1.0,0.9128067,2.817831E-5,2.49153E-6,4.223582E-7,1.564393E-5,1.111973E-6,5.760437E-10,2.054614E-5,0.02850859,3.112257E-5,4.243766E-7,1.971203E-6,0.04207486,0.0164883,1.845156E-5,2.202011E-8,3.787687E-8,1.071155E-7,1.487238E-7,5.377195E-9,10.60749,1.124181E-4,668648.4,668648.4
7.0E-5,15.69869,-9639174.0,1149.878,1149.878,0.001764836,1.0,0.9127966,3.368421E-5,2.54389E-6,5.423742E-7,2.021183E-5,1.43043E-6,9.027813E-10,2.650801E-5,0.02850649,3.627777E-5,5.485955E-7,2.532628E-6,0.0420678,0.01648184,2.149327E-5,2.845633E-8,4.885783E-8,1.411342E-7,2.310589E-7,8.08749E-9,10.60745,1.124193E-4,668645.8,668645.8
