Time_Soln#5 (sec),Volume_Soln#5 (cm3),Volumetric_heat_production_rate_Soln#5 (erg/cm3-sec),Surface_temperature_Soln#5 (K),Temperature_Soln#5 (K),Mass_Soln#5 (g),Pressure_Soln#5 (atm),Mole_fraction_H2_Soln#5 (),Mole_fraction_CH4_Soln#5 (),Mole_fraction_CH3_Soln#5 (),Mole_fraction_C2H6_Soln#5 (),Mole_fraction_C2H4_Soln#5 (),Mole_fraction_C2H2_Soln#5 (),Mole_fraction_C3H6_Soln#5 (),Mole_fraction_C4H6_Soln#5 (),Mole_fraction_C6H6_Soln#5 (),Mole_fraction_C7H8_Soln#5 (),Mole_fraction_C7H7_Soln#5 (),Mole_fraction_STILB_Soln#5 (),Mole_fraction_C6H5C2H_Soln#5 (),Mole_fraction_C6H5C2H3_Soln#5 (),Mole_fraction_C6H5C2H5_Soln#5 (),Mole_fraction_C6H5CHCH3_Soln#5 (),Mole_fraction_FLUORENE_Soln#5 (),Mole_fraction_C14H10_Soln#5 (),Mole_fraction_C6H5C2H4C6H5_Soln#5 (),Mole_fraction_NPBENZ_Soln#5 (),Molecular_weight_Soln#5 (g/mole),Mass_density_Soln#5 (g/cm3),Unburned_hydrocarbons_Soln#5 (ppm),Volatile_organic_compounds_Soln#5 (ppm)
0.0,15.7,-5.487972E7,1200.0,1200.0,0.001691301,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,1.077262E-4,668660.8,668660.8
3.792659E-7,15.69996,-5.346816E7,1199.996,1199.996,0.001691301,1.0,0.9128522,2.987698E-8,5.686613E-7,1.277401E-11,2.745968E-9,1.133042E-9,1.959165E-14,7.055257E-14,4.352985E-9,0.02851742,6.035822E-7,2.295907E-11,2.499801E-10,0.04210631,0.01652286,1.185613E-8,1.453392E-12,1.201796E-11,4.098469E-12,2.307497E-15,10.60768,1.077265E-4,668660.4,668660.4
3.551289E-6,15.69968,-4.168719E7,1199.969,1199.969,0.001691301,1.0,0.9128467,2.03824E-6,3.67019E-6,7.98761E-9,4.406229E-7,4.144891E-8,9.961584E-11,9.516701E-12,6.366509E-7,0.02851688,5.884663E-6,1.011847E-8,7.232779E-8,0.04210481,0.01651709,1.310527E-6,5.895243E-10,2.501591E-9,6.274839E-10,1.430837E-11,10.60763,1.077284E-4,668657.4,668657.4
1.0E-5,15.69923,-3.468968E7,1199.926,1199.926,0.001691301,1.0,0.9128327,1.077552E-5,5.774709E-6,8.001282E-8,3.530586E-6,3.133974E-7,1.878153E-9,9.013027E-11,4.819559E-6,0.02851444,1.747405E-5,8.656935E-8,5.428826E-7,0.0420965,0.01650462,7.246764E-6,4.890774E-9,2.032735E-8,8.902509E-9,4.039282E-10,10.60756,1.077315E-4,668652.7,668652.7
2.0E-5,15.6986,-3.468145E7,1199.864,1199.864,0.001691301,1.0,0.912806,2.770846E-5,6.501996E-6,2.860209E-7,1.247568E-5,1.094721E-6,8.782551E-9,5.017974E-10,1.664095E-5,0.02850858,3.640525E-5,3.088421E-7,1.836819E-6,0.04207864,0.01648395,1.762119E-5,1.730319E-8,7.430113E-8,6.201178E-8,2.946736E-9,10.60743,1.077358E-4,668644.9,668644.9
3.0E-5,15.69799,-3.536316E7,1199.801,1199.801,0.001691301,1.0,0.9127747,4.587147E-5,6.823484E-6,5.709489E-7,2.534799E-5,2.212448E-6,1.986084E-8,1.546124E-9,3.356751E-5,0.02850113,5.566404E-5,6.29228E-7,3.661342E-6,0.042058,0.01646205,2.698952E-5,3.517065E-8,1.55923E-7,2.009387E-7,9.017773E-9,10.60728,1.0774E-4,668635.4,668635.4
4.0E-5,15.69741,-3.530234E7,1199.737,1199.737,0.001691301,1.0,0.9127395,6.479515E-5,7.075561E-6,9.210355E-7,4.154691E-5,3.615176E-6,3.481296E-8,3.606155E-9,5.483423E-5,0.02849267,7.471473E-5,1.03302E-6,5.935454E-6,0.04203533,0.01643913,3.516212E-5,5.767381E-8,2.627526E-7,4.653447E-7,1.968346E-8,10.60711,1.077439E-4,668624.4,668624.4
5.0E-5,15.69687,-3.457342E7,1199.674,1199.674,0.001691301,1.0,0.912701,8.43412E-5,7.286834E-6,1.326909E-6,6.060149E-5,5.263055E-6,5.34308E-8,7.083879E-9,7.98321E-5,0.02848366,9.316309E-5,1.508995E-6,8.595519E-6,0.04201097,0.01641535,4.223626E-5,8.416908E-8,3.926114E-7,8.89247E-7,3.56956E-8,10.60692,1.077477E-4,668612.3,668612.3
6.0E-5,15.69638,-3.334621E7,1199.613,1199.613,0.001691301,1.0,0.9126597,1.044075E-4,7.463681E-6,1.78047E-6,8.20959E-5,7.120808E-6,7.546678E-8,1.236688E-8,1.080225E-4,0.02847445,1.10718E-4,2.047557E-6,1.158535E-5,0.04198523,0.01639086,4.832332E-5,1.140882E-7,5.433401E-7,1.498713E-6,5.749412E-8,10.60671,1.077511E-4,668599.3,668599.3
7.0E-5,15.69593,-3.177726E7,1199.554,1199.554,0.001691301,1.0,0.9126162,1.24906E-4,7.610667E-6,2.274607E-6,1.056621E-4,9.157111E-6,1.006384E-7,1.980839E-8,1.389283E-4,0.02846528,1.271799E-4,2.640513E-6,1.485522E-5,0.04195835,0.01636578,5.353066E-5,1.46928E-7,7.128264E-7,2.310839E-6,8.524597E-8,10.60649,1.077542E-4,668585.7,668585.7
