Time_Soln#6 (sec),Volume_Soln#6 (cm3),Volumetric_heat_production_rate_Soln#6 (erg/cm3-sec),Surface_temperature_Soln#6 (K),Temperature_Soln#6 (K),Mass_Soln#6 (g),Pressure_Soln#6 (atm),Mole_fraction_H2_Soln#6 (),Mole_fraction_CH4_Soln#6 (),Mole_fraction_CH3_Soln#6 (),Mole_fraction_C2H6_Soln#6 (),Mole_fraction_C2H4_Soln#6 (),Mole_fraction_C2H2_Soln#6 (),Mole_fraction_C3H6_Soln#6 (),Mole_fraction_C4H6_Soln#6 (),Mole_fraction_C6H6_Soln#6 (),Mole_fraction_C7H8_Soln#6 (),Mole_fraction_C7H7_Soln#6 (),Mole_fraction_STILB_Soln#6 (),Mole_fraction_C6H5C2H_Soln#6 (),Mole_fraction_C6H5C2H3_Soln#6 (),Mole_fraction_C6H5C2H5_Soln#6 (),Mole_fraction_C6H5CHCH3_Soln#6 (),Mole_fraction_BIPHENYL_Soln#6 (),Mole_fraction_C14H10_Soln#6 (),Mole_fraction_C6H5C2H4C6H5_Soln#6 (),Mole_fraction_NPBENZ_Soln#6 (),Molecular_weight_Soln#6 (g/mole),Mass_density_Soln#6 (g/cm3),Unburned_hydrocarbons_Soln#6 (ppm),Volatile_organic_compounds_Soln#6 (ppm)
0.0,15.7,-1.632822E8,1250.0,1250.0,0.001623649,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,1.034172E-4,668660.8,668660.8
2.011795E-7,15.69994,-1.609032E8,1249.994,1249.994,0.001623649,1.0,0.9128518,3.229077E-8,9.481877E-7,1.019907E-11,2.558687E-9,1.825603E-9,1.518581E-14,1.34036E-13,4.567025E-9,0.02851741,9.90743E-7,1.399963E-11,2.51631E-10,0.04210634,0.01652243,1.146419E-8,2.971796E-17,1.134923E-11,4.66891E-12,1.836904E-15,10.60768,1.034175E-4,668660.1,668660.1
1.915026E-6,15.69948,-1.359756E8,1249.947,1249.947,0.001623649,1.0,0.9128431,2.459679E-6,6.980961E-6,7.515583E-9,4.784816E-7,5.378591E-8,1.112286E-10,2.121349E-11,6.800502E-7,0.02851665,9.698634E-6,9.145117E-9,9.025526E-8,0.0421048,0.01651289,1.454944E-6,5.788563E-13,2.609073E-9,7.598057E-10,1.445081E-11,10.60759,1.034206E-4,668654.7,668654.7
1.0E-5,15.69778,-1.106825E8,1249.772,1249.772,0.001623649,1.0,0.9127851,3.645241E-5,1.532853E-5,3.214672E-7,1.53804E-5,1.590469E-6,1.587577E-8,9.458849E-10,2.079426E-5,0.02850509,5.571042E-5,3.471765E-7,2.610439E-6,0.04207243,0.01646342,2.143365E-5,1.686387E-10,8.65615E-8,6.298991E-8,3.379342E-9,10.60725,1.034318E-4,668633.2,668633.2
2.0E-5,15.69598,-1.111094E8,1249.564,1249.564,0.001623649,1.0,0.9126877,9.11596E-5,1.70769E-5,1.113942E-6,5.558472E-5,5.797434E-6,7.45482E-8,6.682997E-9,7.417741E-5,0.02848034,1.164834E-4,1.267762E-6,9.097794E-6,0.04201348,0.01639517,4.405701E-5,1.423102E-9,3.238075E-7,4.81725E-7,2.483548E-8,10.60671,1.034437E-4,668599.1,668599.1
3.0E-5,15.69442,-1.04083E8,1249.363,1249.363,0.001623649,1.0,0.9125728,1.496164E-4,1.784904E-5,2.163691E-6,1.113555E-4,1.16639E-5,1.670516E-7,2.229973E-8,1.480261E-4,0.02845228,1.74548E-4,2.552421E-6,1.797217E-5,0.04194689,0.01632227,5.898424E-5,4.701854E-9,6.73283E-7,1.570868E-6,7.361108E-8,10.60605,1.034539E-4,668557.8,668557.8
4.0E-5,15.69316,-9.262688E7,1249.18,1249.18,0.001623649,1.0,0.9124479,2.099135E-4,1.824972E-5,3.367684E-6,1.766108E-4,1.854843E-5,2.842375E-7,5.170578E-8,2.344039E-4,0.02842584,2.261271E-4,4.071262E-6,2.829875E-5,0.04187665,0.01624691,6.820967E-5,1.058822E-8,1.106025E-6,3.51983E-6,1.510235E-7,10.60535,1.034622E-4,668513.4,668513.4
5.0E-5,15.6922,-8.016861E7,1249.019,1249.019,0.001623649,1.0,0.9123176,2.71078E-4,1.842719E-5,4.660394E-6,2.473501E-4,2.602574E-5,4.182402E-7,9.701276E-8,3.280798E-4,0.02840327,2.699316E-4,5.744774E-6,3.946431E-5,0.04180477,0.01617046,7.364304E-5,1.934531E-8,1.599666E-6,6.370536E-6,2.537848E-7,10.60463,1.034686E-4,668468.4,668468.4
6.0E-5,15.6915,-6.851398E7,1248.881,1248.881,0.001623649,1.0,0.9121849,3.325316E-4,1.847368E-5,6.001189E-6,3.210693E-4,3.382814E-5,5.630141E-7,1.589816E-7,4.25775E-4,0.02838524,3.061061E-4,7.52759E-6,5.10856E-5,0.04173231,0.01609373,7.668654E-5,3.103538E-8,2.13761E-6,1.005235E-5,3.769334E-7,10.60393,1.034732E-4,668424.1,668424.1
7.0E-5,15.69103,-5.839081E7,1248.763,1248.763,0.001623649,1.0,0.9120513,3.939473E-4,1.844771E-5,7.36602E-6,3.962687E-4,4.179471E-5,7.143107E-7,2.376059E-7,5.255224E-4,0.02837162,3.354756E-4,9.39553E-6,6.293339E-5,0.04165981,0.01601717,7.82837E-5,4.5622E-8,2.707852E-6,1.443079E-5,5.155277E-7,10.60325,1.034763E-4,668381.1,668381.1
