Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_CO_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_RALD3_PFRC2 (),Mass_fraction_C2H3CHO_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C4H2_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C10H8_PFRC2 (),Mass_fraction_C4H8O_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C7H7_PFRC2 (),Mass_fraction_STILB_PFRC2 (),Mass_fraction_C6H5C2H_PFRC2 (),Mass_fraction_C6H5C2H3_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_INDENE_PFRC2 (),Mass_fraction_BIPHENYL_PFRC2 (),Mass_fraction_FLUORENE_PFRC2 (),Mass_fraction_C14H10_PFRC2 (),Mass_fraction_C16H10_PFRC2 (),Mass_fraction_C6H5C2H4C6H5_PFRC2 (),Mass_fraction_C18H10_PFRC2 (),Mass_fraction_BIN1B_PFRC2 (),Mass_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,991.7485,0.2770664,-5.34547E9,1453.685,0.0,1453.685,1.0,0.1734833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2477118,0.0,0.0,0.0,0.4134262,0.1653787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,8.892675E-5,668660.8,668660.8
6.119847E-4,6.171773E-7,6.283185,3.141593,6.283185,991.4222,0.2770664,-4.922208E9,1453.017,2.029392E8,1453.017,0.9999921,0.1734825,1.167111E-23,3.138312E-5,1.285537E-4,2.605219E-7,1.192741E-5,1.858629E-6,-1.012343E-25,4.721352E-23,1.055473E-8,5.145301E-9,2.524812E-9,4.15548E-5,5.23533E-12,4.68661E-34,0.2476405,0.001005126,8.260736E-7,1.263452E-5,0.4134078,0.1641285,3.885545E-11,4.990946E-10,5.853884E-8,3.474823E-7,1.829415E-8,1.946831E-7,8.376725E-17,6.230099E-14,9.756779E-9,10.60639,8.895601E-5,668579.0,668579.0
0.00388079,3.916633E-6,6.283185,3.141593,6.283185,990.1466,0.2770664,-3.272784E9,1450.121,2.024293E8,1450.121,0.9999922,0.1734314,-1.27078E-21,7.067935E-4,3.520613E-4,1.928209E-5,7.161734E-4,1.14241E-4,-9.540192E-23,2.019321E-22,8.486604E-7,2.534066E-7,2.386507E-7,0.002745024,2.265059E-8,-8.37026E-30,0.2461052,0.006712335,7.463482E-5,6.926323E-4,0.4104137,0.1567785,5.516467E-8,6.780098E-7,5.07714E-6,2.418762E-5,1.084806E-6,3.402474E-5,2.015796E-11,5.89897E-10,5.567455E-7,10.59888,8.907062E-5,668105.8,668105.8
0.01586641,1.602914E-5,6.283185,3.141593,6.283185,989.3693,0.2770664,-6.3186E8,1446.163,2.017328E8,1446.163,0.9999923,0.1731205,6.777811E-18,0.003717731,3.145306E-4,1.186012E-4,0.004425683,7.70807E-4,-5.835849E-17,4.25094E-17,1.525955E-5,3.080825E-6,1.588035E-6,0.01745173,1.18105E-6,-6.498517E-27,0.2469415,0.01652434,5.718465E-4,0.00418634,0.3972718,0.132445,2.45185E-6,1.351697E-5,3.270068E-5,1.950932E-4,1.297624E-5,7.394176E-4,8.136625E-9,5.175563E-8,6.768198E-6,10.57826,8.91406E-5,666805.9,666805.9
0.06061272,6.12088E-5,6.283185,3.141593,6.283185,991.6214,0.2770664,9.465748E7,1444.82,2.014964E8,1444.82,0.9999921,0.172067,6.268203E-12,0.01145746,1.93459E-4,2.95271E-4,0.01297084,0.002387869,-5.071637E-11,3.667666E-11,1.06486E-4,1.920051E-5,5.98895E-6,0.05310569,2.199444E-5,-1.236421E-18,0.2701345,0.01824476,0.002570175,0.01242929,0.3638423,0.07587923,2.775307E-5,1.015499E-4,9.353657E-5,8.306965E-4,1.470668E-4,0.001809323,3.157023E-7,1.31912E-6,8.635581E-5,10.54444,8.893815E-5,664673.8,664673.8
0.1655176,1.667814E-4,6.283185,3.141593,6.283185,995.1157,0.2770664,6.817641E7,1445.525,2.016204E8,1445.525,0.9999918,0.170661,1.060283E-7,0.02026744,7.810143E-5,3.816484E-4,0.02339898,0.004644715,-7.833657E-7,5.531176E-7,3.020083E-4,5.873881E-5,2.077447E-5,0.1004478,1.497776E-4,-1.455041E-13,0.2971977,0.01226046,0.0049387,0.02284169,0.3139713,0.02249016,1.00762E-4,3.487872E-4,1.619998E-4,0.001959787,5.953048E-4,9.265314E-4,4.463283E-6,1.218218E-5,4.359705E-4,10.51254,8.862585E-5,662663.1,662663.4
0.2,2.014239E-4,6.283185,3.141593,6.283185,995.6077,0.2770664,4.782338E7,1445.476,2.016119E8,1445.476,0.9999918,0.1703915,5.709606E-7,0.02176805,6.033179E-5,3.839399E-4,0.02551685,0.005153334,-4.027683E-6,2.795567E-6,3.483235E-4,7.02673E-5,2.696237E-5,0.1106614,2.044971E-4,-1.068479E-12,0.3002427,0.01078113,0.005278128,0.02496989,0.3024422,0.01530998,1.208742E-4,4.223384E-4,1.768507E-4,0.002237931,7.299486E-4,7.273585E-4,6.952497E-6,1.742777E-5,5.622264E-4,10.50699,8.858205E-5,662313.8,662315.4
0.3742494,3.763758E-4,6.283185,3.141593,6.283185,995.9435,0.2770664,-1.036875E7,1443.62,2.012852E8,1443.62,0.9999917,0.1696145,4.076366E-6,0.02564065,2.46395E-5,3.704114E-4,0.03240575,0.006961882,-1.177313E-5,3.367158E-6,4.98483E-4,1.177111E-4,6.262273E-5,0.1454865,5.059324E-4,-5.003772E-9,0.3006856,0.00672609,0.006019564,0.03176953,0.2617998,0.002535791,1.954638E-4,7.30442E-4,2.356971E-4,0.003269101,0.001266037,2.947453E-4,2.457299E-5,4.829931E-5,0.001150354,10.48996,8.855218E-5,661243.0,661245.0
0.3846598,3.868288E-4,6.283185,3.141593,6.283185,995.9013,0.2770664,-1.570136E7,1443.458,2.012567E8,1443.458,0.9999917,0.1695841,3.079797E-6,0.02577854,2.40637E-5,3.694362E-4,0.03270471,0.007046486,-3.813221E-6,-2.488626E-6,5.046788E-4,1.201477E-4,6.484328E-5,0.1470626,5.244572E-4,-5.866116E-7,0.300364,0.006605402,0.006041166,0.03205803,0.2599357,0.002302754,1.990935E-4,7.465889E-4,2.387825E-4,0.003318827,0.001292448,2.847153E-4,2.583823E-5,5.026637E-5,0.001182555,10.48923,8.855594E-5,661196.6,661196.6
0.3856511,3.878241E-4,6.283185,3.141593,6.283185,995.8965,0.2770664,-2.840385E7,1443.441,2.012536E8,1443.441,0.9999917,0.1695813,3.081286E-6,0.02579155,2.408758E-5,3.693615E-4,0.03273402,0.007054476,-3.798615E-6,-2.495268E-6,5.052641E-4,1.203794E-4,6.505478E-5,0.1472114,5.26225E-4,-6.533956E-6,0.3003323,0.006594438,0.006043171,0.0320851,0.2597604,0.00228193,1.994391E-4,7.481246E-4,2.390746E-4,0.003323526,0.001294942,2.838115E-4,2.605068E-5,5.045197E-5,0.001185608,10.48915,8.855636E-5,661194.4,661195.2
