Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_C3H3_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C4H2_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C7H7_PFRC2 (),Mole_fraction_BENZYNE_PFRC2 (),Mole_fraction_STILB_PFRC2 (),Mole_fraction_C7H6_PFRC2 (),Mole_fraction_C6H5C2H_PFRC2 (),Mole_fraction_C6H5C2H3_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_INDENYL_PFRC2 (),Mole_fraction_C12H8_PFRC2 (),Mole_fraction_BIPHENYL_PFRC2 (),Mole_fraction_C14H10_PFRC2 (),Mole_fraction_C16H10_PFRC2 (),Mole_fraction_C18H10_PFRC2 (),Mole_fraction_BIN1B_PFRC2 (),Mole_fraction_BIN1A_PFRC2 (),Mole_fraction_NC10H19_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,1191.387,0.2720914,-1.033585E11,1751.363,0.0,1751.363,1.0,0.9154937,3.959132E-19,4.376006E-16,2.508123E-19,8.380802E-18,4.470917E-17,1.017966E-19,3.740456E-20,5.559327E-21,9.683813E-21,2.179414E-20,4.91575E-20,2.824842E-22,0.01867569,4.806941E-24,8.177032E-25,3.68647E-30,3.116993E-25,3.72381E-22,0.05367462,0.012156,1.64492E-23,2.673148E-24,3.903633E-26,1.828571E-24,6.356115E-23,6.148718E-23,4.205997E-16,3.961694E-35,0.0,10.44735,7.269623E-5,657374.8,657374.8
3.259805E-5,2.736497E-8,6.283185,3.141593,6.283185,1191.08,0.2720914,-1.019571E11,1750.677,2.553295E8,1750.677,1.0,0.9153861,1.054056E-5,2.323496E-6,1.046206E-4,3.990644E-7,8.596759E-7,7.756949E-11,6.880665E-12,7.045843E-9,5.852146E-9,7.122376E-10,1.032357E-6,3.337516E-14,0.01866427,1.150896E-4,5.466438E-8,9.538343E-10,2.693872E-8,4.08182E-7,0.05368183,0.01203021,1.090301E-16,2.540339E-15,1.233467E-13,1.363201E-9,1.294535E-10,1.354415E-21,4.265817E-16,3.018755E-11,1.795473E-50,10.44595,7.271497E-5,657286.7,657286.7
2.783348E-4,2.338719E-7,6.283185,3.141593,6.283185,1188.897,0.2720914,-9.35221E10,1745.752,2.544625E8,1745.752,1.0,0.9145059,1.438325E-4,1.451561E-4,7.223294E-4,4.449078E-5,1.561479E-5,2.464454E-8,2.637561E-9,5.582545E-7,4.031341E-7,2.62982E-7,4.971798E-5,6.206448E-11,0.01855821,9.34022E-4,3.770501E-6,3.412201E-7,1.801E-6,2.600988E-5,0.05365291,0.01112951,2.243639E-12,1.427652E-12,1.690413E-9,1.845008E-7,9.401804E-9,6.955015E-16,1.551152E-13,2.118056E-9,3.063554E-50,10.43569,7.284851E-5,656641.1,656641.1
0.001281342,1.079866E-6,6.283185,3.141593,6.283185,1183.233,0.2720914,-4.839873E10,1731.007,2.518673E8,1731.007,1.000001,0.9103174,6.097977E-4,0.001819662,0.001569405,0.001130347,3.583809E-4,1.372306E-6,7.681073E-7,1.7801E-5,6.875909E-6,1.122622E-5,0.001555988,5.528334E-8,0.01794235,0.003424897,5.35435E-5,1.544049E-5,2.698922E-5,5.883252E-4,0.05198587,0.008108605,4.437498E-9,2.209256E-10,7.844589E-7,6.258093E-6,2.848027E-7,1.891652E-11,3.715869E-10,6.259853E-8,-2.160036E-46,10.39707,7.319721E-5,654211.1,654211.1
0.004256662,3.597004E-6,6.283185,3.141593,6.283185,1182.232,0.2720914,-6.501729E9,1719.482,2.498388E8,1719.482,1.000001,0.9009839,4.785777E-4,0.006865236,0.001108158,0.005009921,0.001846787,1.899011E-5,1.251023E-5,8.382591E-5,3.867815E-5,6.794567E-5,0.007938376,3.360314E-6,0.01779219,0.005099659,1.75621E-4,8.767104E-5,1.250756E-4,0.002558591,0.04556065,0.003451249,3.963969E-7,5.450225E-8,1.091031E-5,3.842159E-5,4.625864E-6,4.895307E-9,2.373106E-8,1.072592E-6,-1.799449E-39,10.3366,7.32592E-5,650405.7,650405.7
0.01122411,9.483887E-6,6.283185,3.141593,6.283185,1184.405,0.2720914,-2.846453E9,1714.382,2.489412E8,1714.382,1.000001,0.8913371,2.534427E-4,0.01184281,3.912017E-4,0.009187018,0.003841614,7.154692E-5,3.916713E-5,1.345973E-4,1.024415E-4,2.130488E-4,0.01564679,3.34506E-5,0.01825801,0.003987519,3.18466E-4,1.744225E-4,2.708462E-4,0.004735288,0.03762569,6.182349E-4,3.957774E-6,8.527589E-7,3.584155E-5,1.011116E-4,3.134432E-5,1.410524E-7,2.455357E-7,7.688893E-6,-3.498676E-33,10.28703,7.31248E-5,647287.0,647287.0
0.02105133,1.778041E-5,6.283185,3.141593,6.283185,1184.272,0.2720914,-3.046045E9,1708.133,2.478413E8,1708.133,1.000001,0.8852596,1.792462E-4,0.01418391,1.971398E-4,0.01196267,0.00555103,1.415747E-4,7.146158E-5,1.716003E-4,1.576956E-4,4.455566E-4,0.02113773,1.01948E-4,0.01759929,0.00282044,3.856218E-4,2.226015E-4,3.422392E-4,0.006185748,0.03163807,8.085734E-5,1.169617E-5,3.141784E-6,6.459138E-5,1.71722E-4,7.868561E-5,9.760612E-7,1.01801E-6,2.091018E-5,-1.261202E-26,10.25069,7.313302E-5,645000.3,645001.2
0.02436903,2.058223E-5,6.283185,3.141593,6.283185,1183.968,0.2720914,-2.922713E9,1705.989,2.47464E8,1705.989,1.000001,0.8837794,1.720643E-4,0.01466954,1.791524E-4,0.01264365,0.006029375,1.643434E-4,8.193794E-5,1.801931E-4,1.710654E-4,5.240456E-4,0.02252164,1.279052E-4,0.01725558,0.002611156,3.866283E-4,2.323761E-4,3.495402E-4,0.006531114,0.03010069,4.739895E-5,1.45758E-5,4.11488E-6,7.37E-5,1.937815E-4,9.476006E-5,1.486954E-6,1.413035E-6,2.572012E-5,-4.673235E-24,10.24045,7.315181E-5,644367.9,644412.3
0.02438543,2.059608E-5,6.283185,3.141593,6.283185,1183.966,0.2720914,-2.964525E9,1705.979,2.474622E8,1705.979,1.000001,0.8837726,1.718916E-4,0.01467178,1.791285E-4,0.01264684,0.006031683,1.644543E-4,8.1989E-5,1.802318E-4,1.711272E-4,5.244294E-4,0.0225282,1.280359E-4,0.01725382,0.00261027,3.866142E-4,2.324202E-4,3.495631E-4,0.006532725,0.03009343,4.728634E-5,1.459023E-5,4.119893E-6,7.37452E-5,1.938898E-4,9.483924E-5,1.490602E-6,1.415169E-6,2.574416E-5,-7.216237E-24,10.2404,7.315192E-5,644365.6,644410.0
0.02446487,2.066318E-5,6.283185,3.141593,6.283185,1183.959,0.2720914,-2.951271E9,1705.929,2.474534E8,1705.929,1.000001,0.8837391,1.711094E-4,0.01468265,1.788887E-4,0.0126625,0.00604284,1.649914E-4,8.223623E-5,1.804182E-4,1.714264E-4,5.262877E-4,0.02255989,1.28669E-4,0.01724532,0.002605983,3.865456E-4,2.326336E-4,3.496753E-4,0.006540486,0.03005838,4.674674E-5,1.46602E-5,4.144204E-6,7.396397E-5,1.944143E-4,9.522274E-5,1.509319E-6,1.425516E-6,2.586059E-5,-2.299608E-23,10.24017,7.315236E-5,644352.9,644397.4
