Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_H2O_PFRC2 (),Mole_fraction_CO_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_CH2O_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C4H2_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C7H7_PFRC2 (),Mole_fraction_STILB_PFRC2 (),Mole_fraction_C7H6_PFRC2 (),Mole_fraction_C6H5C2H_PFRC2 (),Mole_fraction_C6H5C2H3_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_INDENE_PFRC2 (),Mole_fraction_INDENYL_PFRC2 (),Mole_fraction_C12H8_PFRC2 (),Mole_fraction_BIPHENYL_PFRC2 (),Mole_fraction_C14H10_PFRC2 (),Mole_fraction_C16H10_PFRC2 (),Mole_fraction_C18H10_PFRC2 (),Mole_fraction_BIN1B_PFRC2 (),Mole_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,3.141593,0.7853982,3.141593,4335.477,0.1974164,-2.51069E10,1639.492,0.0,1639.492,1.0,0.9420295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01281134,0.0,0.0,0.0,0.0,0.03682026,0.0083389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.799806,5.79771E-5,450952.7,450952.7
2.712478E-4,6.257053E-8,3.141593,0.7853982,3.141593,4334.667,0.1974164,-2.472634E10,1639.071,1.17843E8,1639.071,0.9999987,0.9419704,5.090673E-6,1.378993E-21,-2.69838E-24,2.136988E-6,5.510364E-5,1.91114E-21,2.640425E-7,3.549011E-7,1.686735E-11,1.370358E-9,1.687458E-10,5.171499E-7,7.945692E-15,0.01280663,6.074571E-5,7.162131E-10,8.056518E-9,1.483658E-7,0.03682392,0.008273393,4.254728E-14,2.637656E-17,1.236876E-15,7.386515E-14,8.373779E-10,4.385963E-11,3.969521E-22,2.822796E-18,1.023604E-11,7.79927,5.798792E-5,450921.7,450921.7
0.002807091,6.480745E-7,3.141593,0.7853982,3.141593,4327.614,0.1974164,-2.199087E10,1635.365,1.175168E8,1635.365,1.0,0.9412946,1.173478E-4,9.7636E-22,-7.054315E-24,1.766561E-4,3.910854E-4,1.925415E-21,6.395581E-5,1.575349E-5,1.181514E-8,1.477718E-7,1.350278E-7,7.717732E-5,9.344933E-11,0.01273951,6.053498E-4,5.358037E-7,8.020741E-7,2.790203E-5,0.03674551,0.007678157,4.522705E-10,2.928632E-12,1.269761E-12,3.850932E-9,2.159465E-7,9.014137E-9,3.146887E-15,3.936308E-13,2.030758E-9,7.794306,5.808244E-5,450634.7,450634.7
0.01093764,2.529977E-6,3.141593,0.7853982,3.141593,4315.959,0.1974164,-8.471132E9,1627.791,1.168503E8,1627.791,1.000003,0.9385572,3.078274E-4,1.159227E-21,2.048665E-22,0.001401857,5.969417E-4,1.713562E-21,0.001000984,2.738328E-4,5.485048E-7,1.93211E-6,2.828197E-6,0.001399953,3.386427E-8,0.01254114,0.001843943,1.145323E-5,9.075549E-6,4.150225E-4,0.03541801,0.005962056,6.557291E-8,2.532189E-9,1.035089E-10,4.997947E-7,4.045197E-6,1.924713E-7,1.782102E-11,2.668054E-10,4.374724E-8,7.779133,5.823929E-5,449757.5,449757.5
0.02891042,6.69547E-6,3.141593,0.7853982,3.141593,4315.096,0.1974164,-1.494774E9,1623.526,1.16475E8,1623.526,1.000004,0.9339152,2.208179E-4,7.195195E-22,6.286377E-22,0.00383594,4.18668E-4,1.668524E-21,0.003007044,8.989685E-4,4.459172E-6,8.165909E-6,1.050776E-5,0.004488421,6.177604E-7,0.01302038,0.002508128,3.989697E-5,3.421292E-5,0.001239281,0.03249648,0.003518751,6.540395E-7,7.850161E-8,6.264857E-9,3.286632E-6,1.525498E-5,1.77968E-6,1.027668E-9,5.129775E-9,4.277898E-7,7.760302,5.825093E-5,448668.7,448668.7
0.07255862,1.680412E-5,3.141593,0.7853982,3.141593,4320.27,0.1974164,-2.956984E8,1621.552,1.163012E8,1621.552,1.000002,0.9280626,1.259722E-4,-1.355088E-14,-6.559077E-16,0.006803404,1.746183E-4,3.246624E-16,0.005535239,0.001793147,1.645561E-5,2.273753E-5,3.056388E-5,0.00867287,5.447755E-6,0.01417396,0.002157294,7.972191E-5,8.283672E-5,0.002304125,0.02839477,0.001110819,2.428151E-6,7.567988E-7,9.284044E-8,1.049237E-5,3.80427E-5,1.129877E-5,2.386253E-8,4.946821E-8,2.98015E-6,7.741592,5.818117E-5,447587.0,447587.0
0.1199424,2.776891E-5,3.141593,0.7853982,3.141593,4322.027,0.1974164,-4.134863E8,1620.104,1.161738E8,1620.104,1.000002,0.9248929,9.049697E-5,-2.264305E-8,-5.967352E-10,0.008127529,8.804379E-5,-6.093219E-9,0.007023066,0.002402028,2.906218E-5,3.46726E-5,5.751548E-5,0.0112733,1.467467E-5,0.01455728,0.001657833,1.005327E-4,1.133447E-4,0.002939482,0.02569993,3.466995E-4,3.846019E-6,1.970134E-6,2.853429E-7,1.725277E-5,5.813594E-5,2.492589E-5,1.204811E-7,1.653845E-7,7.177257E-6,7.731542,5.815751E-5,447006.0,447006.0
0.1207819,2.796315E-5,3.141593,0.7853982,3.141593,4322.028,0.1974164,-4.344241E8,1620.074,1.161712E8,1620.074,1.000002,0.9248502,9.00787E-5,-1.062862E-7,-9.491676E-10,0.008143211,8.725175E-5,-9.358489E-9,0.007044089,0.002411182,2.928345E-5,3.485341E-5,5.803328E-5,0.01131072,1.486359E-5,0.01455904,0.001650832,1.007987E-4,1.137359E-4,0.002948425,0.0256604,3.398557E-4,3.866968E-6,1.994027E-6,2.89457E-7,1.736425E-5,5.846391E-5,2.517497E-5,1.232117E-7,1.68117E-7,7.258614E-6,7.731397,5.81575E-5,446998.1,446998.1
0.1208283,2.797388E-5,3.141593,0.7853982,3.141593,4322.029,0.1974164,-4.515848E8,1620.073,1.16171E8,1620.073,1.000002,0.9248477,9.005575E-5,-1.150265E-7,-9.661241E-10,0.008144071,8.721152E-5,2.784321E-8,0.007045321,0.002411686,2.929567E-5,3.486336E-5,5.80619E-5,0.01131278,1.487404E-5,0.01455913,0.001650447,1.008133E-4,1.137573E-4,0.002948916,0.02565822,3.394819E-4,3.868121E-6,1.995348E-6,2.896848E-7,1.73704E-5,5.848199E-5,2.518872E-5,1.233688E-7,1.682686E-7,7.263112E-6,7.731388,5.815749E-5,446998.0,446998.2
0.120854,2.797983E-5,3.141593,0.7853982,3.141593,4322.028,0.1974164,-4.34117E8,1620.072,1.16171E8,1620.072,1.000002,0.9248465,9.003579E-5,-1.279697E-7,-9.763872E-10,0.008144549,8.718809E-5,2.158972E-8,0.007045952,0.002411966,2.930245E-5,3.48689E-5,5.807779E-5,0.01131392,1.487984E-5,0.01455918,0.001650233,1.008214E-4,1.137693E-4,0.002949189,0.02565701,3.392747E-4,3.868762E-6,1.996081E-6,2.898113E-7,1.737381E-5,5.849203E-5,2.519636E-5,1.234665E-7,1.683527E-7,7.265609E-6,7.731384,5.81575E-5,446997.7,446997.8
