Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C4H8-2_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C7H7_PFRC2 (),Mole_fraction_STILB_PFRC2 (),Mole_fraction_C6H5C2H_PFRC2 (),Mole_fraction_C6H5C2H3_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_C6H5CHCH3_PFRC2 (),Mole_fraction_INDENE_PFRC2 (),Mole_fraction_BIPHENYL_PFRC2 (),Mole_fraction_FLUORENE_PFRC2 (),Mole_fraction_C14H10_PFRC2 (),Mole_fraction_C16H10_PFRC2 (),Mole_fraction_C6H5C2H4C6H5_PFRC2 (),Mole_fraction_BIN1A_PFRC2 (),Mole_fraction_NPBENZ_PFRC2 (),Mole_fraction_C10H10_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,804.0651,0.2720914,-2.632371E7,1181.992,0.0,1181.992,1.0,0.9154937,7.258018E-17,1.023057E-23,1.336062E-20,1.611874E-20,1.230518E-22,9.502968E-24,4.004852E-23,4.405629E-26,6.080475E-25,4.383682E-27,7.956158E-23,4.128174E-26,7.744378E-26,0.01867569,5.882138E-29,5.926426E-35,1.116692E-28,0.05367462,0.012156,6.914052E-32,1.272505E-27,4.770274E-30,2.497091E-29,1.690737E-28,4.683196E-27,5.933317E-36,8.472324E-38,3.002907E-31,5.068873E-32,10.44735,1.077144E-4,657374.8,657374.8
0.006434544,8.002844E-6,6.283185,3.141593,6.283185,804.0005,0.2720914,-1.591832E7,1181.892,1.552192E8,1181.892,1.0,0.9154865,3.471355E-6,2.663252E-6,1.527554E-8,1.088924E-6,1.038425E-7,5.792068E-11,2.964837E-10,2.674097E-15,1.158196E-11,1.629469E-12,1.376013E-6,2.000155E-13,5.682562E-14,0.01867518,6.265835E-6,3.526488E-8,1.747038E-7,0.05367082,0.0121492,2.723752E-6,1.476541E-13,1.361242E-12,1.130102E-9,7.222814E-9,9.51198E-10,1.202873E-9,2.228092E-10,3.267248E-11,1.025673E-14,10.44731,1.07723E-4,657372.0,657372.0
0.06273709,7.805372E-5,6.283185,3.141593,6.283185,803.4793,0.2720914,-1.476401E7,1181.079,1.550761E8,1181.079,1.0,0.9153634,6.203429E-5,3.614772E-6,8.912017E-7,6.376103E-5,5.521723E-6,5.656084E-9,3.526155E-8,2.110412E-11,7.819624E-9,2.709973E-10,7.621189E-5,2.59421E-11,1.797564E-10,0.01866206,6.049652E-5,2.101893E-6,9.136241E-6,0.05356447,0.01208025,4.241351E-5,1.692421E-10,1.193864E-9,6.591298E-8,4.790189E-7,5.046328E-8,6.435595E-7,1.175334E-8,1.873979E-8,3.917149E-11,10.44689,1.077929E-4,657346.0,657346.0
0.2,2.490136E-4,6.283185,3.141593,6.283185,802.3438,0.2720914,-8573616.0,1179.198,1.547451E8,1179.198,1.0,0.9148197,2.299089E-4,4.141223E-6,6.052404E-6,4.42816E-4,3.769022E-5,4.58501E-8,3.182399E-7,1.343813E-9,3.422784E-7,7.740769E-9,5.279265E-4,3.804252E-10,8.716046E-9,0.01862994,1.343915E-4,1.482612E-5,6.19497E-5,0.05309976,0.01187691,9.202693E-5,6.185246E-9,4.586738E-8,4.603048E-7,3.552497E-6,3.688489E-7,1.145584E-5,8.631177E-8,3.255805E-7,1.95196E-9,10.44502,1.079455E-4,657228.1,657228.1
0.4,4.985124E-4,6.283185,3.141593,6.283185,800.8888,0.2720914,-5057951.0,1176.701,1.543056E8,1176.701,1.0,0.9138717,4.833462E-4,4.069556E-6,1.635227E-5,0.00114728,9.699005E-5,1.31683E-7,9.186899E-7,1.027785E-8,2.244004E-6,4.916146E-8,0.001371921,2.713993E-9,6.141873E-8,0.01861628,1.53868E-4,3.998477E-5,1.593498E-4,0.05230893,0.01156952,1.031957E-4,4.061963E-8,2.920586E-7,1.202215E-6,9.482954E-6,1.077536E-6,3.428971E-5,2.592864E-7,1.138937E-6,1.279201E-8,10.44183,1.081416E-4,657027.6,657027.6
0.6,7.48455E-4,6.283185,3.141593,6.283185,799.4814,0.2720914,-4037053.0,1174.293,1.538817E8,1174.293,1.0,0.9129529,7.230915E-4,3.848967E-6,2.742979E-5,0.001830011,1.539475E-4,2.226249E-7,1.50356E-6,2.788056E-8,5.637514E-6,1.26303E-7,0.002196112,9.109448E-9,1.64266E-7,0.01861878,1.537993E-4,6.602738E-5,2.533164E-4,0.05154929,0.01128256,1.015067E-4,1.048832E-7,7.343051E-7,1.926396E-6,1.538831E-5,1.911206E-6,5.075023E-5,4.733742E-7,2.006969E-6,3.211515E-8,10.4388,1.083319E-4,656837.0,656837.0
0.8,9.988364E-4,6.283185,3.141593,6.283185,798.0824,0.2720914,-3387456.0,1171.924,1.534648E8,1171.924,1.000001,0.9120917,9.469E-4,3.633854E-6,3.880477E-5,0.002465249,2.064591E-4,3.131551E-7,2.037015E-6,5.294129E-8,1.013261E-5,2.337633E-7,0.00296856,2.089145E-8,3.121799E-7,0.01862736,1.508895E-4,9.127534E-5,3.403759E-4,0.05083896,0.01101849,9.888366E-5,1.936668E-7,1.329712E-6,2.600234E-6,2.100321E-5,2.814611E-6,6.123426E-5,7.151345E-7,2.846797E-6,5.809765E-8,10.43601,1.085218E-4,656661.2,656661.2
1.0,0.001249657,6.283185,3.141593,6.283185,796.6866,0.2720914,-2869667.0,1169.586,1.530533E8,1169.586,1.000001,0.9112861,0.001155972,3.435338E-6,5.038036E-5,0.003055655,2.548142E-4,4.02332E-7,2.523308E-6,8.441665E-8,1.544168E-5,3.66918E-7,0.003691384,3.871364E-8,5.002772E-7,0.01863818,1.471275E-4,1.153067E-4,4.209351E-4,0.05017488,0.01077526,9.640317E-5,3.023836E-7,2.045595E-6,3.224268E-6,2.631567E-5,3.763165E-6,6.780402E-5,9.777067E-7,3.64837E-6,8.947736E-8,10.43344,1.08712E-4,656499.4,656499.4
1.2,0.001500916,6.283185,3.141593,6.283185,795.2924,0.2720914,-2436232.0,1167.274,1.526464E8,1167.274,1.000001,0.9105317,0.001351604,3.252243E-6,6.210364E-5,0.003605533,2.994299E-4,4.897572E-7,2.968795E-6,1.214174E-7,2.134743E-5,5.217229E-7,0.004368902,6.280052E-8,7.23927E-7,0.01864929,1.430001E-4,1.379831E-4,4.95622E-4,0.04955293,0.01055074,9.412679E-5,4.272093E-7,2.856074E-6,3.802481E-6,3.133898E-5,4.7399E-6,7.186324E-5,1.255994E-6,4.410716E-6,1.252614E-7,10.43107,1.089026E-4,656350.1,656350.1
1.4,0.001752617,6.283185,3.141593,6.283185,793.8992,0.2720914,-2066036.0,1164.985,1.522434E8,1164.985,1.000001,0.9098245,0.001534946,3.082763E-6,7.393173E-5,0.004118723,3.406761E-4,5.751635E-7,3.378902E-6,1.631677E-7,2.768071E-5,6.945603E-7,0.005005043,9.309392E-8,9.786995E-7,0.01865963,1.38731E-4,1.592808E-4,5.64998E-4,0.04896942,0.01034311,9.203336E-5,5.649243E-7,3.739974E-6,4.339052E-6,3.608972E-5,5.731794E-6,7.429621E-5,1.545854E-6,5.134813E-6,1.646216E-7,10.42888,1.090937E-4,656212.3,656212.3
1.6,0.002004759,6.283185,3.141593,6.283185,792.5064,0.2720914,-1746489.0,1162.715,1.51844E8,1162.715,1.000001,0.9091605,0.001707006,2.925333E-6,8.58279E-5,0.004598559,3.788736E-4,6.583622E-7,3.758131E-6,2.089926E-7,3.43086E-5,8.821982E-7,0.005603252,1.293524E-7,1.260413E-6,0.01866868,1.344416E-4,1.79234E-4,6.295524E-4,0.04842116,0.01015076,9.009871E-5,7.128119E-7,4.679806E-6,4.837879E-6,4.058483E-5,6.72869E-6,7.566348E-5,1.843867E-6,5.822423E-6,2.068577E-7,10.42685,1.092854E-4,656084.8,656084.8
1.8,0.002257345,6.283185,3.141593,6.283185,791.114,0.2720914,-1468281.0,1160.463,1.514476E8,1160.463,1.000001,0.9085365,0.001868675,2.778674E-6,9.776034E-5,0.005047944,4.143018E-4,7.392232E-7,4.110232E-6,2.583081E-7,4.112618E-5,1.081762E-6,0.006166558,1.712197E-7,1.565172E-6,0.01867621,1.302031E-4,1.97906E-4,6.897132E-4,0.0479053,0.009972291,8.830411E-5,8.685778E-7,5.661062E-6,5.302475E-6,4.484063E-5,7.722656E-6,7.632384E-5,2.147194E-6,6.475632E-6,2.513728E-7,10.42497,1.094777E-4,655966.7,655966.7
2.0,0.002510376,6.283185,3.141593,6.283185,789.7218,0.2720914,-1223979.0,1158.228,1.510542E8,1158.228,1.000001,0.9079494,0.002020748,2.641746E-6,1.097014E-4,0.005469424,4.472055E-4,8.176624E-7,4.43835E-6,3.106112E-7,4.805036E-5,1.290709E-6,0.006697641,2.182747E-7,1.889389E-6,0.01868214,1.260625E-4,2.153719E-4,7.458568E-4,0.04741934,0.009806471,8.663717E-5,1.030284E-6,6.671671E-6,5.735955E-6,4.887244E-5,8.707497E-6,7.651351E-5,2.453474E-6,7.096608E-6,2.976567E-7,10.42323,1.096707E-4,655857.1,655857.1
