Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C4H8-2_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_C10H8_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C7H7_PFRC2 (),Mass_fraction_STILB_PFRC2 (),Mass_fraction_C6H5C2H_PFRC2 (),Mass_fraction_C6H5C2H3_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_C6H5CHCH3_PFRC2 (),Mass_fraction_INDENE_PFRC2 (),Mass_fraction_BIPHENYL_PFRC2 (),Mass_fraction_FLUORENE_PFRC2 (),Mass_fraction_C14H10_PFRC2 (),Mass_fraction_C16H10_PFRC2 (),Mass_fraction_C6H5C2H4C6H5_PFRC2 (),Mass_fraction_BIN1A_PFRC2 (),Mass_fraction_NPBENZ_PFRC2 (),Mass_fraction_C10H10_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0,0,6.283185,3.141593,6.283185,804.0651,0.2720914,-2.63E+07,1181.992,0,1181.992,1,0.1766553,1.11E-16,1.47E-23,3.85E-20,4.33E-20,3.07E-22,4.01E-23,1.61E-22,2.37E-25,3.15E-24,2.19E-26,5.95E-22,2.61E-25,9.50E-25,0.1647128,5.13E-28,1.02E-33,1.09E-27,0.5350992,0.1235327,6.96E-31,1.41E-26,7.04E-29,3.97E-28,2.88E-27,9.07E-26,1.04E-34,2.08E-36,3.45E-30,6.32E-31,10.44735,1.08E-04,657374.8,657374.8
0.006434544,8.00E-06,6.283185,3.141593,6.283185,804.0005,0.2720914,-1.59E+07,1181.892,1.55E+08,1181.892,1,0.1766547,5.33E-06,3.83E-06,4.40E-08,2.92E-06,2.59E-07,2.44E-10,1.19E-09,1.44E-14,6.00E-11,8.12E-12,1.03E-05,1.27E-12,6.97E-13,0.164709,5.47E-05,6.08E-07,1.71E-06,0.5350636,0.1234641,2.74E-05,1.64E-12,2.01E-11,1.80E-08,1.23E-07,1.84E-08,2.10E-08,5.47E-09,3.76E-10,1.28E-13,10.44731,1.08E-04,657372,657372
0.06273709,7.81E-05,6.283185,3.141593,6.283185,803.4793,0.2720914,-1.48E+07,1181.079,1.55E+08,1181.079,1,0.1766379,9.53E-05,5.20E-06,2.57E-06,1.71E-04,1.38E-05,2.39E-08,1.42E-07,1.13E-10,4.05E-08,1.35E-09,5.70E-04,1.64E-10,2.21E-09,0.1645997,5.28E-04,3.63E-05,8.93E-05,0.5340245,0.1227682,4.27E-04,1.88E-09,1.76E-08,1.05E-06,8.17E-06,9.77E-07,1.12E-05,2.88E-07,2.16E-07,4.88E-10,10.44689,1.08E-04,657346,657346
0.2,2.49E-04,6.283185,3.141593,6.283185,802.3438,0.2720914,-8573616,1179.198,1.55E+08,1179.198,1,0.1765647,3.53E-04,5.96E-06,1.74E-05,0.001189355,9.40E-05,1.94E-07,1.28E-06,7.22E-09,1.77E-06,3.86E-08,0.003948181,2.41E-09,1.07E-07,0.164346,0.001172579,2.56E-04,6.06E-04,0.5294865,0.1207235,9.27E-04,6.88E-08,6.77E-07,7.33E-06,6.06E-05,7.14E-06,2.00E-04,2.12E-06,3.75E-06,2.43E-08,10.44502,1.08E-04,657228.1,657228.1
0.4,4.99E-04,6.283185,3.141593,6.283185,800.8888,0.2720914,-5057951,1176.701,1.54E+08,1176.701,1,0.1764355,7.43E-04,5.86E-06,4.71E-05,0.003082409,2.42E-04,5.56E-07,3.70E-06,5.52E-08,1.16E-05,2.45E-07,0.01026326,1.72E-08,7.54E-07,0.1642755,0.001342923,6.90E-04,0.001558684,0.5217598,0.1176348,0.001039296,4.52E-07,4.31E-06,1.91E-05,1.62E-04,2.09E-05,5.99E-04,6.37E-06,1.31E-05,1.59E-07,10.44183,1.08E-04,657027.6,657027.6
0.6,7.48E-04,6.283185,3.141593,6.283185,799.4814,0.2720914,-4037053,1174.293,1.54E+08,1174.293,1,0.1763093,0.001111294,5.54E-06,7.90E-05,0.004918135,3.84E-04,9.40E-07,6.06E-06,1.50E-07,2.92E-05,6.30E-07,0.01643375,5.77E-08,2.02E-06,0.1643452,0.001342713,0.001140126,0.002478539,0.5143319,0.1147504,0.001022583,1.17E-06,1.08E-05,3.07E-05,2.63E-04,3.70E-05,8.86E-04,1.16E-05,2.31E-05,4.01E-07,10.4388,1.08E-04,656837,656837
0.8,9.99E-04,6.283185,3.141593,6.283185,798.0824,0.2720914,-3387456,1171.924,1.53E+08,1171.924,1.000001,0.1761901,0.001455647,5.24E-06,1.12E-04,0.006627105,5.15E-04,1.32E-06,8.21E-06,2.85E-07,5.25E-05,1.17E-06,0.02222,1.32E-07,3.83E-06,0.164465,0.001317662,0.001576516,0.003331251,0.5073805,0.1120947,9.96E-04,2.16E-06,1.96E-05,4.14E-05,3.59E-04,5.45E-05,0.001069472,1.76E-05,3.28E-05,7.25E-07,10.43601,1.09E-04,656661.2,656661.2
1,0.001249657,6.283185,3.141593,6.283185,796.6866,0.2720914,-2869667,1169.586,1.53E+08,1169.586,1.000001,0.1760779,0.001777486,4.95E-06,1.45E-04,0.008216264,6.36E-04,1.70E-06,1.02E-05,4.54E-07,8.01E-05,1.83E-06,0.02763723,2.45E-07,6.15E-06,0.1646011,0.001285127,0.001992079,0.004120699,0.5008763,0.1096472,9.72E-04,3.37E-06,3.02E-05,5.14E-05,4.50E-04,7.30E-05,0.001184507,2.40E-05,4.20E-05,1.12E-06,10.43344,1.09E-04,656499.4,656499.4
1.2,0.001500916,6.283185,3.141593,6.283185,795.2924,0.2720914,-2436232,1167.274,1.53E+08,1167.274,1.000001,0.1759722,0.002078774,4.69E-06,1.79E-04,0.009697019,7.47E-04,2.07E-06,1.20E-05,6.53E-07,1.11E-04,2.60E-06,0.03271722,3.98E-07,8.90E-06,0.1647367,0.001249359,0.002384386,0.004852941,0.49478,0.107387,9.49E-04,4.76E-06,4.22E-05,6.06E-05,5.35E-04,9.19E-05,0.001255705,3.09E-05,5.08E-05,1.56E-06,10.43107,1.09E-04,656350.1,656350.1
1.4,0.001752617,6.283185,3.141593,6.283185,793.8992,0.2720914,-2066036,1164.985,1.52E+08,1164.985,1.000001,0.1758724,0.00236125,4.44E-06,2.13E-04,0.01107956,8.51E-04,2.43E-06,1.36E-05,8.78E-07,1.44E-04,3.47E-06,0.03748894,5.90E-07,1.20E-05,0.1648627,0.001212316,0.002752995,0.005533407,0.4890566,0.1052958,9.28E-04,6.29E-06,5.53E-05,6.92E-05,6.17E-04,1.11E-04,0.001298491,3.80E-05,5.92E-05,2.06E-06,10.42888,1.09E-04,656212.3,656212.3
