Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_CO_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_RALD3_PFRC2 (),Mole_fraction_C2H3CHO_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C4H2_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_C4H8O_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C7H7_PFRC2 (),Mole_fraction_STILB_PFRC2 (),Mole_fraction_C6H5C2H_PFRC2 (),Mole_fraction_C6H5C2H3_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_INDENE_PFRC2 (),Mole_fraction_BIPHENYL_PFRC2 (),Mole_fraction_FLUORENE_PFRC2 (),Mole_fraction_C14H10_PFRC2 (),Mole_fraction_C16H10_PFRC2 (),Mole_fraction_C6H5C2H4C6H5_PFRC2 (),Mole_fraction_C18H10_PFRC2 (),Mole_fraction_BIN1B_PFRC2 (),Mole_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,991.7485,0.2770664,-5.34547E9,1453.685,0.0,1453.685,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,8.892675E-5,668660.8,668660.8
6.119847E-4,6.171773E-7,6.283185,3.141593,6.283185,991.4222,0.2770664,-4.922208E9,1453.017,2.029392E8,1453.017,0.9999921,0.9127369,4.419345E-24,2.074805E-5,9.068741E-5,9.189178E-8,4.509374E-6,7.570921E-7,-1.881338E-26,8.931908E-24,2.069562E-9,1.047941E-9,5.349352E-10,5.642296E-6,4.332189E-13,6.893573E-35,0.02850575,1.169791E-4,4.86079E-8,1.312028E-6,0.04209928,0.01639661,3.547706E-12,3.432638E-11,3.73522E-9,2.067785E-8,9.59343E-10,1.132886E-8,3.926403E-18,2.639958E-15,4.036824E-10,10.60639,8.895601E-5,668579.0,668579.0
0.00388079,3.916633E-6,6.283185,3.141593,6.283185,990.1466,0.2770664,-3.272784E9,1450.121,2.024293E8,1450.121,0.9999922,0.9118221,-4.808492E-22,4.669455E-4,2.481837E-4,6.796402E-6,2.705706E-4,4.650186E-5,-1.771694E-23,3.81747E-23,1.662867E-7,5.157466E-8,5.052743E-8,3.724547E-4,1.872989E-9,-1.230317E-30,0.02830897,7.806458E-4,4.38856E-6,7.187529E-5,0.04176479,0.01565126,5.033257E-9,4.659868E-8,3.237306E-7,1.438329E-6,5.684682E-8,1.978542E-6,9.441909E-13,2.497875E-11,2.30188E-8,10.59888,8.907062E-5,668105.8,668105.8
0.01586641,1.602914E-5,6.283185,3.141593,6.283185,989.3693,0.2770664,-6.3186E8,1446.163,2.017328E8,1446.163,0.9999923,0.9084169,2.559659E-18,0.002451353,2.212952E-4,4.172228E-5,0.001668772,3.13147E-4,-1.081658E-17,8.020649E-18,2.984143E-6,6.258059E-7,3.355667E-7,0.002363306,9.747167E-8,-9.533371E-28,0.0283499,0.001918045,3.355941E-5,4.335763E-4,0.04034878,0.01319631,2.23273E-7,9.271953E-7,2.081017E-6,1.157874E-5,6.786677E-7,4.291354E-5,3.803747E-10,2.18729E-9,2.792885E-7,10.57826,8.91406E-5,666805.9,666805.9
0.06061272,6.12088E-5,6.283185,3.141593,6.283185,991.6214,0.2770664,9.465748E7,1444.82,2.014964E8,1444.82,0.9999921,0.9000017,2.359635E-12,0.007530526,1.356773E-4,1.035402E-4,0.004875216,9.669906E-4,-9.370076E-12,6.898004E-12,2.075772E-5,3.887716E-6,1.261475E-6,0.007168554,1.809389E-6,-1.808039E-19,0.03091339,0.002110968,1.503511E-4,0.001283177,0.03683536,0.00753614,2.519199E-6,6.943533E-6,5.933478E-6,4.914403E-5,7.667115E-6,1.046718E-4,1.471141E-8,5.557022E-8,3.552064E-6,10.54444,8.893815E-5,664673.8,664673.8
0.1655176,1.667814E-4,6.283185,3.141593,6.283185,995.1157,0.2770664,6.817641E7,1445.525,2.016204E8,1445.525,0.9999918,0.889947,3.979308E-8,0.01328068,5.460865E-5,1.334246E-4,0.008768128,0.001875232,-1.442925E-7,1.037135E-7,5.869351E-5,1.185744E-5,4.362565E-6,0.01351808,1.228429E-5,-2.121294E-14,0.03390754,0.001414277,2.88032E-4,0.002351,0.03169027,0.002226911,9.118689E-6,2.377638E-5,1.024535E-5,1.155903E-4,3.094148E-5,5.343896E-5,2.073553E-7,5.116429E-7,1.787847E-5,10.51254,8.862585E-5,662663.1,662663.4
0.2,2.014239E-4,6.283185,3.141593,6.283185,995.6077,0.2770664,4.782338E7,1445.476,2.016119E8,1445.476,0.9999918,0.8880732,2.141721E-7,0.01425645,4.216183E-5,1.341549E-4,0.009556696,0.002079481,-7.414899E-7,5.239121E-7,6.765886E-5,1.417718E-5,5.659016E-6,0.01488476,1.676336E-5,-1.556905E-13,0.03423687,0.001242977,3.076655E-4,0.002568691,0.03051049,0.00151515,1.093302E-5,2.877508E-5,1.117866E-5,1.319259E-4,3.791968E-5,4.192926E-5,3.228287E-7,7.315679E-7,2.304387E-5,10.50699,8.858205E-5,662313.8,662315.4
0.3742494,3.763758E-4,6.283185,3.141593,6.283185,995.9435,0.2770664,-1.036875E7,1443.62,2.012852E8,1443.62,0.9999917,0.8825906,1.526601E-6,0.0167655,1.719098E-5,1.29218E-4,0.01211709,0.002804717,-2.163902E-6,6.300104E-7,9.666914E-5,2.371099E-5,1.312231E-5,0.01953727,4.14059E-5,-7.279297E-10,0.0342318,7.742067E-4,3.503156E-4,0.003262883,0.02636767,2.505475E-4,1.765096E-5,4.968637E-5,1.487417E-5,1.92401E-4,6.566206E-5,1.696333E-5,1.139161E-6,2.024181E-6,4.707294E-5,10.48996,8.855218E-5,661243.0,661245.0
0.3846598,3.868288E-4,6.283185,3.141593,6.283185,995.9013,0.2770664,-1.570136E7,1443.458,2.012567E8,1443.458,0.9999917,0.8823707,1.153305E-6,0.01685449,1.678807E-5,1.288688E-4,0.01222803,0.002838603,-7.00821E-7,-4.656006E-7,9.786385E-5,2.420013E-5,1.358667E-5,0.01974753,4.291899E-5,-8.533206E-8,0.0341928,7.602619E-4,3.515482E-4,0.003292284,0.02617809,2.275065E-4,1.797748E-5,5.078117E-5,1.506783E-5,1.95314E-4,6.702717E-5,1.638493E-5,1.197731E-6,2.106471E-6,4.838723E-5,10.48923,8.855594E-5,661196.6,661196.6
0.3856511,3.878241E-4,6.283185,3.141593,6.283185,995.8965,0.2770664,-2.840385E7,1443.441,2.012536E8,1443.441,0.9999917,0.8823496,1.153854E-6,0.01686286,1.680461E-5,1.288418E-4,0.01223889,0.0028418,-6.981315E-7,-4.668397E-7,9.79766E-5,2.424661E-5,1.363089E-5,0.01976737,4.306333E-5,-9.504615E-7,0.03418894,7.589942E-4,3.516623E-4,0.003295039,0.02616024,2.254475E-4,1.800855E-5,5.088525E-5,1.508615E-5,1.95589E-4,6.715597E-5,1.63328E-5,1.207571E-6,2.114233E-6,4.851178E-5,10.48915,8.855636E-5,661194.4,661195.2
0.3857637,3.879372E-4,6.283185,3.141593,6.283185,995.8962,0.2770664,-1.619022E8,1443.438,2.012532E8,1443.438,0.9999917,0.8823467,1.153959E-6,0.01686381,1.679643E-5,1.288384E-4,0.01224046,0.002842159,-6.981297E-7,-4.667662E-7,9.798943E-5,2.425192E-5,1.36359E-5,0.0197696,4.30797E-5,-1.803901E-6,0.0341885,7.588336E-4,3.516752E-4,0.003295347,0.02615822,2.25215E-4,1.801209E-5,5.089701E-5,1.50882E-5,1.956201E-4,6.717058E-5,1.632698E-5,1.210556E-6,2.115098E-6,4.852588E-5,10.48914,8.855639E-5,661196.3,661198.0
0.3857714,3.87945E-4,6.283185,3.141593,6.283185,995.8961,0.2770664,-6.653424E7,1443.438,2.012531E8,1443.438,0.9999917,0.8823465,1.153967E-6,0.01686388,1.679577E-5,1.288382E-4,0.0122406,0.002842184,-6.981296E-7,-4.667622E-7,9.799033E-5,2.425228E-5,1.363624E-5,0.01976975,4.308083E-5,-1.93444E-6,0.03418847,7.588211E-4,3.516761E-4,0.003295368,0.02615808,2.251991E-4,1.801233E-5,5.089782E-5,1.508834E-5,1.956223E-4,6.717158E-5,1.632659E-5,1.210896E-6,2.115157E-6,4.852684E-5,10.48913,8.855639E-5,661196.5,661198.4
0.3861893,3.883646E-4,6.283185,3.141593,6.283185,995.8936,0.2770664,-1.294573E7,1443.43,2.012517E8,1443.43,0.9999917,0.8823379,1.156844E-6,0.01686742,1.674739E-5,1.288264E-4,0.01224499,0.002843516,-6.98127E-7,-4.664454E-7,9.803792E-5,2.42718E-5,1.365485E-5,0.01977801,4.314159E-5,-2.116391E-6,0.03418693,7.582183E-4,3.517234E-4,0.003296508,0.02615069,2.243396E-4,1.802535E-5,5.094124E-5,1.509601E-5,1.957378E-4,6.722588E-5,1.630521E-5,1.216399E-6,2.118325E-6,4.857925E-5,10.4891,8.855662E-5,661194.9,661196.8
0.388536,3.90721E-4,6.283185,3.141593,6.283185,995.8839,0.2770664,-9833970.0,1443.392,2.012451E8,1443.392,0.9999917,0.8822888,1.179571E-6,0.01688707,1.657093E-5,1.287502E-4,0.01226989,0.002851059,-6.981121E-7,-4.645152E-7,9.830442E-5,2.438118E-5,1.375956E-5,0.01982481,4.348333E-5,-2.561801E-6,0.03417761,7.552843E-4,3.519891E-4,0.00330302,0.02610837,2.195819E-4,1.809863E-5,5.118706E-5,1.51394E-5,1.963863E-4,6.752948E-5,1.61833E-5,1.229903E-6,2.136116E-6,4.887332E-5,10.48893,8.855748E-5,661185.1,661187.9
0.4,4.022327E-4,6.283185,3.141593,6.283185,995.8358,0.2770664,-1.107554E7,1443.212,2.012134E8,1443.212,0.9999917,0.8820542,1.26512E-6,0.0169807,1.609038E-5,1.283763E-4,0.01238927,0.00288767,-6.980413E-7,-4.552164E-7,9.960075E-5,2.49142E-5,1.427144E-5,0.0200514,4.516051E-5,-2.633896E-6,0.03413014,7.422279E-4,3.532489E-4,0.003334427,0.02590411,1.980213E-4,1.845511E-5,5.238759E-5,1.535068E-5,1.995329E-4,6.900091E-5,1.563518E-5,1.288377E-6,2.225334E-6,5.030712E-5,10.48813,8.856176E-5,661133.4,661137.2
0.4434083,4.45827E-4,6.283185,3.141593,6.283185,995.6195,0.2770664,-2.440499E7,1442.492,2.010866E8,1442.492,0.9999918,0.8812198,1.548419E-6,0.0173075,1.456733E-5,1.2706E-4,0.01281865,0.003020279,-6.977807E-7,-4.230836E-7,1.04163E-4,2.688472E-5,1.620801E-5,0.02086746,5.157598E-5,-9.458004E-6,0.03393745,7.000697E-4,3.573982E-4,0.003445688,0.0251689,1.367662E-4,1.97806E-5,5.684568E-5,1.613446E-5,2.110474E-4,7.439037E-5,1.404045E-5,1.567461E-6,2.577686E-6,5.566427E-5,10.48517,8.8581E-5,660966.1,660978.3
0.4441634,4.465854E-4,6.283185,3.141593,6.283185,995.6158,0.2770664,-2.038635E8,1442.475,2.010837E8,1442.475,0.9999918,0.8812039,1.573625E-6,0.01731284,1.453906E-5,1.270397E-4,0.01282718,0.003022478,-6.977739E-7,-4.225848E-7,1.042411E-4,2.691839E-5,1.624155E-5,0.02088096,5.168804E-5,-1.273912E-5,0.03393403,6.992476E-4,3.574623E-4,0.003447485,0.02515677,1.359335E-4,1.980329E-5,5.692154E-5,1.614773E-5,2.112415E-4,7.448144E-5,1.401723E-5,1.583632E-6,2.583408E-6,5.57559E-5,10.48509,8.858133E-5,660971.7,660988.2
0.4441723,4.465944E-4,6.283185,3.141593,6.283185,995.6156,0.2770664,-1.244048E8,1442.475,2.010837E8,1442.475,0.9999918,0.8812037,1.573975E-6,0.0173129,1.453022E-5,1.270395E-4,0.01282732,0.003022503,-6.977738E-7,-4.225813E-7,1.04242E-4,2.69188E-5,1.624195E-5,0.02088112,5.168936E-5,-1.295154E-5,0.033934,6.992353E-4,3.574631E-4,0.003447506,0.02515663,1.359237E-4,1.980356E-5,5.692243E-5,1.614789E-5,2.112438E-4,7.448252E-5,1.401697E-5,1.584249E-6,2.583475E-6,5.575698E-5,10.48509,8.858135E-5,660972.0,660988.7
