Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_CO_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_RALD3_PFRC2 (),Mass_fraction_C2H3CHO_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C4H2_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C10H8_PFRC2 (),Mass_fraction_C4H8O_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C7H7_PFRC2 (),Mass_fraction_STILB_PFRC2 (),Mass_fraction_C6H5C2H_PFRC2 (),Mass_fraction_C6H5C2H3_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_INDENE_PFRC2 (),Mass_fraction_BIPHENYL_PFRC2 (),Mass_fraction_FLUORENE_PFRC2 (),Mass_fraction_C14H10_PFRC2 (),Mass_fraction_C16H10_PFRC2 (),Mass_fraction_C6H5C2H4C6H5_PFRC2 (),Mass_fraction_C18H10_PFRC2 (),Mass_fraction_BIN1B_PFRC2 (),Mass_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0,0,6.283185,3.141593,6.283185,991.7485,0.2770664,-5.35E+09,1453.685,0,1453.685,1,0.1734833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2477118,0,0,0,0.4134262,0.1653787,0,0,0,0,0,0,0,0,0,10.60769,8.89E-05,668660.8,668660.8
6.12E-04,6.17E-07,6.283185,3.141593,6.283185,991.4222,0.2770664,-4.92E+09,1453.017,2.03E+08,1453.017,0.9999921,0.1734825,1.17E-23,3.14E-05,1.29E-04,2.61E-07,1.19E-05,1.86E-06,-1.01E-25,4.72E-23,1.06E-08,5.15E-09,2.52E-09,4.16E-05,5.24E-12,4.69E-34,0.2476405,0.001005126,8.26E-07,1.26E-05,0.4134078,0.1641285,3.89E-11,4.99E-10,5.85E-08,3.47E-07,1.83E-08,1.95E-07,8.38E-17,6.23E-14,9.76E-09,10.60639,8.90E-05,668579,668579
0.00388079,3.92E-06,6.283185,3.141593,6.283185,990.1466,0.2770664,-3.27E+09,1450.121,2.02E+08,1450.121,0.9999922,0.1734314,-1.27E-21,7.07E-04,3.52E-04,1.93E-05,7.16E-04,1.14E-04,-9.54E-23,2.02E-22,8.49E-07,2.53E-07,2.39E-07,0.002745024,2.27E-08,-8.37E-30,0.2461052,0.006712335,7.46E-05,6.93E-04,0.4104137,0.1567785,5.52E-08,6.78E-07,5.08E-06,2.42E-05,1.08E-06,3.40E-05,2.02E-11,5.90E-10,5.57E-07,10.59888,8.91E-05,668105.8,668105.8
0.01586641,1.60E-05,6.283185,3.141593,6.283185,989.3693,0.2770664,-6.32E+08,1446.163,2.02E+08,1446.163,0.9999923,0.1731205,6.78E-18,0.003717731,3.15E-04,1.19E-04,0.004425683,7.71E-04,-5.84E-17,4.25E-17,1.53E-05,3.08E-06,1.59E-06,0.01745173,1.18E-06,-6.50E-27,0.2469415,0.01652434,5.72E-04,0.00418634,0.3972718,0.132445,2.45E-06,1.35E-05,3.27E-05,1.95E-04,1.30E-05,7.39E-04,8.14E-09,5.18E-08,6.77E-06,10.57826,8.91E-05,666805.9,666805.9
0.06061272,6.12E-05,6.283185,3.141593,6.283185,991.6214,0.2770664,9.47E+07,1444.82,2.01E+08,1444.82,0.9999921,0.172067,6.27E-12,0.01145746,1.93E-04,2.95E-04,0.01297084,0.002387869,-5.07E-11,3.67E-11,1.06E-04,1.92E-05,5.99E-06,0.05310569,2.20E-05,-1.24E-18,0.2701345,0.01824476,0.002570175,0.01242929,0.3638423,0.07587923,2.78E-05,1.02E-04,9.35E-05,8.31E-04,1.47E-04,0.001809323,3.16E-07,1.32E-06,8.64E-05,10.54444,8.89E-05,664673.8,664673.8
0.1655176,1.67E-04,6.283185,3.141593,6.283185,995.1157,0.2770664,6.82E+07,1445.525,2.02E+08,1445.525,0.9999918,0.170661,1.06E-07,0.02026744,7.81E-05,3.82E-04,0.02339898,0.004644715,-7.83E-07,5.53E-07,3.02E-04,5.87E-05,2.08E-05,0.1004478,1.50E-04,-1.46E-13,0.2971977,0.01226046,0.0049387,0.02284169,0.3139713,0.02249016,1.01E-04,3.49E-04,1.62E-04,0.001959787,5.95E-04,9.27E-04,4.46E-06,1.22E-05,4.36E-04,10.51254,8.86E-05,662663.1,662663.4
0.2,2.01E-04,6.283185,3.141593,6.283185,995.6077,0.2770664,4.78E+07,1445.476,2.02E+08,1445.476,0.9999918,0.1703915,5.71E-07,0.02176805,6.03E-05,3.84E-04,0.02551685,0.005153334,-4.03E-06,2.80E-06,3.48E-04,7.03E-05,2.70E-05,0.1106614,2.04E-04,-1.07E-12,0.3002427,0.01078113,0.005278128,0.02496989,0.3024422,0.01530998,1.21E-04,4.22E-04,1.77E-04,0.002237931,7.30E-04,7.27E-04,6.95E-06,1.74E-05,5.62E-04,10.50699,8.86E-05,662313.8,662315.4
0.3742494,3.76E-04,6.283185,3.141593,6.283185,995.9435,0.2770664,-1.04E+07,1443.62,2.01E+08,1443.62,0.9999917,0.1696145,4.08E-06,0.02564065,2.46E-05,3.70E-04,0.03240575,0.006961882,-1.18E-05,3.37E-06,4.98E-04,1.18E-04,6.26E-05,0.1454865,5.06E-04,-5.00E-09,0.3006856,0.00672609,0.006019564,0.03176953,0.2617998,0.002535791,1.95E-04,7.30E-04,2.36E-04,0.003269101,0.001266037,2.95E-04,2.46E-05,4.83E-05,0.001150354,10.48996,8.86E-05,661243,661245
0.3846598,3.87E-04,6.283185,3.141593,6.283185,995.9013,0.2770664,-1.57E+07,1443.458,2.01E+08,1443.458,0.9999917,0.1695841,3.08E-06,0.02577854,2.41E-05,3.69E-04,0.03270471,0.007046486,-3.81E-06,-2.49E-06,5.05E-04,1.20E-04,6.48E-05,0.1470626,5.24E-04,-5.87E-07,0.300364,0.006605402,0.006041166,0.03205803,0.2599357,0.002302754,1.99E-04,7.47E-04,2.39E-04,0.003318827,0.001292448,2.85E-04,2.58E-05,5.03E-05,0.001182555,10.48923,8.86E-05,661196.6,661196.6
0.3856511,3.88E-04,6.283185,3.141593,6.283185,995.8965,0.2770664,-2.84E+07,1443.441,2.01E+08,1443.441,0.9999917,0.1695813,3.08E-06,0.02579155,2.41E-05,3.69E-04,0.03273402,0.007054476,-3.80E-06,-2.50E-06,5.05E-04,1.20E-04,6.51E-05,0.1472114,5.26E-04,-6.53E-06,0.3003323,0.006594438,0.006043171,0.0320851,0.2597604,0.00228193,1.99E-04,7.48E-04,2.39E-04,0.003323526,0.001294942,2.84E-04,2.61E-05,5.05E-05,0.001185608,10.48915,8.86E-05,661194.4,661195.2
