Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_H_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_C3H3_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C4H2_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C10H8_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C7H7_PFRC2 (),Mass_fraction_BENZYNE_PFRC2 (),Mass_fraction_STILB_PFRC2 (),Mass_fraction_C7H6_PFRC2 (),Mass_fraction_C6H5C2H_PFRC2 (),Mass_fraction_C6H5C2H3_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_INDENYL_PFRC2 (),Mass_fraction_C12H8_PFRC2 (),Mass_fraction_BIPHENYL_PFRC2 (),Mass_fraction_C14H10_PFRC2 (),Mass_fraction_C16H10_PFRC2 (),Mass_fraction_C18H10_PFRC2 (),Mass_fraction_BIN1B_PFRC2 (),Mass_fraction_BIN1A_PFRC2 (),Mass_fraction_NC10H19_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,1191.387,0.2720914,-1.033585E11,1751.363,0.0,1751.363,1.0,0.1766553,3.819806E-20,6.719826E-16,3.609506E-19,2.250489E-17,1.114299E-16,3.903874E-19,1.434455E-19,2.078351E-20,4.82705E-20,1.044309E-19,3.6755E-19,3.465709E-21,0.1647128,4.193167E-23,5.956171E-24,6.360392E-29,2.688927E-24,3.640529E-21,0.5350992,0.1235327,1.813116E-22,3.894256E-23,5.762158E-25,3.119611E-23,1.230528E-21,1.331758E-21,1.007693E-14,9.720953E-34,0.0,10.44735,7.269623E-5,657374.8,657374.8
3.259805E-5,2.736497E-8,6.283185,3.141593,6.283185,1191.08,0.2720914,-1.019571E11,1750.677,2.553295E8,1750.677,1.0,0.1766582,1.017099E-6,3.568456E-6,1.505824E-4,1.071748E-6,2.142882E-6,2.975169E-10,2.639071E-11,2.634437E-8,2.917486E-8,3.413284E-9,7.719958E-6,4.095241E-13,0.1646341,0.001004078,3.982301E-7,1.645904E-8,2.324227E-7,3.991067E-6,0.5352428,0.1222707,1.201948E-15,3.701274E-14,1.820966E-12,2.325984E-8,2.506522E-9,2.933937E-20,1.022162E-14,7.408223E-10,2.393682E-49,10.44595,7.271497E-5,657286.7,657286.7
2.783348E-4,2.338719E-7,6.283185,3.141593,6.283185,1188.897,0.2720914,-9.35221E10,1745.752,2.544625E8,1745.752,1.0,0.1766619,1.38926E-5,2.231518E-4,0.001040685,1.196042E-4,3.896069E-5,9.461679E-8,1.012628E-8,2.089363E-6,2.011731E-6,1.261538E-6,3.721561E-4,7.623003E-10,0.1638595,0.00815672,2.749511E-5,5.893765E-6,1.5554E-5,2.54566E-4,0.5354806,0.1132276,2.475818E-11,2.082134E-11,2.49801E-8,3.15117E-6,1.822199E-7,1.508078E-14,3.720478E-12,5.202958E-8,4.088272E-49,10.43569,7.284851E-5,656641.1,656641.1
0.001281342,1.079866E-6,6.283185,3.141593,6.283185,1183.233,0.2720914,-4.839873E10,1731.007,2.518673E8,1731.007,1.000001,0.176506,5.911835E-5,0.0028078,0.002269494,0.00304999,8.975228E-4,5.288209E-6,2.959917E-6,6.687077E-5,3.44398E-5,5.405275E-5,0.01169037,6.815338E-7,0.1590102,0.03002038,3.918983E-4,2.676884E-4,2.33953E-4,0.00577949,0.5207699,0.08280039,4.914894E-8,3.23402E-9,1.163541E-5,1.072818E-4,5.540372E-6,4.116964E-10,8.94571E-9,1.543431E-6,-2.893247E-45,10.39707,7.319721E-5,654211.1,654211.1
0.004256662,3.597004E-6,6.283185,3.141593,6.283185,1182.232,0.2720914,-6.501729E9,1719.482,2.498388E8,1719.482,1.000001,0.1757183,4.666836E-5,0.01065527,0.001611867,0.01359724,0.00465212,7.360694E-5,4.849046E-5,3.167405E-4,1.948632E-4,3.290635E-4,0.05999112,4.166837E-5,0.1586019,0.04496176,0.001292934,0.001528826,0.001090547,0.02528172,0.4590754,0.03544835,4.416109E-6,8.024991E-7,1.627729E-4,6.625104E-4,9.051514E-5,1.071641E-7,5.746524E-7,2.660058E-5,-2.424362E-38,10.3366,7.32592E-5,650405.7,650405.7
0.01122411,9.483887E-6,6.283185,3.141593,6.283185,1184.405,0.2720914,-2.846453E9,1714.382,2.489412E8,1714.382,1.000001,0.1746745,2.483347E-5,0.01846932,5.717627E-4,0.02505429,0.009723782,2.786568E-4,1.525459E-4,5.110332E-4,5.185939E-4,0.001036775,0.1188141,4.167907E-4,0.1635385,0.03532582,0.002355866,0.003056271,0.002372915,0.04701533,0.3809482,0.006380588,4.430451E-5,1.261664E-5,5.373028E-4,0.001751886,6.162751E-4,3.102682E-6,5.974341E-6,1.916055E-4,-4.736409E-32,10.28703,7.31248E-5,647287.0,647287.0
0.02105133,1.778041E-5,6.283185,3.141593,6.283185,1184.272,0.2720914,-3.046045E9,1708.133,2.478413E8,1708.133,1.000001,0.1740986,1.762563E-5,0.02219879,2.891522E-4,0.03273954,0.01410043,5.53352E-4,2.793112E-4,6.538347E-4,8.011396E-4,0.002175933,0.1610788,0.001274765,0.1581973,0.02507515,0.002862769,0.003914304,0.003009028,0.0616343,0.3214612,8.374595E-4,1.313947E-4,4.664779E-5,9.717264E-4,0.00298585,0.00155256,2.154622E-5,2.48579E-5,5.229246E-4,-1.713433E-25,10.25069,7.313302E-5,645000.3,645001.2
0.02436903,2.058223E-5,6.283185,3.141593,6.283185,1183.968,0.2720914,-2.922713E9,1705.989,2.47464E8,1705.989,1.000001,0.1739812,1.693632E-5,0.02298178,2.63032E-4,0.03463784,0.0153308,6.429865E-4,3.205786E-4,6.872613E-4,8.699304E-4,0.002561801,0.1717963,0.001600934,0.1552626,0.02323771,0.002873109,0.004090267,0.003076291,0.06514053,0.3061462,4.914132E-4,1.63908E-4,6.115693E-5,0.001109866,0.00337278,0.001871596,3.28568E-5,3.453816E-5,6.438549E-4,-6.355269E-23,10.24045,7.315181E-5,644367.9,644412.3
0.02438543,2.059608E-5,6.283185,3.141593,6.283185,1183.966,0.2720914,-2.964525E9,1705.979,2.474622E8,1705.979,1.000001,0.1739807,1.691941E-5,0.0229854,2.629981E-4,0.03464676,0.01533674,6.434234E-4,3.207799E-4,6.874121E-4,8.702491E-4,0.00256369,0.1718471,0.001602577,0.1552476,0.02322993,0.002873018,0.004091064,0.003076507,0.0651569,0.3060738,4.902481E-4,1.640712E-4,6.123172E-5,0.001110552,0.003374681,0.001873169,3.293757E-5,3.45905E-5,6.444597E-4,-9.813618E-23,10.2404,7.315192E-5,644365.6,644410.0
0.02446487,2.066318E-5,6.283185,3.141593,6.283185,1183.959,0.2720914,-2.951271E9,1705.929,2.474534E8,1705.929,1.000001,0.1739781,1.684281E-5,0.02300296,2.626522E-4,0.03469046,0.01536547,6.455399E-4,3.217547E-4,6.881392E-4,8.71791E-4,0.002572834,0.1720929,0.001610538,0.1551748,0.02319232,0.002872575,0.004094914,0.003077566,0.06523583,0.3057244,4.84665E-4,1.648617E-4,6.159448E-5,0.001113873,0.00338389,0.001880787,3.335193E-5,3.48442E-5,6.473895E-4,-3.127392E-22,10.24017,7.315236E-5,644352.9,644397.4
