Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_H_PFRC2 (),Mass_fraction_H2O_PFRC2 (),Mass_fraction_CO_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_CH2O_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C4H2_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C10H8_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C7H7_PFRC2 (),Mass_fraction_STILB_PFRC2 (),Mass_fraction_C7H6_PFRC2 (),Mass_fraction_C6H5C2H_PFRC2 (),Mass_fraction_C6H5C2H3_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_INDENE_PFRC2 (),Mass_fraction_INDENYL_PFRC2 (),Mass_fraction_C12H8_PFRC2 (),Mass_fraction_BIPHENYL_PFRC2 (),Mass_fraction_C14H10_PFRC2 (),Mass_fraction_C16H10_PFRC2 (),Mass_fraction_C18H10_PFRC2 (),Mass_fraction_BIN1B_PFRC2 (),Mass_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,3.141593,0.7853982,3.141593,4335.477,0.1974164,-2.51069E10,1639.492,0.0,1639.492,1.0,0.2434772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1513448,0.0,0.0,0.0,0.0,0.4916711,0.1135069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.799806,5.79771E-5,450952.7,450952.7
2.712478E-4,6.257053E-8,3.141593,0.7853982,3.141593,4334.667,0.1974164,-2.472634E10,1639.071,1.17843E8,1639.071,0.9999987,0.2434787,6.579136E-7,3.185301E-21,-9.69105E-24,4.395766E-6,1.062262E-4,7.357717E-21,9.497678E-7,1.184854E-6,8.664863E-11,9.150014E-9,1.083115E-9,5.17959E-6,1.305816E-13,0.1512995,7.098087E-4,1.655266E-8,9.309855E-8,1.942957E-6,0.4917537,0.112623,6.33709E-13,3.894496E-16,2.413681E-14,1.460522E-12,1.91365E-8,1.13741E-9,1.151678E-20,9.059224E-17,3.364434E-10,7.79927,5.798792E-5,450921.7,450921.7
0.002807091,6.480745E-7,3.141593,0.7853982,3.141593,4327.614,0.1974164,-2.199087E10,1635.365,1.175168E8,1635.365,1.0,0.2434589,1.517558E-5,2.256706E-21,-2.535123E-23,3.636116E-4,7.543959E-4,7.417397E-21,2.301973E-4,5.26273E-5,6.073378E-8,9.87315E-7,8.672439E-7,7.734729E-4,1.536749E-9,0.1506025,0.007077969,1.239104E-5,9.274415E-6,3.656298E-4,0.4910192,0.1045868,6.74051E-9,4.326876E-11,2.479432E-11,7.619226E-8,4.938143E-6,2.339121E-7,9.135885E-14,1.264088E-11,6.679053E-8,7.794306,5.808244E-5,450634.7,450634.7
0.01093764,2.529977E-6,3.141593,0.7853982,3.141593,4315.959,0.1974164,-8.471132E9,1627.791,1.168503E8,1627.791,1.000003,0.2432244,3.988629E-5,2.684602E-21,7.376688E-22,0.002891072,0.001153734,6.614138E-21,0.003609887,9.165706E-4,2.824997E-6,1.293428E-5,1.820011E-5,0.01405772,5.57975E-7,0.1485465,0.0216021,2.653848E-4,1.051456E-4,0.005449086,0.4742033,0.0813696,9.791861E-7,3.748452E-8,2.025136E-9,9.907927E-6,9.26837E-5,5.004269E-6,5.183801E-10,8.584774E-9,1.441629E-6,7.779133,5.823929E-5,449757.5,449757.5
0.02891042,6.69547E-6,3.141593,0.7853982,3.141593,4315.096,0.1974164,-1.494774E9,1623.526,1.16475E8,1623.526,1.000004,0.2426087,2.86816E-5,1.670346E-21,2.269047E-21,0.007930117,8.111409E-4,6.455925E-21,0.01087073,0.003016321,2.302207E-5,5.479835E-5,6.778397E-5,0.04518017,1.020342E-5,0.1545973,0.02945443,9.267033E-4,3.973388E-4,0.01631077,0.4361434,0.04814013,9.790329E-6,1.164896E-6,1.228684E-7,6.531228E-5,3.503708E-4,4.638411E-5,2.996547E-8,1.65457E-7,1.413143E-5,7.760302,5.825093E-5,448668.7,448668.7
0.07255862,1.680412E-5,3.141593,0.7853982,3.141593,4320.27,0.1974164,-2.956984E8,1621.552,1.163012E8,1621.552,1.000002,0.241671,1.640182E-5,-3.153404E-14,-2.373199E-15,0.01409881,3.391289E-4,1.259234E-15,0.02005874,0.006031111,8.516327E-5,1.529518E-4,1.976395E-4,0.08751156,9.019688E-5,0.168701,0.02539562,0.001856209,9.643664E-4,0.03039898,0.3820143,0.01523387,3.643488E-5,1.125738E-5,1.825217E-6,2.090094E-4,8.758627E-4,2.951935E-4,6.974822E-7,1.599416E-6,9.868293E-5,7.741592,5.818117E-5,447587.0,447587.0
0.1199424,2.776891E-5,3.141593,0.7853982,3.141593,4322.027,0.1974164,-4.134863E8,1620.104,1.161738E8,1620.104,1.000002,0.2411587,1.179819E-5,-5.27608E-8,-2.161908E-9,0.01686471,1.712134E-4,-2.366384E-8,0.02548345,0.008089536,1.50602E-4,2.335403E-4,3.724039E-4,0.1138985,2.432801E-4,0.1734885,0.01954134,0.0023438,0.001321249,0.03883182,0.3462083,0.004760849,5.778529E-5,2.934382E-5,5.617055E-6,3.441241E-4,0.001340212,6.520644E-4,3.526142E-6,5.354194E-6,2.379724E-4,7.731542,5.815751E-5,447006.0,447006.0
0.1207819,2.796315E-5,3.141593,0.7853982,3.141593,4322.028,0.1974164,-4.344241E8,1620.074,1.161712E8,1620.074,1.000002,0.2411521,1.174388E-5,-2.476632E-7,-3.438797E-9,0.01689756,1.696764E-4,-3.634564E-8,0.02556021,0.008120516,1.517515E-4,2.347626E-4,3.757636E-4,0.1142786,2.464166E-4,0.1735128,0.01945918,0.002350046,0.001325833,0.0389507,0.3456822,0.004666959,5.810113E-5,2.970026E-5,5.698149E-6,3.463542E-4,0.001347798,6.585927E-4,3.606127E-6,5.44276E-6,2.406744E-4,7.731397,5.81575E-5,446998.1,446998.1
0.1208283,2.797388E-5,3.141593,0.7853982,3.141593,4322.029,0.1974164,-4.515848E8,1620.073,1.16171E8,1620.073,1.000002,0.2411517,1.174091E-5,-2.680298E-7,-3.500234E-9,0.01689937,1.695983E-4,1.08135E-7,0.02556471,0.008122223,1.51815E-4,2.348299E-4,3.759493E-4,0.1142996,2.465902E-4,0.1735141,0.01945466,0.002350389,0.001326085,0.03895724,0.3456533,0.004661831,5.811853E-5,2.971997E-5,5.702641E-6,3.464772E-4,0.001348217,6.589533E-4,3.61073E-6,5.447674E-6,2.408238E-4,7.731388,5.815749E-5,446998.0,446998.2
0.120854,2.797983E-5,3.141593,0.7853982,3.141593,4322.028,0.1974164,-4.34117E8,1620.072,1.16171E8,1620.072,1.000002,0.2411515,1.173831E-5,-2.981895E-7,-3.537419E-9,0.01690037,1.695529E-4,8.384832E-8,0.02556702,0.00812317,1.518502E-4,2.348673E-4,3.760525E-4,0.1143112,2.466865E-4,0.1735148,0.01945215,0.002350579,0.001326225,0.03896087,0.3456372,0.004658988,5.812819E-5,2.97309E-5,5.705134E-6,3.465455E-4,0.001348449,6.591535E-4,3.613591E-6,5.450401E-6,2.409068E-4,7.731384,5.81575E-5,446997.7,446997.8
