Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_C3H3_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C4H2_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C6H5_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C7H7_PFRC2 (),Mole_fraction_BENZYNE_PFRC2 (),Mole_fraction_C7H6_PFRC2 (),Mole_fraction_C6H5C2H_PFRC2 (),Mole_fraction_C6H4C2H_PFRC2 (),Mole_fraction_C6H5C2H3_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_INDENE_PFRC2 (),Mole_fraction_INDENYL_PFRC2 (),Mole_fraction_C12H8_PFRC2 (),Mole_fraction_BIPHENYL_PFRC2 (),Mole_fraction_C14H10_PFRC2 (),Mole_fraction_C16H10_PFRC2 (),Mole_fraction_BIN1B_PFRC2 (),Mole_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,3.141593,0.7853982,3.141593,4649.86,0.1476364,-6.761988E10,1793.023,0.0,1793.023,1.0,0.9605902,6.712186E-23,8.566918E-18,1.617605E-22,2.541454E-20,8.352114E-21,4.150225E-23,1.386226E-23,1.663915E-25,8.738843E-25,1.262968E-25,1.178075E-22,1.851051E-28,2.790159E-25,0.008709467,1.587741E-27,6.25954E-30,1.153643E-29,2.393084E-26,1.654219E-32,0.02503132,0.00566899,8.042096E-27,1.81859E-27,6.050143E-28,2.771155E-29,9.859124E-28,2.682493E-26,8.252E-19,7.311413E-38,5.947955,4.042627E-5,306568.8,306568.8
1.223058E-4,2.630616E-8,3.141593,0.7853982,3.141593,4648.781,0.1476364,-6.687866E10,1792.449,1.313408E8,1792.449,0.9999989,0.9605167,8.020166E-6,1.624604E-6,6.654334E-5,1.427733E-7,6.099673E-7,7.094614E-11,6.51991E-12,6.771167E-9,6.247243E-9,6.146082E-10,6.442888E-7,2.943025E-7,1.552601E-14,0.00870294,7.342469E-5,5.262628E-8,2.581838E-8,3.11345E-7,9.926858E-13,0.0250395,0.005588542,5.46778E-14,6.645708E-17,1.130337E-15,2.907347E-14,4.067149E-10,4.087606E-11,1.839388E-18,9.519978E-12,5.947437,4.043565E-5,306542.1,306542.1
0.0014408,3.102663E-7,3.141593,0.7853982,3.141593,4637.97,0.1476364,-5.833734E10,1786.692,1.308342E8,1786.692,1.000001,0.9596235,2.032633E-4,1.788443E-4,5.603284E-4,3.852027E-5,1.602524E-5,4.50918E-8,5.900229E-9,9.763413E-7,7.895092E-7,4.694842E-7,4.823254E-5,1.942294E-5,8.605859E-11,0.008621213,7.818464E-4,6.635254E-6,3.157531E-6,2.521227E-5,1.452574E-8,0.02504992,0.004797585,3.481575E-10,4.767384E-12,1.638138E-12,1.183267E-9,9.649836E-8,4.053605E-9,9.067894E-14,8.941985E-10,5.942144,4.052991E-5,306269.2,306269.2
0.004887091,1.055054E-6,3.141593,0.7853982,3.141593,4618.841,0.1476364,-3.260769E10,1775.671,1.298643E8,1775.671,1.000004,0.9570017,7.343097E-4,0.001232831,9.128813E-4,5.694317E-4,2.072281E-4,1.125323E-6,4.352326E-7,1.487787E-5,7.183157E-6,1.027875E-5,8.309816E-4,1.009682E-4,2.321551E-8,0.008332467,0.002022909,5.434409E-5,2.549777E-5,3.249183E-4,2.385654E-6,0.02427569,0.003215842,3.43544E-8,1.950003E-9,1.229788E-10,1.944132E-7,1.60621E-6,7.243454E-8,5.096922E-11,1.575621E-8,5.929925,4.069776E-5,305639.5,305639.5
0.01096929,2.37358E-6,3.141593,0.7853982,3.141593,4610.137,0.1476364,-8.314762E9,1768.14,1.292015E8,1768.14,1.000006,0.9532072,8.089728E-4,0.003160902,7.876921E-4,0.001956479,7.998795E-4,8.402752E-6,4.361605E-6,5.989168E-5,2.358522E-5,4.566037E-5,0.003226405,1.252839E-4,5.930411E-7,0.008084292,0.002627662,1.408501E-4,6.925192E-5,0.001092497,2.313639E-5,0.02193048,0.001611352,3.71142E-7,5.865163E-8,8.298794E-9,1.865943E-6,6.668487E-6,6.075392E-7,1.403222E-9,1.338413E-7,5.915914,4.07746E-5,304917.3,304917.3
0.01742737,3.774453E-6,3.141593,0.7853982,3.141593,4610.287,0.1476364,-3.523781E9,1765.716,1.289882E8,1765.716,1.000006,0.9505047,6.471168E-4,0.004624878,5.572943E-4,0.003080762,0.001359949,2.093056E-5,1.092763E-5,9.47432E-5,4.052383E-5,8.968003E-5,0.005350217,1.032688E-4,2.578324E-6,0.008006309,0.00251381,2.009576E-4,1.046854E-4,0.00172086,4.997103E-5,0.01985766,8.069002E-4,9.369729E-7,2.608299E-7,5.38569E-8,4.406906E-6,1.228319E-5,1.997342E-6,5.833093E-9,4.344571E-7,5.907611,4.077327E-5,304489.4,304489.4
0.03003598,6.509134E-6,3.141593,0.7853982,3.141593,4610.484,0.1476364,-2.950807E9,1762.927,1.287427E8,1762.927,1.000006,0.9473039,4.373406E-4,0.006224105,2.974747E-4,0.00442661,0.002158877,4.873963E-5,2.479519E-5,1.329611E-4,6.729949E-5,1.821931E-4,0.008046055,7.010975E-5,1.01241E-5,0.007823854,0.002042475,2.701133E-4,1.491449E-4,0.002488476,8.696275E-5,0.01716016,2.295949E-4,1.934172E-6,1.01808E-6,2.819959E-7,9.172486E-6,2.217743E-5,6.529124E-6,2.468859E-8,1.422027E-6,5.898027,4.077153E-5,303995.4,303995.4
0.05885575,1.2764E-5,3.141593,0.7853982,3.141593,4603.834,0.1476364,-3.063711E9,1756.362,1.28165E8,1756.362,1.000007,0.9434282,2.872329E-4,0.007735273,1.468681E-4,0.005981134,0.003380002,1.133928E-4,5.602557E-5,1.762562E-4,1.055468E-4,4.028101E-4,0.01135915,4.509825E-5,3.626473E-5,0.007176634,0.001390354,3.154939E-4,1.845546E-4,0.003390438,1.263992E-4,0.01371349,2.021818E-5,3.502541E-6,3.635839E-6,1.315261E-6,1.81147E-5,4.221964E-5,2.065702E-5,1.32482E-7,4.59055E-6,5.884546,4.083042E-5,303300.5,303300.5
0.08313154,1.804097E-5,3.141593,0.7853982,3.141593,4596.869,0.1476364,-2.706845E9,1751.162,1.277074E8,1751.162,1.000009,0.9412741,2.49961E-4,0.008443579,1.195513E-4,0.00676814,0.004186444,1.645289E-4,8.041897E-5,1.946476E-4,1.251345E-4,5.751381E-4,0.0131491,3.877977E-5,6.176352E-5,0.006608451,0.001152376,3.033697E-4,1.858575E-4,0.003843509,1.424162E-4,0.01182546,6.146241E-6,4.707284E-6,6.318466E-6,2.530016E-6,2.488818E-5,5.859661E-5,3.387082E-5,3.142584E-7,7.596024E-6,5.876006,4.089229E-5,302860.8,302860.9
0.08322765,1.806187E-5,3.141593,0.7853982,3.141593,4596.843,0.1476364,-2.713361E9,1751.143,1.277057E8,1751.143,1.000009,0.9412666,2.49859E-4,0.008446011,1.194854E-4,0.006770788,0.004189422,1.647211E-4,8.051022E-5,1.946997E-4,1.251989E-4,5.757793E-4,0.01315528,3.876227E-5,6.18675E-5,0.006606306,0.001151686,3.032892E-4,1.858423E-4,0.003845011,1.424645E-4,0.01181896,6.128788E-6,4.712185E-6,6.329758E-6,2.535256E-6,2.491446E-5,5.866153E-5,3.392399E-5,3.151706E-7,7.608143E-6,5.875975,4.089252E-5,302859.3,302859.3
0.08324779,1.806626E-5,3.141593,0.7853982,3.141593,4596.837,0.1476364,-2.753724E9,1751.139,1.277054E8,1751.139,1.000009,0.9412649,2.498385E-4,0.00844652,1.19471E-4,0.006771368,0.004190046,1.647613E-4,8.052934E-5,1.947106E-4,1.252124E-4,5.759136E-4,0.01315657,3.875861E-5,6.18893E-5,0.006605856,0.001151541,3.032723E-4,1.858391E-4,0.003845325,1.424746E-4,0.0118176,6.125145E-6,4.713213E-6,6.332125E-6,2.536355E-6,2.491997E-5,5.867513E-5,3.393514E-5,3.15362E-7,7.610683E-6,5.875968,4.089257E-5,302859.1,302859.1
0.08326812,1.807068E-5,3.141593,0.7853982,3.141593,4596.831,0.1476364,-2.696865E9,1751.135,1.27705E8,1751.135,1.000009,0.9412634,2.498163E-4,0.008447034,1.194561E-4,0.006771923,0.004190676,1.648019E-4,8.054863E-5,1.947216E-4,1.25226E-4,5.760491E-4,0.01315788,3.875493E-5,6.191129E-5,0.006605403,0.001151395,3.032552E-4,1.858358E-4,0.003845643,1.424848E-4,0.01181622,6.121477E-6,4.71425E-6,6.334514E-6,2.537464E-6,2.492553E-5,5.868886E-5,3.394638E-5,3.155551E-7,7.613246E-6,5.875962,4.089262E-5,302858.7,302858.8
0.08364719,1.815314E-5,3.141593,0.7853982,3.141593,4596.726,0.1476364,-2.708385E9,1751.059,1.276983E8,1751.059,1.000009,0.9412337,2.493882E-4,0.008456601,1.191875E-4,0.006782321,0.004202408,1.655589E-4,8.090806E-5,1.949254E-4,1.254789E-4,5.785741E-4,0.01318217,3.868491E-5,6.232165E-5,0.006596955,0.001148686,3.02936E-4,1.857746E-4,0.003851546,1.426741E-4,0.01179064,6.054071E-6,4.733597E-6,6.379106E-6,2.558166E-6,2.502917E-5,5.894493E-5,3.415615E-5,3.191707E-7,7.661058E-6,5.875841,4.089356E-5,302852.8,302852.9
0.08367277,1.815871E-5,3.141593,0.7853982,3.141593,4596.719,0.1476364,-2.702024E9,1751.054,1.276978E8,1751.054,1.000009,0.9412317,2.493597E-4,0.008457245,1.191712E-4,0.006783019,0.004203199,1.656099E-4,8.093229E-5,1.949391E-4,1.254959E-4,5.787443E-4,0.0131838,3.868015E-5,6.234935E-5,0.006596385,0.001148504,3.029144E-4,1.857704E-4,0.003851943,1.426868E-4,0.01178892,6.049591E-6,4.734903E-6,6.382118E-6,2.559565E-6,2.503617E-5,5.896221E-5,3.41703E-5,3.194155E-7,7.664285E-6,5.875833,4.089362E-5,302852.4,302852.4
