Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_H_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_C3H3_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C4H2_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C6H5_PFRC2 (),Mass_fraction_C10H8_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C7H7_PFRC2 (),Mass_fraction_BENZYNE_PFRC2 (),Mass_fraction_C7H6_PFRC2 (),Mass_fraction_C6H5C2H_PFRC2 (),Mass_fraction_C6H4C2H_PFRC2 (),Mass_fraction_C6H5C2H3_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_INDENE_PFRC2 (),Mass_fraction_INDENYL_PFRC2 (),Mass_fraction_C12H8_PFRC2 (),Mass_fraction_BIPHENYL_PFRC2 (),Mass_fraction_C14H10_PFRC2 (),Mass_fraction_C16H10_PFRC2 (),Mass_fraction_BIN1B_PFRC2 (),Mass_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,3.141593,0.7853982,3.141593,4649.86,0.1476364,-6.761988E10,1793.023,0.0,1793.023,1.0,0.3255728,1.13748E-23,2.310699E-17,4.088933E-22,1.198705E-19,3.656288E-20,2.795585E-22,9.337594E-23,1.092613E-24,7.65117E-24,1.062968E-24,1.54717E-21,2.399623E-27,6.012644E-24,0.1349213,2.432717E-26,8.008523E-29,1.748047E-28,4.109353E-25,2.812557E-31,0.4383164,0.1011895,1.570629E-25,3.520904E-26,1.548124E-26,7.184813E-28,2.954375E-26,9.121722E-25,3.472618E-17,3.151141E-36,5.947955,4.042627E-5,306568.8,306568.8
1.223058E-4,2.630616E-8,3.141593,0.7853982,3.141593,4648.781,0.1476364,-6.687866E10,1792.449,1.313408E8,1792.449,0.9999989,0.3255762,1.359256E-6,4.38232E-6,1.682209E-4,6.734646E-7,2.670474E-6,4.779337E-10,4.392183E-11,4.446687E-8,5.470162E-8,5.173257E-9,8.462206E-6,3.815545E-6,3.346064E-13,0.134832,0.001125102,6.73365E-7,3.912449E-7,5.346816E-6,1.687943E-11,0.4384978,0.0997622,1.067955E-12,1.286763E-15,2.892582E-14,7.538576E-13,1.218864E-8,1.390097E-9,7.741212E-17,4.103367E-10,5.947437,4.043565E-5,306542.1,306542.1
0.0014408,3.102663E-7,3.141593,0.7853982,3.141593,4637.97,0.1476364,-5.833734E10,1786.692,1.308342E8,1786.692,1.000001,0.3255632,3.447969E-5,4.828568E-4,0.001417766,1.818627E-4,7.022198E-5,3.040347E-7,3.978272E-8,6.417434E-6,6.919197E-6,3.955245E-6,6.340593E-4,2.520369E-4,1.856331E-9,0.1336848,0.01199107,8.497518E-5,4.7891E-5,4.333631E-4,2.472129E-7,0.439071,0.08571895,6.806197E-9,9.238982E-11,4.195802E-11,3.070874E-8,2.894488E-6,1.379762E-7,3.819696E-12,3.857669E-8,5.942144,4.052991E-5,306269.2,306269.2
0.004887091,1.055054E-6,3.141593,0.7853982,3.141593,4618.841,0.1476364,-3.260769E10,1775.671,1.298643E8,1775.671,1.000004,0.3253427,1.248181E-4,0.003335344,0.00231457,0.002693953,9.099363E-4,7.603205E-6,2.940634E-6,9.799284E-5,6.308234E-5,8.677339E-5,0.01094649,0.001312888,5.018029E-7,0.1294736,0.031089,6.973982E-4,3.875274E-4,0.005596392,4.068499E-5,0.4263772,0.05757617,6.729846E-7,3.786807E-8,3.156375E-9,5.055905E-6,4.827785E-5,2.4706E-6,2.151416E-9,6.811406E-7,5.929925,4.069776E-5,305639.5,305639.5
0.01096929,2.37358E-6,3.141593,0.7853982,3.141593,4610.137,0.1476364,-8.314762E9,1768.14,1.292015E8,1768.14,1.000006,0.3248203,1.378351E-4,0.00857187,0.002001888,0.009277925,0.003520581,5.690736E-5,2.953882E-5,3.954099E-4,2.076155E-4,3.863787E-4,0.04260199,0.001632924,1.284894E-5,0.1259148,0.04047878,0.001811811,0.001055017,0.01886174,3.955029E-4,0.3860984,0.02891785,7.287696E-6,1.141683E-6,2.135015E-7,4.86406E-5,2.009095E-4,2.077105E-5,5.937042E-8,5.79966E-6,5.915914,4.07746E-5,304917.3,304917.3
0.01742737,3.774453E-6,3.141593,0.7853982,3.141593,4610.287,0.1476364,-3.523781E9,1765.716,1.289882E8,1765.716,1.000006,0.3243545,1.104125E-4,0.01255957,0.001418332,0.01462999,0.005994079,1.419507E-4,7.411104E-5,6.263817E-4,3.572237E-4,7.599402E-4,0.07074446,0.001347875,5.594096E-5,0.1248755,0.03877932,0.002588632,0.001597069,0.02975205,8.554257E-4,0.3500966,0.01450124,1.842414E-5,5.084316E-6,1.387513E-6,1.150388E-4,3.705905E-4,6.838274E-5,2.471454E-7,1.885251E-5,5.907611,4.077327E-5,304489.4,304489.4
0.03003598,6.509134E-6,3.141593,0.7853982,3.141593,4610.484,0.1476364,-2.950807E9,1762.927,1.287427E8,1762.927,1.000006,0.3237876,7.47413E-5,0.01692998,7.583128E-4,0.02105533,0.009530874,3.310885E-4,1.684338E-4,8.804823E-4,5.942191E-4,0.001546395,0.1065637,9.165666E-4,2.200159E-4,0.122228,0.03155946,0.003485113,0.002279035,0.04309332,0.001491085,0.3030304,0.00413288,3.809432E-5,1.987752E-5,7.276854E-6,2.398295E-4,6.701921E-4,2.239E-4,1.047744E-6,6.180665E-5,5.898027,4.077153E-5,303995.4,303995.4
0.05885575,1.2764E-5,3.141593,0.7853982,3.141593,4603.834,0.1476364,-3.063711E9,1756.362,1.28165E8,1756.362,1.000007,0.3232016,4.920043E-5,0.02108867,3.75249E-4,0.02851466,0.01495601,7.720423E-4,3.814539E-4,0.001169861,9.340576E-4,0.003426754,0.1507876,5.909342E-4,7.899067E-4,0.1123737,0.02153238,0.004079958,0.00282658,0.05884723,0.002172238,0.2427206,3.647762E-4,6.914205E-5,7.115064E-5,3.401785E-5,4.747234E-4,0.001278782,7.100039E-4,5.635203E-6,1.999798E-4,5.884546,4.083042E-5,303300.5,303300.5
0.08313154,1.804097E-5,3.141593,0.7853982,3.141593,4596.869,0.1476364,-2.706845E9,1751.162,1.277074E8,1751.162,1.000009,0.3229323,4.287831E-5,0.02305317,3.058985E-4,0.03231355,0.01855131,0.001121834,5.483338E-4,0.001293808,0.001109013,0.00489988,0.1748021,5.0888E-4,0.001347268,0.1036273,0.01787277,0.003928871,0.002850673,0.06680806,0.002451056,0.2096079,1.110516E-4,9.305937E-5,1.238273E-4,6.553129E-5,6.531806E-4,0.0017774,0.001165868,1.33866E-5,3.313892E-4,5.876006,4.089229E-5,302860.8,302860.9
0.08322765,1.806187E-5,3.141593,0.7853982,3.141593,4596.843,0.1476364,-2.713361E9,1751.143,1.277057E8,1751.143,1.000009,0.3229314,4.286104E-5,0.02305993,3.057315E-4,0.03232636,0.01856461,0.00112315,5.489588E-4,0.001294161,0.001109589,0.004905368,0.1748851,5.08653E-4,0.001349543,0.1035942,0.01786215,0.003927848,0.002850454,0.06683452,0.0024519,0.2094937,1.107368E-4,9.315676E-5,1.240493E-4,6.566737E-5,6.538739E-4,0.001779379,0.001167704,1.342552E-5,3.319196E-4,5.875975,4.089252E-5,302859.3,302859.3
