Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C4H2_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C7H7_PFRC2 (),Mole_fraction_STILB_PFRC2 (),Mole_fraction_C7H6_PFRC2 (),Mole_fraction_C6H5C2H_PFRC2 (),Mole_fraction_C6H5C2H3_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_C6H5CHCH3_PFRC2 (),Mole_fraction_INDENE_PFRC2 (),Mole_fraction_INDENYL_PFRC2 (),Mole_fraction_C12H8_PFRC2 (),Mole_fraction_BIPHENYL_PFRC2 (),Mole_fraction_C14H10_PFRC2 (),Mole_fraction_C16H10_PFRC2 (),Mole_fraction_C18H10_PFRC2 (),Mole_fraction_BIN1B_PFRC2 (),Mole_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,3.141593,0.7853982,3.141593,4093.003,0.2471664,-8.324263E9,1518.476,0.0,1518.476,1.0,0.924183,4.289422E-21,5.587001E-16,1.063533E-20,8.815738E-20,1.73312E-18,5.788836E-19,2.959444E-21,2.071831E-22,6.516051E-23,9.571309E-24,9.450159E-21,2.632784E-23,0.01675538,1.321033E-25,1.250285E-31,9.676757E-28,2.098981E-24,0.04815555,0.01090607,8.92324E-29,7.257105E-25,1.654448E-25,6.242179E-26,2.813084E-27,1.094321E-25,3.255586E-24,6.71974E-24,1.197342E-16,1.01045E-35,9.580397,7.688781E-5,589780.6,589780.6
9.607187E-4,2.347474E-7,3.141593,0.7853982,3.141593,4092.124,0.2471664,-8.002484E9,1518.031,1.07191E8,1518.031,0.9999987,0.9241138,5.145905E-6,6.361412E-6,6.166E-5,1.158171E-8,1.130165E-6,4.232989E-7,2.132538E-11,5.482884E-10,7.883226E-10,2.311131E-10,1.326244E-6,3.708718E-14,0.01675068,7.085951E-5,8.287875E-9,5.421394E-9,4.032353E-7,0.04815503,0.0108292,2.507353E-6,3.208921E-13,1.397644E-16,4.689271E-15,1.905166E-12,4.553747E-9,2.394772E-10,2.842058E-20,2.114322E-16,5.587436E-11,9.579657,7.690432E-5,589735.0,589735.0
0.008010157,1.958653E-6,3.141593,0.7853982,3.141593,4086.663,0.2471664,-6.440089E9,1515.107,1.069337E8,1515.107,1.0,0.9233686,7.871935E-5,2.861957E-4,2.712357E-4,2.707405E-6,1.765251E-4,3.561633E-5,1.105618E-8,9.511697E-8,6.480634E-8,8.486969E-8,2.250279E-4,7.605526E-10,0.01666218,5.924875E-4,2.811042E-6,3.611957E-7,5.905715E-5,0.04787571,0.01024596,6.476595E-5,2.008946E-9,1.087694E-11,2.582897E-12,2.521338E-8,8.448737E-7,3.673148E-8,9.444879E-14,6.405081E-12,8.351345E-9,9.573966,7.700709E-5,589384.7,589384.7
0.01889636,4.624095E-6,3.141593,0.7853982,3.141593,4082.499,0.2471664,-3.43614E9,1512.082,1.066675E8,1512.082,1.000002,0.9218546,1.118549E-4,9.630943E-4,3.132265E-4,1.240493E-5,8.531096E-4,1.892904E-4,1.396525E-7,8.939742E-7,3.488467E-7,4.461229E-7,0.001135634,2.119742E-8,0.01655777,0.001215814,1.495617E-5,1.756977E-6,2.77236E-4,0.04696326,0.009338597,9.74378E-5,3.776845E-8,6.75956E-10,2.981087E-11,3.440379E-7,4.459838E-6,2.089163E-7,1.378583E-11,2.497345E-10,4.80865E-8,9.564582,7.708563E-5,588807.0,588807.0
0.05115176,1.25274E-5,3.141593,0.7853982,3.141593,4081.077,0.2471664,-9.097062E8,1508.623,1.063631E8,1508.623,1.000002,0.9180815,8.306878E-5,0.002785679,2.491447E-4,3.634194E-5,0.002648776,6.221362E-4,1.229191E-6,6.345131E-6,1.753142E-6,1.503014E-6,0.003631384,2.918766E-7,0.01700426,0.001888474,5.165965E-5,8.03442E-6,8.523625E-4,0.0446164,0.007215043,7.085259E-5,4.249988E-7,2.32928E-8,8.436656E-10,2.256657E-6,1.662456E-5,1.515862E-6,7.184036E-10,4.338061E-9,3.730224E-7,9.546024,7.711249E-5,587664.6,587664.6
0.154369,3.780344E-5,3.141593,0.7853982,3.141593,4086.319,0.2471664,-5.386928E7,1506.183,1.061483E8,1506.183,1.000001,0.9107202,5.153046E-5,0.006400169,1.322969E-4,6.580129E-5,0.005995547,0.00148369,6.118963E-6,2.745553E-5,7.177366E-6,4.453505E-6,0.00850192,3.350853E-6,0.01901188,0.001833071,1.33066E-4,2.688627E-5,0.0019392,0.03991663,0.003460271,3.957927E-5,2.664043E-6,4.102744E-7,2.131342E-8,1.0329E-5,5.018183E-5,1.240408E-5,2.442472E-8,6.433312E-8,3.475783E-6,9.518375,7.701357E-5,585962.4,585962.4
0.2,4.896751E-5,3.141593,0.7853982,3.141593,4088.202,0.2471664,-2.25321E7,1505.749,1.061101E8,1505.749,0.9999999,0.9085982,4.459456E-5,0.007389991,1.036319E-4,7.005662E-5,0.006979902,0.001755093,8.176131E-6,3.57973E-5,9.490649E-6,5.864812E-6,0.009989591,5.652079E-6,0.0196034,0.001673615,1.56427E-4,3.31607E-5,0.002261779,0.03842772,0.002545695,3.296267E-5,3.705863E-6,7.145613E-7,4.030366E-8,1.401622E-5,6.280797E-5,1.869298E-5,5.529629E-8,1.207603E-7,5.513621E-6,9.511254,7.697809E-5,585524.1,585524.1
0.3113331,7.619046E-5,3.141593,0.7853982,3.141593,4090.714,0.2471664,-3.471876E7,1504.756,1.060228E8,1504.756,0.9999992,0.9049392,3.338771E-5,0.008974844,6.067227E-5,7.340576E-5,0.008754966,0.002270626,1.267454E-5,5.240694E-5,1.457422E-5,9.723657E-6,0.01273924,1.288463E-5,0.02044856,0.001325276,1.941804E-4,4.460034E-5,0.00284267,0.03560446,0.001237233,2.292573E-5,5.947671E-6,1.663306E-6,1.081615E-7,2.242133E-5,8.906403E-5,3.441701E-5,2.058661E-7,3.352409E-7,1.124581E-5,9.499153,7.693082E-5,584779.8,584779.9
0.3266295,7.992967E-5,3.141593,0.7853982,3.141593,4090.871,0.2471664,-3.6736E7,1504.608,1.060098E8,1504.608,0.9999991,0.9045526,3.226379E-5,0.009130064,5.674975E-5,7.349661E-5,0.008950767,0.002329765,1.324657E-5,5.431772E-5,1.520995E-5,1.029508E-5,0.01304785,1.400608E-5,0.02051739,0.001285002,1.979267E-4,4.58424E-5,0.002906385,0.03528206,0.001123478,2.196799E-5,6.217927E-6,1.808419E-6,1.194367E-7,2.349746E-5,9.225377E-5,3.651718E-5,2.356351E-7,3.721018E-7,1.207406E-5,9.497859,7.692788E-5,584701.2,584701.4
0.3296111,8.065852E-5,3.141593,0.7853982,3.141593,4090.897,0.2471664,-6.456513E7,1504.579,1.060072E8,1504.579,0.9999991,0.9044795,3.202417E-5,0.009159002,5.60112E-5,7.350812E-5,0.008988061,0.002341026,1.335707E-5,5.468141E-5,1.53322E-5,1.040746E-5,0.01310646,1.422736E-5,0.02052979,0.001277364,1.986268E-4,4.607697E-5,0.002918444,0.03522072,0.001102636,2.177792E-5,6.269578E-6,1.836973E-6,1.216808E-7,2.370494E-5,9.286535E-5,3.692371E-5,2.418898E-7,3.794608E-7,1.223599E-5,9.497611,7.692738E-5,584687.5,584688.2
