Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_H_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C4H2_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C10H8_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C7H7_PFRC2 (),Mass_fraction_STILB_PFRC2 (),Mass_fraction_C7H6_PFRC2 (),Mass_fraction_C6H5C2H_PFRC2 (),Mass_fraction_C6H5C2H3_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_C6H5CHCH3_PFRC2 (),Mass_fraction_INDENE_PFRC2 (),Mass_fraction_INDENYL_PFRC2 (),Mass_fraction_C12H8_PFRC2 (),Mass_fraction_BIPHENYL_PFRC2 (),Mass_fraction_C14H10_PFRC2 (),Mass_fraction_C16H10_PFRC2 (),Mass_fraction_C18H10_PFRC2 (),Mass_fraction_BIN1B_PFRC2 (),Mass_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,3.141593,0.7853982,3.141593,4093.003,0.2471664,-8.324263E9,1518.476,0.0,1518.476,1.0,0.1944698,4.512975E-22,9.355815E-16,1.669063E-20,2.767007E-19,5.075077E-18,1.573328E-18,1.237643E-20,1.169788E-21,3.541952E-22,5.001306E-23,7.705281E-20,3.522378E-22,0.1611489,1.256637E-24,2.352366E-30,9.103236E-27,2.237733E-23,0.5235215,0.1208599,9.794753E-28,8.799376E-24,1.988643E-24,9.916546E-25,4.528159E-26,2.035898E-24,6.873083E-23,1.587143E-22,3.128242E-15,2.703744E-34,9.580397,7.688781E-5,589780.6,589780.6
9.607187E-4,2.347474E-7,3.141593,0.7853982,3.141593,4092.124,0.2471664,-8.002484E9,1518.031,1.07191E8,1518.031,0.9999987,0.1944702,5.414513E-7,1.065344E-5,9.677401E-5,3.635448E-8,3.309705E-6,1.150559E-6,8.918986E-11,3.095962E-9,4.285443E-9,1.207731E-9,1.08145E-5,4.962244E-13,0.1611163,6.741055E-4,1.559455E-7,5.100474E-8,4.299241E-6,0.5235563,0.1200173,2.752454E-5,3.891178E-12,1.680095E-15,7.450117E-14,3.06694E-11,8.472546E-8,5.056152E-9,6.713206E-19,5.524421E-15,1.495191E-9,9.579657,7.690432E-5,589735.0,589735.0
0.008010157,1.958653E-6,3.141593,0.7853982,3.141593,4086.663,0.2471664,-6.440089E9,1515.107,1.069337E8,1515.107,1.0,0.1944289,8.287762E-6,4.795762E-4,4.259514E-4,8.503475E-6,5.172639E-4,9.686546E-5,4.626814E-8,5.37406E-7,3.525066E-7,4.437683E-7,0.00183602,1.01822E-8,0.1603603,0.005639842,5.292428E-5,3.400166E-6,6.300337E-4,0.5208288,0.1136209,7.113925E-4,2.437521E-8,1.308284E-10,4.106037E-11,4.061267E-7,1.572877E-5,7.759834E-7,2.232294E-12,1.674551E-10,2.236139E-7,9.573966,7.700709E-5,589384.7,589384.7
0.01889636,4.624095E-6,3.141593,0.7853982,3.141593,4082.499,0.2471664,-3.43614E9,1512.082,1.066675E8,1512.082,1.000002,0.1943006,1.17879E-5,0.001615434,4.923769E-4,3.899989E-5,0.002502283,5.153167E-4,5.849941E-7,5.055864E-6,1.899373E-6,2.334985E-6,0.009274819,2.840672E-7,0.1595117,0.01158459,2.818603E-4,1.655578E-5,0.002960511,0.5114037,0.1036604,0.001071312,4.587067E-7,8.13841E-9,4.74369E-10,5.547057E-6,8.310899E-5,4.417864E-6,3.261473E-10,6.535489E-9,1.288817E-6,9.564582,7.708563E-5,588807.0,588807.0
0.05115176,1.25274E-5,3.141593,0.7853982,3.141593,4081.077,0.2471664,-9.097062E8,1508.623,1.063631E8,1508.623,1.000002,0.1938815,8.77128E-6,0.004681608,3.924048E-4,1.144777E-4,0.007784313,0.001696972,5.159001E-6,3.59546E-5,9.563927E-6,7.881993E-6,0.02971547,3.919052E-6,0.1641315,0.01802885,9.754576E-4,7.585453E-5,0.009119793,0.4867923,0.08024422,7.805264E-4,5.171745E-6,2.809871E-7,1.345103E-8,3.645569E-5,3.104007E-4,3.211759E-5,1.702915E-8,1.137467E-7,1.001721E-5,9.546024,7.711249E-5,587664.6,587664.6
0.154369,3.780344E-5,3.141593,0.7853982,3.141593,4086.319,0.2471664,-5.386928E7,1506.183,1.061483E8,1506.183,1.000001,0.1928856,5.456936E-6,0.01078736,2.089738E-4,2.078771E-4,0.0176711,0.004058746,2.575632E-5,1.560283E-4,3.926847E-5,2.342258E-5,0.06977296,4.512288E-5,0.1840428,0.01755077,0.002519902,2.545758E-4,0.02080861,0.4367799,0.03859621,4.372798E-4,3.25125E-5,4.963622E-6,3.407988E-7,1.673469E-4,9.396771E-4,2.635771E-4,5.806492E-7,1.691755E-6,9.361038E-5,9.518375,7.701357E-5,585962.4,585962.4
0.2,4.896751E-5,3.141593,0.7853982,3.141593,4088.202,0.2471664,-2.25321E7,1505.749,1.061101E8,1505.749,0.9999999,0.1925802,4.725978E-6,0.01246501,1.638177E-4,2.214862E-4,0.02058776,0.004804785,3.444124E-5,2.035865E-4,5.196366E-5,3.086824E-5,0.08204325,7.616837E-5,0.1899111,0.01603605,0.002964513,3.142211E-4,0.02428822,0.4208026,0.02841619,3.644509E-4,4.526094E-5,8.651449E-6,6.449328E-7,2.272561E-4,0.001176988,3.975088E-4,1.315543E-6,3.177987E-6,1.48605E-4,9.511254,7.697809E-5,585524.1,585524.1
0.3113331,7.619046E-5,3.141593,0.7853982,3.141593,4090.714,0.2471664,-3.471876E7,1504.756,1.060228E8,1504.756,0.9999992,0.192049,3.542822E-6,0.01515753,9.60308E-5,2.323702E-4,0.02585635,0.006224041,5.345842E-5,2.984285E-4,7.989912E-5,5.124367E-5,0.104759,1.738566E-4,0.1983511,0.01271456,0.003684681,4.231582E-4,0.03056503,0.3903832,0.01382815,2.538007E-4,7.273342E-5,2.016389E-5,1.732988E-6,3.639979E-4,0.001671138,7.328146E-4,4.903961E-6,8.833598E-6,3.034869E-4,9.499153,7.693082E-5,584779.8,584779.9
0.3266295,7.992967E-5,3.141593,0.7853982,3.141593,4090.871,0.2471664,-3.6736E7,1504.608,1.060098E8,1504.608,0.9999991,0.1919931,3.424028E-6,0.01542178,8.983455E-5,2.326895E-4,0.02643821,0.006387015,5.587874E-5,3.093515E-4,8.339571E-5,5.426248E-5,0.1073114,1.890144E-4,0.1990458,0.01232985,0.003756282,4.350018E-4,0.03125436,0.386901,0.01255846,2.43231E-4,7.604871E-5,2.192606E-5,1.913902E-6,3.815203E-4,0.001731224,7.776379E-4,5.613855E-6,9.806217E-6,3.258831E-4,9.497859,7.692788E-5,584701.2,584701.4
0.3296111,8.065852E-5,3.141593,0.7853982,3.141593,4090.897,0.2471664,-6.456513E7,1504.579,1.060072E8,1504.579,0.9999991,0.1919826,3.398686E-6,0.01547106,8.866774E-5,2.32732E-4,0.02654906,0.006418056,5.634631E-5,3.114309E-4,8.406816E-5,5.48562E-5,0.1077963,1.920057E-4,0.1991714,0.01225688,0.003769666,4.372391E-4,0.03138485,0.3862384,0.01232579,2.411329E-4,7.668244E-5,2.227283E-5,1.949913E-6,3.848991E-4,0.001742747,7.863155E-4,5.763019E-6,1.000042E-5,3.302622E-4,9.497611,7.692738E-5,584687.5,584688.2
0.3299119,8.073205E-5,3.141593,0.7853982,3.141593,4090.9,0.2471664,-8.376424E7,1504.576,1.060069E8,1504.576,0.9999991,0.1919816,3.390634E-6,0.015476,8.857018E-5,2.327365E-4,0.02656049,0.006421171,5.639344E-5,3.116405E-4,8.413593E-5,5.491618E-5,0.1078449,1.923081E-4,0.1991839,0.01224952,0.003771007,4.374639E-4,0.03139791,0.3861722,0.01230258,2.408075E-4,7.67462E-5,2.230779E-5,1.95356E-6,3.852392E-4,0.001743906,7.8719E-4,5.783639E-6,1.002007E-5,3.307042E-4,9.497585,7.692734E-5,584686.7,584687.7
0.3299689,8.074599E-5,3.141593,0.7853982,3.141593,4090.9,0.2471664,-6.238903E7,1504.575,1.060068E8,1504.575,0.9999991,0.1919814,3.389819E-6,0.01547693,8.854791E-5,2.327374E-4,0.02656257,0.006421761,5.640237E-5,3.116803E-4,8.414878E-5,5.492756E-5,0.1078541,1.923654E-4,0.1991863,0.01224812,0.003771261,4.375065E-4,0.03140038,0.3861596,0.01229819,2.407315E-4,7.675828E-5,2.231443E-5,1.954251E-6,3.853036E-4,0.001744125,7.873558E-4,5.787301E-6,1.00238E-5,3.30788E-4,9.49758,7.692733E-5,584686.4,584687.4
0.3300062,8.075509E-5,3.141593,0.7853982,3.141593,4090.9,0.2471664,-5.576033E7,1504.575,1.060068E8,1504.575,0.9999991,0.1919813,3.389473E-6,0.01547754,8.853199E-5,2.32738E-4,0.02656396,0.006422146,5.640821E-5,3.117062E-4,8.415715E-5,5.493498E-5,0.1078602,1.924028E-4,0.1991879,0.01224721,0.003771427,4.375343E-4,0.031402,0.3861514,0.01229532,2.406829E-4,7.676616E-5,2.231876E-5,1.954703E-6,3.853457E-4,0.001744269,7.87464E-4,5.789558E-6,1.002623E-5,3.308427E-4,9.497577,7.692733E-5,584686.3,584687.3
