Reaction,Normalized Sensitivity
H+NC10H20=>H2+NC10H19, 0.2261432
1.00NC10H20=>0.500C3H5-A+0.500C4H71-3+0.250NC5H11+0.750NC7H15, 0.1360715
C4H71-3<=>H+C4H6, 0.0999016
H+NC10H20<=>NC10H21, -0.09431772
1.00NC10H19=>0.600C2H4+0.600C3H6+0.500C3H5-A+0.500C4H71-3+0.500NC7H14, -0.06083203
1.00NC10H19=>0.250C2H4+0.500C4H6+1.00NC5H11+0.500LC5H8, 0.06083031
H+NC12H26=>H2+NC12H25, -0.06004949
H+C2H6<=>H2+C2H5, 0.04520912
H+C2H4(+M)<=>C2H5(+M), -0.03974653
H+NC16H34=>H2+NC16H33, -0.03861804
CH3+NC10H20=>CH4+NC10H19, 0.03357358
H+C4H6<=>C2H4+C2H3, -0.03095621
