Reaction,Normalized Sensitivity
H+CH4<=>H2+CH3, 0.2022781
H+NC10H20=>H2+NC10H19, -0.1908302
1.00NC10H19=>0.600C2H4+0.600C3H6+0.500C3H5-A+0.500C4H71-3+0.500NC7H14, -0.1272208
1.00NC10H19=>0.250C2H4+0.500C4H6+1.00NC5H11+0.500LC5H8, 0.1272185
H+C3H6<=>CH3+C2H4, 0.1015304
1.00NC10H20=>0.500C3H5-A+0.500C4H71-3+0.250NC5H11+0.750NC7H15, 0.09871301
NC7H15<=>C3H6+PC4H9, -0.09199118
CH3+C3H5-A(+M)<=>C4H8-1(+M), -0.0876033
NC7H15<=>NC3H7+C4H8-1, 0.08454342
H+C4H8-1<=>CH3+C3H6, 0.07508062
H+C2H6<=>H2+C2H5, 0.06757017
H+NC10H20<=>NC10H21, 0.06486108
